Kategorie,Druh zařízení,"ČR, kraje",Roky,Rezidence,Ukazatel,value
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Srbsko a Černá Hora,Počet přenocování,621.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Srbsko a Černá Hora,Průměrný počet přenocování ,2.4448818898
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Španělsko,Počet hostů,2569.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Španělsko,Počet přenocování,8243.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Španělsko,Průměrný počet přenocování ,3.2086414947
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Švédsko,Počet hostů,1417.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Švédsko,Počet přenocování,4571.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Švédsko,Průměrný počet přenocování ,3.2258292167
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Švýcarsko,Počet hostů,2904.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Švýcarsko,Počet přenocování,10746.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Švýcarsko,Průměrný počet přenocování ,3.7004132231
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Turecko,Počet hostů,906.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Turecko,Počet přenocování,2603.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Turecko,Průměrný počet přenocování ,2.8730684327
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Ukrajina,Počet hostů,9764.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Ukrajina,Počet přenocování,50074.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Ukrajina,Průměrný počet přenocování ,5.1284309709
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Ostatní evropské země,Počet hostů,2910.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Ostatní evropské země,Počet přenocování,22971.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Ostatní evropské země,Průměrný počet přenocování ,7.893814433
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Kanada,Počet hostů,1449.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Kanada,Počet přenocování,7312.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Kanada,Průměrný počet přenocování ,5.0462387854
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Spojené státy,Počet hostů,6511.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Spojené státy,Počet přenocování,38980.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Spojené státy,Průměrný počet přenocování ,5.9867915835
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Brazílie,Počet hostů,442.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Brazílie,Počet přenocování,1099.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Brazílie,Průměrný počet přenocování ,2.4864253394
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Mexiko,Počet hostů,345.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Mexiko,Počet přenocování,717.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Mexiko,Průměrný počet přenocování ,2.0782608696
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Argentina,Počet hostů,148.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Argentina,Počet přenocování,306.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Argentina,Průměrný počet přenocování ,2.0675675676
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Ostatní americké země,Počet hostů,180.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Ostatní americké země,Počet přenocování,539.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Ostatní americké země,Průměrný počet přenocování ,2.9944444444
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Čína,Počet hostů,907.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Čína,Počet přenocování,1652.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Čína,Průměrný počet přenocování ,1.8213891951
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Indie,Počet hostů,446.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Indie,Počet přenocování,1023.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Indie,Průměrný počet přenocování ,2.2937219731
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Izrael,Počet hostů,7722.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Izrael,Počet přenocování,78355.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Izrael,Průměrný počet přenocování ,10.146982647
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Japonsko,Počet hostů,382.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Japonsko,Počet přenocování,890.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Japonsko,Průměrný počet přenocování ,2.3298429319
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Korejská republika,Počet hostů,1757.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Korejská republika,Počet přenocování,2823.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Korejská republika,Průměrný počet přenocování ,1.6067159932
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Tchaj-wan,Počet hostů,12910.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Tchaj-wan,Počet přenocování,14006.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Tchaj-wan,Průměrný počet přenocování ,1.0848954299
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Saúdská Arábie,Počet hostů,1775.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Saúdská Arábie,Počet přenocování,35941.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Saúdská Arábie,Průměrný počet přenocování ,20.2484507042
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Spojené arabské emiráty,Počet hostů,616.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Spojené arabské emiráty,Počet přenocování,5633.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Spojené arabské emiráty,Průměrný počet přenocování ,9.1444805195
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Thajsko,Počet hostů,316.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Thajsko,Počet přenocování,564.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Thajsko,Průměrný počet přenocování ,1.7848101266
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Kazachstán,Počet hostů,2385.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Kazachstán,Počet přenocování,20578.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Kazachstán,Průměrný počet přenocování ,8.6280922432
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Ostatní asijské země,Počet hostů,6272.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Ostatní asijské země,Počet přenocování,66551.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Ostatní asijské země,Průměrný počet přenocování ,10.610809949
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Jižní Afrika,Počet hostů,95.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Jižní Afrika,Počet přenocování,230.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Jižní Afrika,Průměrný počet přenocování ,2.4210526316
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Ostatní africké země,Počet hostů,363.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Ostatní africké země,Počet přenocování,3354.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Ostatní africké země,Průměrný počet přenocování ,9.2396694215
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Austrálie,Počet hostů,720.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Austrálie,Počet přenocování,2538.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Austrálie,Průměrný počet přenocování ,3.525
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Nový Zéland,Počet hostů,106.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Nový Zéland,Počet přenocování,287.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Nový Zéland,Průměrný počet přenocování ,2.7075471698
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Oceánie,Počet hostů,62.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Oceánie,Počet přenocování,235.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Oceánie,Průměrný počet přenocování ,3.7903225806
