Území,Ukazatel,Očištění,Typ indexu,CZ-NACE,Roky,value
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2011,98.4684324762
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2010,104.6355066628
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2009,96.0835932964
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2008,95.4356032579
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2007,101.6235674083
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2006,103.1093535167
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2005,98.0412636637
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2004,100.9650755985
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2003,108.3470775268
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2002,102.5635928976
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2001,101.7888510877
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2000,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava černého a hnědého uhlí,2024,88.2486503135
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava černého a hnědého uhlí,2023,83.4089585319
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava černého a hnědého uhlí,2022,104.7904716533
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava černého a hnědého uhlí,2021,98.817242362
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava černého a hnědého uhlí,2020,73.0176659414
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava černého a hnědého uhlí,2019,91.9635625602
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava černého a hnědého uhlí,2018,95.6380573251
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava černého a hnědého uhlí,2017,96.3260744651
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava černého a hnědého uhlí,2016,95.509845143
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava černého a hnědého uhlí,2015,98.4395546744
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava černého a hnědého uhlí,2014,95.885663985
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava černého a hnědého uhlí,2013,85.7522520488
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava černého a hnědého uhlí,2012,95.8725341801
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava černého a hnědého uhlí,2011,100.3745740757
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava černého a hnědého uhlí,2010,97.9204377241
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava černého a hnědého uhlí,2009,93.6981745822
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava černého a hnědého uhlí,2008,97.3844384005
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava černého a hnědého uhlí,2007,98.0827945445
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava černého a hnědého uhlí,2006,101.0382288904
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava černého a hnědého uhlí,2005,100.0588937777
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava černého a hnědého uhlí,2004,96.9285306364
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava černého a hnědého uhlí,2003,97.7347061961
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava černého a hnědého uhlí,2002,95.6387512577
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava černého a hnědého uhlí,2001,101.5910868137
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava černého a hnědého uhlí,2000,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba ropy a zemního plynu,2024,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba ropy a zemního plynu,2023,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba ropy a zemního plynu,2022,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba ropy a zemního plynu,2021,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba ropy a zemního plynu,2020,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba ropy a zemního plynu,2019,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba ropy a zemního plynu,2018,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba ropy a zemního plynu,2017,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba ropy a zemního plynu,2016,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba ropy a zemního plynu,2015,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba ropy a zemního plynu,2014,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba ropy a zemního plynu,2013,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba ropy a zemního plynu,2012,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba ropy a zemního plynu,2011,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba ropy a zemního plynu,2010,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba ropy a zemního plynu,2009,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba ropy a zemního plynu,2008,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba ropy a zemního plynu,2007,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba ropy a zemního plynu,2006,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba ropy a zemního plynu,2005,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba ropy a zemního plynu,2004,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba ropy a zemního plynu,2003,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba ropy a zemního plynu,2002,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba ropy a zemního plynu,2001,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba ropy a zemního plynu,2000,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava rud,2024,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava rud,2023,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava rud,2022,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava rud,2021,
