Typ indexu,Ukazatel,Očištění,Území,CZ NACE,Čtvrtletí,value
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",3. čtvrtletí 2020,86.1877952995
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",4. čtvrtletí 2020,87.3055802807
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",1. čtvrtletí 2021,93.5314098461
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2. čtvrtletí 2021,114.453421253
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",3. čtvrtletí 2021,109.8525796236
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",4. čtvrtletí 2021,112.4568550421
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",1. čtvrtletí 2022,113.5985035099
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2. čtvrtletí 2022,112.5728244176
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",3. čtvrtletí 2022,106.8796821967
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",4. čtvrtletí 2022,103.1377275204
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",1. čtvrtletí 2023,101.6082943277
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2. čtvrtletí 2023,98.3606211811
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",3. čtvrtletí 2023,96.1509917966
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",4. čtvrtletí 2023,97.808640725
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",1. čtvrtletí 2024,101.1888787404
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2. čtvrtletí 2024,102.8835677636
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",3. čtvrtletí 2024,102.8502592976
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",4. čtvrtletí 2024,102.1314118419
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",1. čtvrtletí 2025,103.0584994505
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75)",2. čtvrtletí 2025,102.2236588097
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,1. čtvrtletí 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2. čtvrtletí 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,3. čtvrtletí 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,4. čtvrtletí 2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,1. čtvrtletí 2001,111.2763727697
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,2. čtvrtletí 2001,105.2033418914
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,3. čtvrtletí 2001,104.0298030088
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,4. čtvrtletí 2001,100.0834074598
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,49 až 53 Sekce H - DOPRAVA A SKLADOVÁNÍ,1. čtvrtletí 2002,100.7415637485
