Ukazatel,"ČR, regiony",Pohlaví,Věk (roky),Roky,value
Naděje dožití (ex),Česko,muži,18,2020,57.6432083973
Naděje dožití (ex),Česko,muži,18,2021,56.4439520317
Naděje dožití (ex),Česko,muži,18,2022,58.4736577525
Naděje dožití (ex),Česko,muži,18,2023,59.2086773
Naděje dožití (ex),Česko,muži,18,2024,59.4993481904
Naděje dožití (ex),Česko,muži,19,2001,53.6733432457
Naděje dožití (ex),Česko,muži,19,2002,53.7423254216
Naděje dožití (ex),Česko,muži,19,2003,53.6778981816
Naděje dožití (ex),Česko,muži,19,2004,54.15335962
Naděje dožití (ex),Česko,muži,19,2005,54.4670143671
Naděje dožití (ex),Česko,muži,19,2006,55.0223506596
Naděje dožití (ex),Česko,muži,19,2007,55.2169689736
Naděje dožití (ex),Česko,muži,19,2008,55.5233925313
