Ukazatel,Území,Typ indexu,Klasifikace produkce,Roky,value
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI",2017,102.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI",2018,104.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI",2019,107.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI",2020,114.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI",2021,121.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI",2022,127.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI",2023,148.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI",2024,161.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Černé a hnědé uhlí a lignit,2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Černé a hnědé uhlí a lignit,2016,92.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Černé a hnědé uhlí a lignit,2017,98.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Černé a hnědé uhlí a lignit,2018,108.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Černé a hnědé uhlí a lignit,2019,117.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Černé a hnědé uhlí a lignit,2020,111.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Černé a hnědé uhlí a lignit,2021,115.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Černé a hnědé uhlí a lignit,2022,149.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Černé a hnědé uhlí a lignit,2023,256.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Černé a hnědé uhlí a lignit,2024,245.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Ropa a zemní plyn,2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Ropa a zemní plyn,2016,75.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Ropa a zemní plyn,2017,81.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Ropa a zemní plyn,2018,95.6
