Území;Kategorie;Kumulace čtvrtletí;Ukazatel;Rezidence;value
Česko;Hromadná ubytovací zařízení celkem;Q1 2020;Počet přenocování;Rezidenti;4849498.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2020;Počet přenocování;Nerezidenti;4230848.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2020;Průměrný počet přenocování ;Celkem;2.8620617596
Česko;Hromadná ubytovací zařízení celkem;Q1 2020;Průměrný počet přenocování ;Rezidenti;2.9140097861
Česko;Hromadná ubytovací zařízení celkem;Q1 2020;Průměrný počet přenocování ;Nerezidenti;2.8047502814
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2019;Počet hostů;Celkem;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2019;Počet hostů;Rezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2019;Počet hostů;Nerezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2019;Počet přenocování;Celkem;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2019;Počet přenocování;Rezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2019;Počet přenocování;Nerezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2019;Průměrný počet přenocování ;Celkem;2.5922273954
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2019;Průměrný počet přenocování ;Rezidenti;2.686763056
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2019;Průměrný počet přenocování ;Nerezidenti;2.4958048758
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2019;Počet hostů;Celkem;17299097.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2019;Počet hostů;Rezidenti;9014120.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2019;Počet hostů;Nerezidenti;8284977.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2019;Počet přenocování;Celkem;45704132.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2019;Počet přenocování;Rezidenti;24959453.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2019;Počet přenocování;Nerezidenti;20744679.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2019;Průměrný počet přenocování ;Celkem;2.641995244
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2019;Průměrný počet přenocování ;Rezidenti;2.7689284145
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2019;Průměrný počet přenocování ;Nerezidenti;2.5038909583
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2019;Počet hostů;Celkem;9762926.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2019;Počet hostů;Rezidenti;4809169.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2019;Počet hostů;Nerezidenti;4953757.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2019;Počet přenocování;Celkem;24756731.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2019;Počet přenocování;Rezidenti;12326853.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2019;Počet přenocování;Nerezidenti;12429878.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2019;Průměrný počet přenocování ;Celkem;2.53579009
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2019;Průměrný počet přenocování ;Rezidenti;2.5631981326
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2019;Průměrný počet přenocování ;Nerezidenti;2.5091820208
Česko;Hromadná ubytovací zařízení celkem;Q1 2019;Počet hostů;Celkem;3986642.0
