Území;Ukazatel;Čtvrtletí;value
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 2007;885447
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 2007;928491
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 2008;853840
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 2008;925686
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 2008;945360
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 2008;937782
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 2009;848377
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 2009;894137
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 2009;895921
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 2009;930809
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 2010;842952
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 2010;926167
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 2010;930831
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 2010;953660
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 2011;863110
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 2011;935184
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 2011;938543
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 2011;965098
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 2012;879432
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 2012;936030
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 2012;932752
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 2012;958772
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 2013;872577
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 2013;939805
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 2013;948665
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 2013;978168
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 2014;914188
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 2014;996287
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 2014;1015819
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 2014;1036507
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 2015;971766
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 2015;1053583
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 2015;1071607
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 2015;1094653
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 2016;1016320
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 2016;1104686
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 2016;1104533
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 2016;1135337
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 2017;1069949
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 2017;1172405
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 2017;1190108
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 2017;1228759
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 2018;1144109
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 2018;1240083
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 2018;1254034
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 2018;1302901
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 2019;1229742
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 2019;1335389
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 2019;1364437
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 2019;1400692
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 2020;1272605
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 2020;1252409
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 2020;1367067
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 2020;1423285
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 2021;1304171
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 2021;1444630
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 2021;1476648
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 2021;1523554
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 2022;1458444
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 2022;1602083
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 2022;1648632
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 2022;1708964
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 2023;1646613
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 2023;1765380
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 2023;1770046
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 2023;1813514
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 2024;1695503
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 2024;1841974
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 2024;1870887
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 2024;1899820
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);1. čtvrtletí 1995;171434
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);2. čtvrtletí 1995;188482
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);3. čtvrtletí 1995;205014
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);4. čtvrtletí 1995;210273
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);1. čtvrtletí 1996;201342
