Území,Kumulace čtvrtletí,Odvětví ekonomické činnosti,Ukazatel,value
Česko,Q1-Q4 2024,J - Informační a komunikační činnosti,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),10685662.502464848
Česko,Q1-Q4 2024,J - Informační a komunikační činnosti,Mzdy včetně ostatních osobních nákladů - meziroční index (%),108.0543100319
Česko,Q1-Q4 2024,J - Informační a komunikační činnosti,Mzdy bez ostatních osobních nákladů (tis. Kč),136808425.7343992
Česko,Q1-Q4 2024,J - Informační a komunikační činnosti,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),10623289.80844803
Česko,Q1-Q4 2024,J - Informační a komunikační činnosti,Mzdy bez ostatních osobních nákladů - meziroční index (%),108.418812351
Česko,Q1-Q4 2024,J - Informační a komunikační činnosti,Ostatní osobní náklady (tis. Kč),6547353.266865611
Česko,Q1-Q4 2024,J - Informační a komunikační činnosti,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),62372.6940168181
Česko,Q1-Q4 2024,J - Informační a komunikační činnosti,Ostatní osobní náklady - meziroční index (%),100.9618023264
Česko,Q1-Q4 2024,K - Peněžnictví a pojišťovnictví,Mzdy včetně ostatních osobních nákladů (tis. Kč),68244056.37918118
Česko,Q1-Q4 2024,K - Peněžnictví a pojišťovnictví,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),3600050.351169158
Česko,Q1-Q4 2024,K - Peněžnictví a pojišťovnictví,Mzdy včetně ostatních osobních nákladů - meziroční index (%),105.5690396873
Česko,Q1-Q4 2024,K - Peněžnictví a pojišťovnictví,Mzdy bez ostatních osobních nákladů (tis. Kč),64828428.040365025
Česko,Q1-Q4 2024,K - Peněžnictví a pojišťovnictví,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),3605620.6370142368
Česko,Q1-Q4 2024,K - Peněžnictví a pojišťovnictví,Mzdy bez ostatních osobních nákladů - meziroční index (%),105.8893422075
Česko,Q1-Q4 2024,K - Peněžnictví a pojišťovnictví,Ostatní osobní náklady (tis. Kč),3415628.338816152
Česko,Q1-Q4 2024,K - Peněžnictví a pojišťovnictví,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-5570.2858450788
Česko,Q1-Q4 2024,K - Peněžnictví a pojišťovnictví,Ostatní osobní náklady - meziroční index (%),99.8371832081
Česko,Q1-Q4 2024,L - Činnosti v oblasti nemovitostí,Mzdy včetně ostatních osobních nákladů (tis. Kč),28106298.976587083
Česko,Q1-Q4 2024,L - Činnosti v oblasti nemovitostí,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),3007061.4461900196
Česko,Q1-Q4 2024,L - Činnosti v oblasti nemovitostí,Mzdy včetně ostatních osobních nákladů - meziroční index (%),111.9806884275
Česko,Q1-Q4 2024,L - Činnosti v oblasti nemovitostí,Mzdy bez ostatních osobních nákladů (tis. Kč),21954510.225210745
Česko,Q1-Q4 2024,L - Činnosti v oblasti nemovitostí,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2786028.4781619995
Česko,Q1-Q4 2024,L - Činnosti v oblasti nemovitostí,Mzdy bez ostatních osobních nákladů - meziroční index (%),114.5344243479
Česko,Q1-Q4 2024,L - Činnosti v oblasti nemovitostí,Ostatní osobní náklady (tis. Kč),6151788.75137634
Česko,Q1-Q4 2024,L - Činnosti v oblasti nemovitostí,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),221032.9680280201
Česko,Q1-Q4 2024,L - Činnosti v oblasti nemovitostí,Ostatní osobní náklady - meziroční index (%),103.7268937738
Česko,Q1-Q4 2024,"M - Profesní, vědecké a technické činnosti",Mzdy včetně ostatních osobních nákladů (tis. Kč),130823432.81630413
Česko,Q1-Q4 2024,"M - Profesní, vědecké a technické činnosti",Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),8286013.579431867
Česko,Q1-Q4 2024,"M - Profesní, vědecké a technické činnosti",Mzdy včetně ostatních osobních nákladů - meziroční index (%),106.7620271677
Česko,Q1-Q4 2024,"M - Profesní, vědecké a technické činnosti",Mzdy bez ostatních osobních nákladů (tis. Kč),117570639.19373623
Česko,Q1-Q4 2024,"M - Profesní, vědecké a technické činnosti",Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),9353339.337258978
Česko,Q1-Q4 2024,"M - Profesní, vědecké a technické činnosti",Mzdy bez ostatních osobních nákladů - meziroční index (%),108.6431091421
Česko,Q1-Q4 2024,"M - Profesní, vědecké a technické činnosti",Ostatní osobní náklady (tis. Kč),13252793.62256791
Česko,Q1-Q4 2024,"M - Profesní, vědecké a technické činnosti",Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-1067325.7578271113
Česko,Q1-Q4 2024,"M - Profesní, vědecké a technické činnosti",Ostatní osobní náklady - meziroční index (%),92.546669972
Česko,Q1-Q4 2024,N - Administrativní a podpůrné činnosti,Mzdy včetně ostatních osobních nákladů (tis. Kč),85138913.26531456
Česko,Q1-Q4 2024,N - Administrativní a podpůrné činnosti,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2511462.6485872064
Česko,Q1-Q4 2024,N - Administrativní a podpůrné činnosti,Mzdy včetně ostatních osobních nákladů - meziroční index (%),103.0395015577
Česko,Q1-Q4 2024,N - Administrativní a podpůrné činnosti,Mzdy bez ostatních osobních nákladů (tis. Kč),72295432.66249895
Česko,Q1-Q4 2024,N - Administrativní a podpůrné činnosti,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),5121542.389853237
Česko,Q1-Q4 2024,N - Administrativní a podpůrné činnosti,Mzdy bez ostatních osobních nákladů - meziroční index (%),107.6243051713
Česko,Q1-Q4 2024,N - Administrativní a podpůrné činnosti,Ostatní osobní náklady (tis. Kč),12843480.602815613
Česko,Q1-Q4 2024,N - Administrativní a podpůrné činnosti,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-2610079.741266031
Česko,Q1-Q4 2024,N - Administrativní a podpůrné činnosti,Ostatní osobní náklady - meziroční index (%),83.1101721341
Česko,Q1-Q4 2024,O - Veřejná správa a obrana; povinné sociální zabezpečení,Mzdy včetně ostatních osobních nákladů (tis. Kč),188538608.8738048
Česko,Q1-Q4 2024,O - Veřejná správa a obrana; povinné sociální zabezpečení,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),6182845.087134131
Česko,Q1-Q4 2024,O - Veřejná správa a obrana; povinné sociální zabezpečení,Mzdy včetně ostatních osobních nákladů - meziroční index (%),103.3905399855
Česko,Q1-Q4 2024,O - Veřejná správa a obrana; povinné sociální zabezpečení,Mzdy bez ostatních osobních nákladů (tis. Kč),166566795.3524253
Česko,Q1-Q4 2024,O - Veřejná správa a obrana; povinné sociální zabezpečení,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2792761.1948528546
Česko,Q1-Q4 2024,O - Veřejná správa a obrana; povinné sociální zabezpečení,Mzdy bez ostatních osobních nákladů - meziroční index (%),101.7052527339
Česko,Q1-Q4 2024,O - Veřejná správa a obrana; povinné sociální zabezpečení,Ostatní osobní náklady (tis. Kč),21971813.5213795
Česko,Q1-Q4 2024,O - Veřejná správa a obrana; povinné sociální zabezpečení,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),3390083.892281277
Česko,Q1-Q4 2024,O - Veřejná správa a obrana; povinné sociální zabezpečení,Ostatní osobní náklady - meziroční index (%),118.2441783405
Česko,Q1-Q4 2024,P - Vzdělávání,Mzdy včetně ostatních osobních nákladů (tis. Kč),189965746.76862398
Česko,Q1-Q4 2024,P - Vzdělávání,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),5232293.754200768
Česko,Q1-Q4 2024,P - Vzdělávání,Mzdy včetně ostatních osobních nákladů - meziroční index (%),102.8323477252
Česko,Q1-Q4 2024,P - Vzdělávání,Mzdy bez ostatních osobních nákladů (tis. Kč),182862082.76197416
Česko,Q1-Q4 2024,P - Vzdělávání,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),6241397.300264239
Česko,Q1-Q4 2024,P - Vzdělávání,Mzdy bez ostatních osobních nákladů - meziroční index (%),103.5337861383
Česko,Q1-Q4 2024,P - Vzdělávání,Ostatní osobní náklady (tis. Kč),7103664.006649839
Česko,Q1-Q4 2024,P - Vzdělávání,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-1009103.5460634723
Česko,Q1-Q4 2024,P - Vzdělávání,Ostatní osobní náklady - meziroční index (%),87.5615375455
Česko,Q1-Q4 2024,Q - Zdravotní a sociální péče,Mzdy včetně ostatních osobních nákladů (tis. Kč),229019522.13916093
Česko,Q1-Q4 2024,Q - Zdravotní a sociální péče,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),24140602.523052294
Česko,Q1-Q4 2024,Q - Zdravotní a sociální péče,Mzdy včetně ostatních osobních nákladů - meziroční index (%),111.7828630531
Česko,Q1-Q4 2024,Q - Zdravotní a sociální péče,Mzdy bez ostatních osobních nákladů (tis. Kč),215946999.66585183
Česko,Q1-Q4 2024,Q - Zdravotní a sociální péče,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),23460019.218736105
Česko,Q1-Q4 2024,Q - Zdravotní a sociální péče,Mzdy bez ostatních osobních nákladů - meziroční index (%),112.1878472841
Česko,Q1-Q4 2024,Q - Zdravotní a sociální péče,Ostatní osobní náklady (tis. Kč),13072522.473309088
Česko,Q1-Q4 2024,Q - Zdravotní a sociální péče,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),680583.304316186
Česko,Q1-Q4 2024,Q - Zdravotní a sociální péče,Ostatní osobní náklady - meziroční index (%),105.4921452973
Česko,Q1-Q4 2024,"R - Kulturní, zábavní a rekreační činnosti",Mzdy včetně ostatních osobních nákladů (tis. Kč),27685528.048670202
Česko,Q1-Q4 2024,"R - Kulturní, zábavní a rekreační činnosti",Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1742246.7861051683
Česko,Q1-Q4 2024,"R - Kulturní, zábavní a rekreační činnosti",Mzdy včetně ostatních osobních nákladů - meziroční index (%),106.7155991891
Česko,Q1-Q4 2024,"R - Kulturní, zábavní a rekreační činnosti",Mzdy bez ostatních osobních nákladů (tis. Kč),24114129.726486184
Česko,Q1-Q4 2024,"R - Kulturní, zábavní a rekreační činnosti",Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1396999.2689892538
Česko,Q1-Q4 2024,"R - Kulturní, zábavní a rekreační činnosti",Mzdy bez ostatních osobních nákladů - meziroční index (%),106.149541077
Česko,Q1-Q4 2024,"R - Kulturní, zábavní a rekreační činnosti",Ostatní osobní náklady (tis. Kč),3571398.322184017
