Území,Roky,Typ ceny,Očištění,Země,Ukazatel,value
Česko,2024,Běžné ceny,Bez očištění,Britské indickooceánské území,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Britské indickooceánské území,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Britské Panenské ostrovy,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Britské Panenské ostrovy,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Britské Panenské ostrovy,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Britské Panenské ostrovy,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Britské Panenské ostrovy,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Britské Panenské ostrovy,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Britské Panenské ostrovy,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Brunej Darussalam,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Brunej Darussalam,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Brunej Darussalam,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Brunej Darussalam,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Brunej Darussalam,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Brunej Darussalam,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Brunej Darussalam,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bulharsko,"Vývoz (v mil. Kč, FOB)",30189.117882
Česko,2024,Běžné ceny,Bez očištění,Bulharsko,"Dovoz (v mil. Kč, CIF)",27687.706714
Česko,2024,Běžné ceny,Bez očištění,Bulharsko,Bilance (v mil. Kč),2501.411168
Česko,2024,Běžné ceny,Bez očištění,Bulharsko,Obrat zboží (v mil. Kč),57876.824596
Česko,2024,Běžné ceny,Bez očištění,Bulharsko,Vývoz (meziroční index),99.4224354567
Česko,2024,Běžné ceny,Bez očištění,Bulharsko,Dovoz (meziroční index),127.0640029448
Česko,2024,Běžné ceny,Bez očištění,Bulharsko,Obrat zboží (meziroční index),110.9711162997
Česko,2024,Běžné ceny,Bez očištění,Burkina Faso,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Burkina Faso,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Burkina Faso,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Burkina Faso,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Burkina Faso,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Burkina Faso,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Burkina Faso,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Burundi,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Burundi,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Burundi,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Burundi,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Burundi,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Burundi,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Burundi,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Ceuta,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Ceuta,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Ceuta,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Ceuta,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Ceuta,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Ceuta,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Ceuta,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Cookovy ostrovy,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Cookovy ostrovy,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Cookovy ostrovy,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Cookovy ostrovy,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Cookovy ostrovy,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Cookovy ostrovy,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Cookovy ostrovy,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Curaçao,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Curaçao,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Curaçao,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Curaçao,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Curaçao,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Curaçao,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Curaçao,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Čad,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Čad,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Čad,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Čad,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Čad,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Čad,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Čad,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Černá Hora,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Černá Hora,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Černá Hora,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Černá Hora,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Černá Hora,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Černá Hora,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Černá Hora,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Česko,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Česko,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Česko,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Česko,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Česko,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Česko,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Česko,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Čína,"Vývoz (v mil. Kč, FOB)",53275.820114
Česko,2024,Běžné ceny,Bez očištění,Čína,"Dovoz (v mil. Kč, CIF)",541250.877434
Česko,2024,Běžné ceny,Bez očištění,Čína,Bilance (v mil. Kč),-487975.05732
Česko,2024,Běžné ceny,Bez očištění,Čína,Obrat zboží (v mil. Kč),594526.697548
Česko,2024,Běžné ceny,Bez očištění,Čína,Vývoz (meziroční index),123.1938785467
Česko,2024,Běžné ceny,Bez očištění,Čína,Dovoz (meziroční index),102.8958936978
Česko,2024,Běžné ceny,Bez očištění,Čína,Obrat zboží (meziroční index),104.4378803943
Česko,2024,Běžné ceny,Bez očištění,Dánsko,"Vývoz (v mil. Kč, FOB)",37189.613602
Česko,2024,Běžné ceny,Bez očištění,Dánsko,"Dovoz (v mil. Kč, CIF)",24192.353073
Česko,2024,Běžné ceny,Bez očištění,Dánsko,Bilance (v mil. Kč),12997.260529
Česko,2024,Běžné ceny,Bez očištění,Dánsko,Obrat zboží (v mil. Kč),61381.966675
Česko,2024,Běžné ceny,Bez očištění,Dánsko,Vývoz (meziroční index),109.6236233257
Česko,2024,Běžné ceny,Bez očištění,Dánsko,Dovoz (meziroční index),102.3766149174
Česko,2024,Běžné ceny,Bez očištění,Dánsko,Obrat zboží (meziroční index),106.6481994715
Česko,2024,Běžné ceny,Bez očištění,Demokratická republika Kongo,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Demokratická republika Kongo,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Demokratická republika Kongo,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Demokratická republika Kongo,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Demokratická republika Kongo,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Demokratická republika Kongo,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Demokratická republika Kongo,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Dominika,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Dominika,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Dominika,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Dominika,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Dominika,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Dominika,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Dominika,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Dominikánská republika,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Dominikánská republika,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Dominikánská republika,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Dominikánská republika,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Dominikánská republika,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Dominikánská republika,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Dominikánská republika,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Džibutsko,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Džibutsko,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Džibutsko,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Džibutsko,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Džibutsko,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Džibutsko,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Džibutsko,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Egypt,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Egypt,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Egypt,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Egypt,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Egypt,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Egypt,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Egypt,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Ekvádor,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Ekvádor,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Ekvádor,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Ekvádor,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Ekvádor,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Ekvádor,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Ekvádor,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Eritrea,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Eritrea,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Eritrea,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Eritrea,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Eritrea,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Eritrea,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Eritrea,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Estonsko,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Estonsko,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Estonsko,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Estonsko,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Estonsko,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Estonsko,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Estonsko,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Etiopie,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Etiopie,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Etiopie,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Etiopie,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Etiopie,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Etiopie,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Etiopie,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Evropská unie,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Evropská unie,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Evropská unie,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Evropská unie,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Evropská unie,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Evropská unie,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Evropská unie,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Faerské ostrovy,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Faerské ostrovy,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Faerské ostrovy,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Faerské ostrovy,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Faerské ostrovy,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Faerské ostrovy,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Faerské ostrovy,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Falklandské ostrovy,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Falklandské ostrovy,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Falklandské ostrovy,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Falklandské ostrovy,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Falklandské ostrovy,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Falklandské ostrovy,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Falklandské ostrovy,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Federativní státy Mikronésie,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Federativní státy Mikronésie,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Federativní státy Mikronésie,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Federativní státy Mikronésie,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Federativní státy Mikronésie,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Federativní státy Mikronésie,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Federativní státy Mikronésie,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Fidži,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Fidži,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Fidži,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Fidži,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Fidži,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Fidži,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Fidži,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Filipíny,"Vývoz (v mil. Kč, FOB)",1564.547823
Česko,2024,Běžné ceny,Bez očištění,Filipíny,"Dovoz (v mil. Kč, CIF)",7951.712668
Česko,2024,Běžné ceny,Bez očištění,Filipíny,Bilance (v mil. Kč),-6387.164845
Česko,2024,Běžné ceny,Bez očištění,Filipíny,Obrat zboží (v mil. Kč),9516.260491
Česko,2024,Běžné ceny,Bez očištění,Filipíny,Vývoz (meziroční index),104.9237321236
Česko,2024,Běžné ceny,Bez očištění,Filipíny,Dovoz (meziroční index),116.8112095563
Česko,2024,Běžné ceny,Bez očištění,Filipíny,Obrat zboží (meziroční index),114.6751767684
Česko,2024,Běžné ceny,Bez očištění,Finsko,"Vývoz (v mil. Kč, FOB)",20344.938814
Česko,2024,Běžné ceny,Bez očištění,Finsko,"Dovoz (v mil. Kč, CIF)",13471.148163
Česko,2024,Běžné ceny,Bez očištění,Finsko,Bilance (v mil. Kč),6873.790651
Česko,2024,Běžné ceny,Bez očištění,Finsko,Obrat zboží (v mil. Kč),33816.086977
Česko,2024,Běžné ceny,Bez očištění,Finsko,Vývoz (meziroční index),86.7896358453
Česko,2024,Běžné ceny,Bez očištění,Finsko,Dovoz (meziroční index),106.6357267378
Česko,2024,Běžné ceny,Bez očištění,Finsko,Obrat zboží (meziroční index),93.7394969031
Česko,2024,Běžné ceny,Bez očištění,Francie,"Vývoz (v mil. Kč, FOB)",223162.581061
Česko,2024,Běžné ceny,Bez očištění,Francie,"Dovoz (v mil. Kč, CIF)",133817.721863
Česko,2024,Běžné ceny,Bez očištění,Francie,Bilance (v mil. Kč),89344.859198
Česko,2024,Běžné ceny,Bez očištění,Francie,Obrat zboží (v mil. Kč),356980.302924
Česko,2024,Běžné ceny,Bez očištění,Francie,Vývoz (meziroční index),101.2724035194
Česko,2024,Běžné ceny,Bez očištění,Francie,Dovoz (meziroční index),98.5620261633
Česko,2024,Běžné ceny,Bez očištění,Francie,Obrat zboží (meziroční index),100.2391029061
Česko,2024,Běžné ceny,Bez očištění,Francouzská jižní území,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Francouzská jižní území,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Francouzská jižní území,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Francouzská jižní území,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Francouzská jižní území,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Francouzská jižní území,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Francouzská jižní území,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Francouzská Polynésie,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Francouzská Polynésie,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Francouzská Polynésie,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Francouzská Polynésie,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Francouzská Polynésie,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Francouzská Polynésie,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Francouzská Polynésie,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Gabon,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Gabon,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Gabon,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Gabon,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Gabon,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Gabon,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Gabon,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Gambie,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Gambie,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Gambie,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Gambie,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Gambie,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Gambie,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Gambie,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Ghana,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Ghana,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Ghana,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Ghana,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Ghana,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Ghana,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Ghana,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Gibraltar,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Gibraltar,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Gibraltar,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Gibraltar,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Gibraltar,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Gibraltar,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Gibraltar,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Grenada,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Grenada,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Grenada,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Grenada,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Grenada,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Grenada,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Grenada,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Grónsko,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Grónsko,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Grónsko,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Grónsko,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Grónsko,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Grónsko,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Grónsko,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Gruzie,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Gruzie,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Gruzie,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Gruzie,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Gruzie,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Gruzie,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Gruzie,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Guam,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Guam,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Guam,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Guam,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Guam,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Guam,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Guam,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Guatemala,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Guatemala,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Guatemala,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Guatemala,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Guatemala,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Guatemala,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Guatemala,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Guinea,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Guinea,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Guinea,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Guinea,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Guinea,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Guinea,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Guinea,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Guinea-Bissau,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Guinea-Bissau,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Guinea-Bissau,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Guinea-Bissau,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Guinea-Bissau,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Guinea-Bissau,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Guinea-Bissau,Obrat zboží (meziroční index),
