Roky,Ukazatel,Oblasti destinačního managementu nečleněné,Kategorie ubytovacího zařízení,value
2024,Počet hromadných ubytovacích zařízení,Budějovicko,Ostatní HUZ,16.0
2024,Počet hromadných ubytovacích zařízení,Český Krumlov a okolí,HUZ celkem,149.0
2024,Počet hromadných ubytovacích zařízení,Český Krumlov a okolí,Hotel *****,1.0
2024,Počet hromadných ubytovacích zařízení,Český Krumlov a okolí,"Hotel, motel, botel ****",11.0
2024,Počet hromadných ubytovacích zařízení,Český Krumlov a okolí,"Hotel, motel, botel ***",7.0
2024,Počet hromadných ubytovacích zařízení,Český Krumlov a okolí,"Hotel, motel, botel **",1.0
2024,Počet hromadných ubytovacích zařízení,Český Krumlov a okolí,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Český Krumlov a okolí,Hotel garni,8.0
2024,Počet hromadných ubytovacích zařízení,Český Krumlov a okolí,Penzion,85.0
2024,Počet hromadných ubytovacích zařízení,Český Krumlov a okolí,Kemp,13.0
2024,Počet hromadných ubytovacích zařízení,Český Krumlov a okolí,Chatová osada,1.0
2024,Počet hromadných ubytovacích zařízení,Český Krumlov a okolí,Turistická ubytovna,8.0
2024,Počet hromadných ubytovacích zařízení,Český Krumlov a okolí,Ostatní HUZ,14.0
2024,Počet hromadných ubytovacích zařízení,Lipensko,HUZ celkem,192.0
2024,Počet hromadných ubytovacích zařízení,Lipensko,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Lipensko,"Hotel, motel, botel ****",6.0
2024,Počet hromadných ubytovacích zařízení,Lipensko,"Hotel, motel, botel ***",30.0
2024,Počet hromadných ubytovacích zařízení,Lipensko,"Hotel, motel, botel **",1.0
2024,Počet hromadných ubytovacích zařízení,Lipensko,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Lipensko,Hotel garni,
2024,Počet hromadných ubytovacích zařízení,Lipensko,Penzion,85.0
2024,Počet hromadných ubytovacích zařízení,Lipensko,Kemp,14.0
2024,Počet hromadných ubytovacích zařízení,Lipensko,Chatová osada,10.0
2024,Počet hromadných ubytovacích zařízení,Lipensko,Turistická ubytovna,4.0
2024,Počet hromadných ubytovacích zařízení,Lipensko,Ostatní HUZ,42.0
2024,Počet hromadných ubytovacích zařízení,Novohradsko-Doudlebsko,HUZ celkem,61.0
2024,Počet hromadných ubytovacích zařízení,Novohradsko-Doudlebsko,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Novohradsko-Doudlebsko,"Hotel, motel, botel ****",1.0
2024,Počet hromadných ubytovacích zařízení,Novohradsko-Doudlebsko,"Hotel, motel, botel ***",5.0
2024,Počet hromadných ubytovacích zařízení,Novohradsko-Doudlebsko,"Hotel, motel, botel **",
2024,Počet hromadných ubytovacích zařízení,Novohradsko-Doudlebsko,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Novohradsko-Doudlebsko,Hotel garni,1.0
2024,Počet hromadných ubytovacích zařízení,Novohradsko-Doudlebsko,Penzion,39.0
2024,Počet hromadných ubytovacích zařízení,Novohradsko-Doudlebsko,Kemp,4.0
2024,Počet hromadných ubytovacích zařízení,Novohradsko-Doudlebsko,Chatová osada,1.0
2024,Počet hromadných ubytovacích zařízení,Novohradsko-Doudlebsko,Turistická ubytovna,7.0
2024,Počet hromadných ubytovacích zařízení,Novohradsko-Doudlebsko,Ostatní HUZ,3.0
2024,Počet hromadných ubytovacích zařízení,"Písecko, Blatensko, Strakonicko, Vodňansko",HUZ celkem,118.0
2024,Počet hromadných ubytovacích zařízení,"Písecko, Blatensko, Strakonicko, Vodňansko",Hotel *****,
2024,Počet hromadných ubytovacích zařízení,"Písecko, Blatensko, Strakonicko, Vodňansko","Hotel, motel, botel ****",4.0
2024,Počet hromadných ubytovacích zařízení,"Písecko, Blatensko, Strakonicko, Vodňansko","Hotel, motel, botel ***",14.0
2024,Počet hromadných ubytovacích zařízení,"Písecko, Blatensko, Strakonicko, Vodňansko","Hotel, motel, botel **",3.0
2024,Počet hromadných ubytovacích zařízení,"Písecko, Blatensko, Strakonicko, Vodňansko","Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,"Písecko, Blatensko, Strakonicko, Vodňansko",Hotel garni,3.0
2024,Počet hromadných ubytovacích zařízení,"Písecko, Blatensko, Strakonicko, Vodňansko",Penzion,31.0
2024,Počet hromadných ubytovacích zařízení,"Písecko, Blatensko, Strakonicko, Vodňansko",Kemp,22.0
2024,Počet hromadných ubytovacích zařízení,"Písecko, Blatensko, Strakonicko, Vodňansko",Chatová osada,11.0
2024,Počet hromadných ubytovacích zařízení,"Písecko, Blatensko, Strakonicko, Vodňansko",Turistická ubytovna,6.0
2024,Počet hromadných ubytovacích zařízení,"Písecko, Blatensko, Strakonicko, Vodňansko",Ostatní HUZ,24.0
2024,Počet hromadných ubytovacích zařízení,PodKletí-Jihočeský venkov,HUZ celkem,
2024,Počet hromadných ubytovacích zařízení,PodKletí-Jihočeský venkov,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,PodKletí-Jihočeský venkov,"Hotel, motel, botel ****",
2024,Počet hromadných ubytovacích zařízení,PodKletí-Jihočeský venkov,"Hotel, motel, botel ***",
2024,Počet hromadných ubytovacích zařízení,PodKletí-Jihočeský venkov,"Hotel, motel, botel **",
2024,Počet hromadných ubytovacích zařízení,PodKletí-Jihočeský venkov,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,PodKletí-Jihočeský venkov,Hotel garni,
2024,Počet hromadných ubytovacích zařízení,PodKletí-Jihočeský venkov,Penzion,
2024,Počet hromadných ubytovacích zařízení,PodKletí-Jihočeský venkov,Kemp,
2024,Počet hromadných ubytovacích zařízení,PodKletí-Jihočeský venkov,Chatová osada,
2024,Počet hromadných ubytovacích zařízení,PodKletí-Jihočeský venkov,Turistická ubytovna,
2024,Počet hromadných ubytovacích zařízení,PodKletí-Jihočeský venkov,Ostatní HUZ,
2024,Počet hromadných ubytovacích zařízení,Šumavsko,HUZ celkem,172.0
2024,Počet hromadných ubytovacích zařízení,Šumavsko,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Šumavsko,"Hotel, motel, botel ****",3.0
2024,Počet hromadných ubytovacích zařízení,Šumavsko,"Hotel, motel, botel ***",22.0
2024,Počet hromadných ubytovacích zařízení,Šumavsko,"Hotel, motel, botel **",3.0
2024,Počet hromadných ubytovacích zařízení,Šumavsko,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Šumavsko,Hotel garni,
2024,Počet hromadných ubytovacích zařízení,Šumavsko,Penzion,93.0
2024,Počet hromadných ubytovacích zařízení,Šumavsko,Kemp,9.0
2024,Počet hromadných ubytovacích zařízení,Šumavsko,Chatová osada,3.0
2024,Počet hromadných ubytovacích zařízení,Šumavsko,Turistická ubytovna,14.0
2024,Počet hromadných ubytovacích zařízení,Šumavsko,Ostatní HUZ,25.0
2024,Počet hromadných ubytovacích zařízení,Toulava,HUZ celkem,178.0
2024,Počet hromadných ubytovacích zařízení,Toulava,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Toulava,"Hotel, motel, botel ****",4.0
2024,Počet hromadných ubytovacích zařízení,Toulava,"Hotel, motel, botel ***",21.0
2024,Počet hromadných ubytovacích zařízení,Toulava,"Hotel, motel, botel **",2.0
2024,Počet hromadných ubytovacích zařízení,Toulava,"Hotel, motel, botel *",2.0
2024,Počet hromadných ubytovacích zařízení,Toulava,Hotel garni,1.0
2024,Počet hromadných ubytovacích zařízení,Toulava,Penzion,60.0
2024,Počet hromadných ubytovacích zařízení,Toulava,Kemp,24.0
2024,Počet hromadných ubytovacích zařízení,Toulava,Chatová osada,17.0
2024,Počet hromadných ubytovacích zařízení,Toulava,Turistická ubytovna,12.0
2024,Počet hromadných ubytovacích zařízení,Toulava,Ostatní HUZ,35.0
2024,Počet hromadných ubytovacích zařízení,Třeboňsko,HUZ celkem,180.0
2024,Počet hromadných ubytovacích zařízení,Třeboňsko,Hotel *****,
