Stát,Kumulace měsíců,Ukazatel,value
Česko,listopad 2023,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",186197.0
Česko,říjen 2023,Počet stavebních povolení v ČR,65041.0
Česko,říjen 2023,Počet vydaných stavebních povolení - budovy,36901.0
Česko,říjen 2023,Počet vydaných stavebních povolení - budovy bytové,22103.0
Česko,říjen 2023,Počet vydaných stavebních povolení - budovy nebytové,14798.0
Česko,říjen 2023,Počet vydaných stavebních povolení - inženýrské stavby,28140.0
Česko,říjen 2023,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",475559.0
Česko,říjen 2023,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",308611.0
Česko,říjen 2023,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",143914.0
Česko,říjen 2023,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",164697.0
Česko,říjen 2023,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",166948.0
Česko,září 2023,Počet stavebních povolení v ČR,58396.0
Česko,září 2023,Počet vydaných stavebních povolení - budovy,33090.0
Česko,září 2023,Počet vydaných stavebních povolení - budovy bytové,19907.0
Česko,září 2023,Počet vydaných stavebních povolení - budovy nebytové,13183.0
Česko,září 2023,Počet vydaných stavebních povolení - inženýrské stavby,25306.0
Česko,září 2023,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",422821.0
Česko,září 2023,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",274449.0
Česko,září 2023,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",124737.0
Česko,září 2023,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",149712.0
Česko,září 2023,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",148372.0
Česko,srpen 2023,Počet stavebních povolení v ČR,52285.0
Česko,srpen 2023,Počet vydaných stavebních povolení - budovy,29710.0
Česko,srpen 2023,Počet vydaných stavebních povolení - budovy bytové,17918.0
Česko,srpen 2023,Počet vydaných stavebních povolení - budovy nebytové,11792.0
Česko,srpen 2023,Počet vydaných stavebních povolení - inženýrské stavby,22575.0
Česko,srpen 2023,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",377115.0
Česko,srpen 2023,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",245533.0
Česko,srpen 2023,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",112257.0
Česko,srpen 2023,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",133276.0
