Kategorie,Čtvrtletí,Oblasti destinačního managementu členěné,Ukazatel,Rezidence,value
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Zbirožsko,Počet hostů,Celkem,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Zbirožsko,Počet hostů,Rezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Zbirožsko,Počet hostů,Nerezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Zbirožsko,Počet přenocování,Celkem,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Zbirožsko,Počet přenocování,Rezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Zbirožsko,Počet přenocování,Nerezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Zbirožsko,Průměrný počet přenocování ,Celkem,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Zbirožsko,Průměrný počet přenocování ,Rezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Zbirožsko,Průměrný počet přenocování ,Nerezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pobrdí,Počet hostů,Celkem,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pobrdí,Počet hostů,Rezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pobrdí,Počet hostů,Nerezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pobrdí,Počet přenocování,Celkem,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pobrdí,Počet přenocování,Rezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pobrdí,Počet přenocování,Nerezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pobrdí,Průměrný počet přenocování ,Celkem,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pobrdí,Průměrný počet přenocování ,Rezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pobrdí,Průměrný počet přenocování ,Nerezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český les,Počet hostů,Celkem,48753.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český les,Počet hostů,Rezidenti,21377.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český les,Počet hostů,Nerezidenti,27376.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český les,Počet přenocování,Celkem,121679.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český les,Počet přenocování,Rezidenti,59028.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český les,Počet přenocování,Nerezidenti,62651.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český les,Průměrný počet přenocování ,Celkem,2.4958258979
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český les,Průměrný počet přenocování ,Rezidenti,2.7612854938
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český les,Průměrný počet přenocování ,Nerezidenti,2.288537405
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Královicko, Střela, Radnicko",Počet hostů,Celkem,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Královicko, Střela, Radnicko",Počet hostů,Rezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Královicko, Střela, Radnicko",Počet hostů,Nerezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Královicko, Střela, Radnicko",Počet přenocování,Celkem,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Královicko, Střela, Radnicko",Počet přenocování,Rezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Královicko, Střela, Radnicko",Počet přenocování,Nerezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Královicko, Střela, Radnicko",Průměrný počet přenocování ,Celkem,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Královicko, Střela, Radnicko",Průměrný počet přenocování ,Rezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Královicko, Střela, Radnicko",Průměrný počet přenocování ,Nerezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pošumaví,Počet hostů,Celkem,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pošumaví,Počet hostů,Rezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pošumaví,Počet hostů,Nerezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pošumaví,Počet přenocování,Celkem,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pošumaví,Počet přenocování,Rezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pošumaví,Počet přenocování,Nerezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pošumaví,Průměrný počet přenocování ,Celkem,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pošumaví,Průměrný počet přenocování ,Rezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pošumaví,Průměrný počet přenocování ,Nerezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeň a okolí,Počet hostů,Celkem,88244.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeň a okolí,Počet hostů,Rezidenti,42960.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeň a okolí,Počet hostů,Nerezidenti,45284.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeň a okolí,Počet přenocování,Celkem,158740.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeň a okolí,Počet přenocování,Rezidenti,69408.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeň a okolí,Počet přenocování,Nerezidenti,89332.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeň a okolí,Průměrný počet přenocování ,Celkem,1.7988758443
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeň a okolí,Průměrný počet přenocování ,Rezidenti,1.6156424581
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeň a okolí,Průměrný počet přenocování ,Nerezidenti,1.9727055914
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Postřelí - Plzeňský kraj,Počet hostů,Celkem,9945.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Postřelí - Plzeňský kraj,Počet hostů,Rezidenti,9146.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Postřelí - Plzeňský kraj,Počet hostů,Nerezidenti,799.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Postřelí - Plzeňský kraj,Počet přenocování,Celkem,32832.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Postřelí - Plzeňský kraj,Počet přenocování,Rezidenti,31155.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Postřelí - Plzeňský kraj,Počet přenocování,Nerezidenti,1677.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Postřelí - Plzeňský kraj,Průměrný počet přenocování ,Celkem,3.3013574661
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Postřelí - Plzeňský kraj,Průměrný počet přenocování ,Rezidenti,3.4064071725
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Postřelí - Plzeňský kraj,Průměrný počet přenocování ,Nerezidenti,2.098873592
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumava západ,Počet hostů,Celkem,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumava západ,Počet hostů,Rezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumava západ,Počet hostů,Nerezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumava západ,Počet přenocování,Celkem,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumava západ,Počet přenocování,Rezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumava západ,Počet přenocování,Nerezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumava západ,Průměrný počet přenocování ,Celkem,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumava západ,Průměrný počet přenocování ,Rezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumava západ,Průměrný počet přenocování ,Nerezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jižní Plzeňsko,Počet hostů,Celkem,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jižní Plzeňsko,Počet hostů,Rezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jižní Plzeňsko,Počet hostů,Nerezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jižní Plzeňsko,Počet přenocování,Celkem,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jižní Plzeňsko,Počet přenocování,Rezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jižní Plzeňsko,Počet přenocování,Nerezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jižní Plzeňsko,Průměrný počet přenocování ,Celkem,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jižní Plzeňsko,Průměrný počet přenocování ,Rezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jižní Plzeňsko,Průměrný počet přenocování ,Nerezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumava žije,Počet hostů,Celkem,66661.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumava žije,Počet hostů,Rezidenti,60206.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumava žije,Počet hostů,Nerezidenti,6455.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumava žije,Počet přenocování,Celkem,177769.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumava žije,Počet přenocování,Rezidenti,162707.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumava žije,Počet přenocování,Nerezidenti,15062.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumava žije,Průměrný počet přenocování ,Celkem,2.6667616747
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumava žije,Průměrný počet přenocování ,Rezidenti,2.7025047337
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumava žije,Průměrný počet přenocování ,Nerezidenti,2.3333849729
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeň a okolí jihozápad,Počet hostů,Celkem,7768.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeň a okolí jihozápad,Počet hostů,Rezidenti,5619.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeň a okolí jihozápad,Počet hostů,Nerezidenti,2149.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeň a okolí jihozápad,Počet přenocování,Celkem,16019.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeň a okolí jihozápad,Počet přenocování,Rezidenti,11379.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeň a okolí jihozápad,Počet přenocování,Nerezidenti,4640.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeň a okolí jihozápad,Průměrný počet přenocování ,Celkem,2.0621781668
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeň a okolí jihozápad,Průměrný počet přenocování ,Rezidenti,2.025093433
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeň a okolí jihozápad,Průměrný počet přenocování ,Nerezidenti,2.1591437878
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Rokycansko - Horažďovicko,Počet hostů,Celkem,25255.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Rokycansko - Horažďovicko,Počet hostů,Rezidenti,19341.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Rokycansko - Horažďovicko,Počet hostů,Nerezidenti,5914.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Rokycansko - Horažďovicko,Počet přenocování,Celkem,45843.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Rokycansko - Horažďovicko,Počet přenocování,Rezidenti,33753.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Rokycansko - Horažďovicko,Počet přenocování,Nerezidenti,12090.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Rokycansko - Horažďovicko,Průměrný počet přenocování ,Celkem,1.8152049099
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Rokycansko - Horažďovicko,Průměrný počet přenocování ,Rezidenti,1.7451527842
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Rokycansko - Horažďovicko,Průměrný počet přenocování ,Nerezidenti,2.0443016571
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krušnohoří - Karlovarský kraj,Počet hostů,Celkem,41515.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krušnohoří - Karlovarský kraj,Počet hostů,Rezidenti,28381.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krušnohoří - Karlovarský kraj,Počet hostů,Nerezidenti,13134.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krušnohoří - Karlovarský kraj,Počet přenocování,Celkem,146209.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krušnohoří - Karlovarský kraj,Počet přenocování,Rezidenti,108514.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krušnohoří - Karlovarský kraj,Počet přenocování,Nerezidenti,37695.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krušnohoří - Karlovarský kraj,Průměrný počet přenocování ,Celkem,3.5218354812
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krušnohoří - Karlovarský kraj,Průměrný počet přenocování ,Rezidenti,3.8234734505
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krušnohoří - Karlovarský kraj,Průměrný počet přenocování ,Nerezidenti,2.8700319781
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Západočeské lázně,Počet hostů,Celkem,335641.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Západočeské lázně,Počet hostů,Rezidenti,145329.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Západočeské lázně,Počet hostů,Nerezidenti,190312.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Západočeské lázně,Počet přenocování,Celkem,1243962.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Západočeské lázně,Počet přenocování,Rezidenti,511127.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Západočeské lázně,Počet přenocování,Nerezidenti,732835.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Západočeské lázně,Průměrný počet přenocování ,Celkem,3.706227785
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Západočeské lázně,Průměrný počet přenocování ,Rezidenti,3.5170337648
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Západočeské lázně,Průměrný počet přenocování ,Nerezidenti,3.850703056
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Postřelí - Karlovarský kraj,Počet hostů,Celkem,4413.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Postřelí - Karlovarský kraj,Počet hostů,Rezidenti,3043.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Postřelí - Karlovarský kraj,Počet hostů,Nerezidenti,1370.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Postřelí - Karlovarský kraj,Počet přenocování,Celkem,9628.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Postřelí - Karlovarský kraj,Počet přenocování,Rezidenti,6662.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Postřelí - Karlovarský kraj,Počet přenocování,Nerezidenti,2966.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Postřelí - Karlovarský kraj,Průměrný počet přenocování ,Celkem,2.1817357806
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Postřelí - Karlovarský kraj,Průměrný počet přenocování ,Rezidenti,2.1892868879
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Postřelí - Karlovarský kraj,Průměrný počet přenocování ,Nerezidenti,2.1649635036
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,České Středohoří,Počet hostů,Celkem,42287.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,České Středohoří,Počet hostů,Rezidenti,26712.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,České Středohoří,Počet hostů,Nerezidenti,15575.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,České Středohoří,Počet přenocování,Celkem,88115.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,České Středohoří,Počet přenocování,Rezidenti,59365.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,České Středohoří,Počet přenocování,Nerezidenti,28750.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,České Středohoří,Průměrný počet přenocování ,Celkem,2.0837373188
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,České Středohoří,Průměrný počet přenocování ,Rezidenti,2.222409404
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,České Středohoří,Průměrný počet přenocování ,Nerezidenti,1.8459069021
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,České Švýcarsko,Počet hostů,Celkem,60910.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,České Švýcarsko,Počet hostů,Rezidenti,35805.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,České Švýcarsko,Počet hostů,Nerezidenti,25105.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,České Švýcarsko,Počet přenocování,Celkem,135322.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,České Švýcarsko,Počet přenocování,Rezidenti,80822.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,České Švýcarsko,Počet přenocování,Nerezidenti,54500.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,České Švýcarsko,Průměrný počet přenocování ,Celkem,2.2216713183
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,České Švýcarsko,Průměrný počet přenocování ,Rezidenti,2.2572825024
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,České Švýcarsko,Průměrný počet přenocování ,Nerezidenti,2.1708822944
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Dolní Poohří,Počet hostů,Celkem,19370.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Dolní Poohří,Počet hostů,Rezidenti,14707.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Dolní Poohří,Počet hostů,Nerezidenti,4663.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Dolní Poohří,Počet přenocování,Celkem,44496.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Dolní Poohří,Počet přenocování,Rezidenti,34104.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Dolní Poohří,Počet přenocování,Nerezidenti,10392.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Dolní Poohří,Průměrný počet přenocování ,Celkem,2.2971605576
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Dolní Poohří,Průměrný počet přenocování ,Rezidenti,2.3188957639
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Dolní Poohří,Průměrný počet přenocování ,Nerezidenti,2.2286081922
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krušnohoří - Ústecký kraj,Počet hostů,Celkem,71194.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krušnohoří - Ústecký kraj,Počet hostů,Rezidenti,44590.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krušnohoří - Ústecký kraj,Počet hostů,Nerezidenti,26604.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krušnohoří - Ústecký kraj,Počet přenocování,Celkem,202974.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krušnohoří - Ústecký kraj,Počet přenocování,Rezidenti,130645.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krušnohoří - Ústecký kraj,Počet přenocování,Nerezidenti,72329.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krušnohoří - Ústecký kraj,Průměrný počet přenocování ,Celkem,2.8509986797
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krušnohoří - Ústecký kraj,Průměrný počet přenocování ,Rezidenti,2.9299170218
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krušnohoří - Ústecký kraj,Průměrný počet přenocování ,Nerezidenti,2.7187265073
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český ráj - Liberecký kraj,Počet hostů,Celkem,47192.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český ráj - Liberecký kraj,Počet hostů,Rezidenti,40301.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český ráj - Liberecký kraj,Počet hostů,Nerezidenti,6891.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český ráj - Liberecký kraj,Počet přenocování,Celkem,106047.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český ráj - Liberecký kraj,Počet přenocování,Rezidenti,90006.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český ráj - Liberecký kraj,Počet přenocování,Nerezidenti,16041.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český ráj - Liberecký kraj,Průměrný počet přenocování ,Celkem,2.2471393457
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český ráj - Liberecký kraj,Průměrný počet přenocování ,Rezidenti,2.2333440858
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český ráj - Liberecký kraj,Průměrný počet přenocování ,Nerezidenti,2.3278188942
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jizerské hory,Počet hostů,Celkem,123868.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jizerské hory,Počet hostů,Rezidenti,98218.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jizerské hory,Počet hostů,Nerezidenti,25650.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jizerské hory,Počet přenocování,Celkem,309996.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jizerské hory,Počet přenocování,Rezidenti,251301.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jizerské hory,Počet přenocování,Nerezidenti,58695.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jizerské hory,Průměrný počet přenocování ,Celkem,2.5026318339
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jizerské hory,Průměrný počet přenocování ,Rezidenti,2.5586043291
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jizerské hory,Průměrný počet přenocování ,Nerezidenti,2.2883040936
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krkonoše - Liberecký kraj,Počet hostů,Celkem,58543.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krkonoše - Liberecký kraj,Počet hostů,Rezidenti,46718.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krkonoše - Liberecký kraj,Počet hostů,Nerezidenti,11825.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krkonoše - Liberecký kraj,Počet přenocování,Celkem,156485.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krkonoše - Liberecký kraj,Počet přenocování,Rezidenti,126163.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krkonoše - Liberecký kraj,Počet přenocování,Nerezidenti,30322.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krkonoše - Liberecký kraj,Průměrný počet přenocování ,Celkem,2.6729925012
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krkonoše - Liberecký kraj,Průměrný počet přenocování ,Rezidenti,2.7005222826
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Krkonoše - Liberecký kraj,Průměrný počet přenocování ,Nerezidenti,2.5642283298
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Lužické hory,Počet hostů,Celkem,39948.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Lužické hory,Počet hostů,Rezidenti,33554.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Lužické hory,Počet hostů,Nerezidenti,6394.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Lužické hory,Počet přenocování,Celkem,101537.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Lužické hory,Počet přenocování,Rezidenti,88235.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Lužické hory,Počet přenocování,Nerezidenti,13302.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Lužické hory,Průměrný počet přenocování ,Celkem,2.541729248
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Lužické hory,Průměrný počet přenocování ,Rezidenti,2.6296417715
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Lužické hory,Průměrný počet přenocování ,Nerezidenti,2.0803878636
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Máchův kraj - Liberecký kraj,Počet hostů,Celkem,33012.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Máchův kraj - Liberecký kraj,Počet hostů,Rezidenti,29048.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Máchův kraj - Liberecký kraj,Počet hostů,Nerezidenti,3964.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Máchův kraj - Liberecký kraj,Počet přenocování,Celkem,89782.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Máchův kraj - Liberecký kraj,Počet přenocování,Rezidenti,80261.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Máchův kraj - Liberecký kraj,Počet přenocování,Nerezidenti,9521.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Máchův kraj - Liberecký kraj,Průměrný počet přenocování ,Celkem,2.719677693
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Máchův kraj - Liberecký kraj,Průměrný počet přenocování ,Rezidenti,2.7630473699
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Máchův kraj - Liberecký kraj,Průměrný počet přenocování ,Nerezidenti,2.4018668012
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Broumovsko,Počet hostů,Celkem,22382.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Broumovsko,Počet hostů,Rezidenti,15483.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Broumovsko,Počet hostů,Nerezidenti,6899.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Broumovsko,Počet přenocování,Celkem,51885.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Broumovsko,Počet přenocování,Rezidenti,36224.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Broumovsko,Počet přenocování,Nerezidenti,15661.0
