Ukazatel;Typ indexu;Území;Klasifikace CZ-CPA;Měsíce;value
Index vývozních cen (%);Meziměsíční index;Česko;INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY;únor 2024;102.0
Index vývozních cen (%);Meziměsíční index;Česko;INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY;březen 2024;98.7
Index vývozních cen (%);Meziměsíční index;Česko;INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY;duben 2024;101.7
Index vývozních cen (%);Meziměsíční index;Česko;INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY;květen 2024;97.3
Index vývozních cen (%);Meziměsíční index;Česko;INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY;červen 2024;100.5
Index vývozních cen (%);Meziměsíční index;Česko;INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY;červenec 2024;101.6
Index vývozních cen (%);Meziměsíční index;Česko;INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY;srpen 2024;99.6
Index vývozních cen (%);Meziměsíční index;Česko;INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY;září 2024;98.7
Index vývozních cen (%);Meziměsíční index;Česko;INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY;říjen 2024;100.0
Index vývozních cen (%);Meziměsíční index;Česko;INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY;listopad 2024;101.1
Index vývozních cen (%);Meziměsíční index;Česko;INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY;prosinec 2024;99.7
Index vývozních cen (%);Meziměsíční index;Česko;INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY;leden 2025;104.9
Index vývozních cen (%);Meziměsíční index;Česko;INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY;únor 2025;99.4
Index vývozních cen (%);Meziměsíční index;Česko;INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY;březen 2025;100.0
Index vývozních cen (%);Meziměsíční index;Česko;Produkty zemědělství a myslivosti a související služby;leden 2024;101.4
Index vývozních cen (%);Meziměsíční index;Česko;Produkty zemědělství a myslivosti a související služby;únor 2024;95.5
Index vývozních cen (%);Meziměsíční index;Česko;Produkty zemědělství a myslivosti a související služby;březen 2024;100.1
Index vývozních cen (%);Meziměsíční index;Česko;Produkty zemědělství a myslivosti a související služby;duben 2024;101.7
Index vývozních cen (%);Meziměsíční index;Česko;Produkty zemědělství a myslivosti a související služby;květen 2024;97.9
Index vývozních cen (%);Meziměsíční index;Česko;Produkty zemědělství a myslivosti a související služby;červen 2024;104.5
Index vývozních cen (%);Meziměsíční index;Česko;Produkty zemědělství a myslivosti a související služby;červenec 2024;99.1
