Území,Měsíce,Ukazatel,value
Česko,říjen 2023,Novorozenecká úmrtnost,1.797566372
Česko,září 2023,Sňatky na 1 000 obyvatel,9.308976267
Česko,září 2023,Rozvody na 1 000 obyvatel,1.630802178
Česko,září 2023,Živě narození na 1 000 obyvatel,8.286932436
Česko,září 2023,Potraty na 1 000 obyvatel,2.168073306
Česko,září 2023,UPT na 1 000 obyvatel,1.286769938
Česko,září 2023,Zemřelí na 1 000 obyvatel,9.340251925
Česko,září 2023,Přistěhovalí na 1 000 obyvatel,12.90791094
Česko,září 2023,Vystěhovalí na 1 000 obyvatel,19.22112594
Česko,září 2023,Přirozený přírůstek/úbytek na 1 000 obyvatel,-1.053319489
Česko,září 2023,Přírůstek/úbytek stěhováním na 1 000 obyvatel,-6.313215006
Česko,září 2023,Celkový přírůstek/úbytek na 1 000 obyvatel,-7.366534495
Česko,září 2023,Kojenecká úmrtnost,1.887046772
Česko,září 2023,Novorozenecká úmrtnost,1.213101496
Česko,srpen 2023,Sňatky na 1 000 obyvatel,7.282988487
Česko,srpen 2023,Rozvody na 1 000 obyvatel,1.588052559
Česko,srpen 2023,Živě narození na 1 000 obyvatel,8.884013565
Česko,srpen 2023,Potraty na 1 000 obyvatel,2.415050658
Česko,srpen 2023,UPT na 1 000 obyvatel,1.46265154
Česko,srpen 2023,Zemřelí na 1 000 obyvatel,9.652635327
Česko,srpen 2023,Přistěhovalí na 1 000 obyvatel,13.09035171
Česko,srpen 2023,Vystěhovalí na 1 000 obyvatel,3.290695401
Česko,srpen 2023,Přirozený přírůstek/úbytek na 1 000 obyvatel,-0.768621763
Česko,srpen 2023,Přírůstek/úbytek stěhováním na 1 000 obyvatel,9.799657212
Česko,srpen 2023,Celkový přírůstek/úbytek na 1 000 obyvatel,9.031035449
Česko,srpen 2023,Kojenecká úmrtnost,2.920418593
Česko,srpen 2023,Novorozenecká úmrtnost,1.581893405
Česko,červenec 2023,Sňatky na 1 000 obyvatel,8.101414034
Česko,červenec 2023,Rozvody na 1 000 obyvatel,1.457345714
Česko,červenec 2023,Živě narození na 1 000 obyvatel,9.068650165
Česko,červenec 2023,Potraty na 1 000 obyvatel,2.202788324
Česko,červenec 2023,UPT na 1 000 obyvatel,1.331843039
Česko,červenec 2023,Zemřelí na 1 000 obyvatel,9.282870247
Česko,červenec 2023,Přistěhovalí na 1 000 obyvatel,13.56402614
Česko,červenec 2023,Vystěhovalí na 1 000 obyvatel,3.297690969
Česko,červenec 2023,Přirozený přírůstek/úbytek na 1 000 obyvatel,-0.214220083
Česko,červenec 2023,Přírůstek/úbytek stěhováním na 1 000 obyvatel,10.26633517
Česko,červenec 2023,Celkový přírůstek/úbytek na 1 000 obyvatel,10.05211509
Česko,červenec 2023,Kojenecká úmrtnost,1.670245765
Česko,červenec 2023,Novorozenecká úmrtnost,0.835122882
Česko,červen 2023,Sňatky na 1 000 obyvatel,10.34144332
Česko,červen 2023,Rozvody na 1 000 obyvatel,2.113718506
Česko,červen 2023,Živě narození na 1 000 obyvatel,8.769302241
Česko,červen 2023,Potraty na 1 000 obyvatel,2.331916023
Česko,červen 2023,UPT na 1 000 obyvatel,1.4199623
Česko,červen 2023,Zemřelí na 1 000 obyvatel,9.521244452
Česko,červen 2023,Přistěhovalí na 1 000 obyvatel,15.13059907
Česko,červen 2023,Vystěhovalí na 1 000 obyvatel,3.488922341
Česko,červen 2023,Přirozený přírůstek/úbytek na 1 000 obyvatel,-0.751942211
Česko,červen 2023,Přírůstek/úbytek stěhováním na 1 000 obyvatel,11.64167673
Česko,červen 2023,Celkový přírůstek/úbytek na 1 000 obyvatel,10.88973452
Česko,červen 2023,Kojenecká úmrtnost,2.169197397
Česko,červen 2023,Novorozenecká úmrtnost,1.403598316
Česko,květen 2023,Sňatky na 1 000 obyvatel,4.044754467
Česko,květen 2023,Rozvody na 1 000 obyvatel,1.996365951
Česko,květen 2023,Živě narození na 1 000 obyvatel,8.643332495
Česko,květen 2023,Potraty na 1 000 obyvatel,2.409295064
Česko,květen 2023,UPT na 1 000 obyvatel,1.514073416
Česko,květen 2023,Zemřelí na 1 000 obyvatel,9.554811195
Česko,květen 2023,Přistěhovalí na 1 000 obyvatel,14.09703144
Česko,květen 2023,Vystěhovalí na 1 000 obyvatel,3.348952653
Česko,květen 2023,Přirozený přírůstek/úbytek na 1 000 obyvatel,-0.911478699
Česko,květen 2023,Přírůstek/úbytek stěhováním na 1 000 obyvatel,10.74807879
Česko,květen 2023,Celkový přírůstek/úbytek na 1 000 obyvatel,9.836600091
Česko,květen 2023,Kojenecká úmrtnost,2.131661442
Česko,květen 2023,Novorozenecká úmrtnost,1.504702194
Česko,duben 2023,Sňatky na 1 000 obyvatel,3.312920433
Česko,duben 2023,Rozvody na 1 000 obyvatel,1.708014459
Česko,duben 2023,Živě narození na 1 000 obyvatel,8.275576615
Česko,duben 2023,Potraty na 1 000 obyvatel,2.156312217
Česko,duben 2023,UPT na 1 000 obyvatel,1.348255508
Česko,duben 2023,Zemřelí na 1 000 obyvatel,10.22343037
Česko,duben 2023,Přistěhovalí na 1 000 obyvatel,12.56914839
Česko,duben 2023,Vystěhovalí na 1 000 obyvatel,3.103341231
Česko,duben 2023,Přirozený přírůstek/úbytek na 1 000 obyvatel,-1.947853759
Česko,duben 2023,Přírůstek/úbytek stěhováním na 1 000 obyvatel,9.465807163
Česko,duben 2023,Celkový přírůstek/úbytek na 1 000 obyvatel,7.517953404
Česko,duben 2023,Kojenecká úmrtnost,1.489707476
Česko,duben 2023,Novorozenecká úmrtnost,0.541711809
Česko,březen 2023,Sňatky na 1 000 obyvatel,2.038222262
Česko,březen 2023,Rozvody na 1 000 obyvatel,1.968762078
Česko,březen 2023,Živě narození na 1 000 obyvatel,8.696632048
Česko,březen 2023,Potraty na 1 000 obyvatel,2.485372194
Česko,březen 2023,UPT na 1 000 obyvatel,1.537891877
Česko,březen 2023,Zemřelí na 1 000 obyvatel,10.77175503
Česko,březen 2023,Přistěhovalí na 1 000 obyvatel,12.70795765
Česko,březen 2023,Vystěhovalí na 1 000 obyvatel,2.19342236
Česko,březen 2023,Přirozený přírůstek/úbytek na 1 000 obyvatel,-2.075122985
Česko,březen 2023,Přírůstek/úbytek stěhováním na 1 000 obyvatel,10.51453529
Česko,březen 2023,Celkový přírůstek/úbytek na 1 000 obyvatel,8.439412305
Česko,březen 2023,Kojenecká úmrtnost,2.620741295
Česko,březen 2023,Novorozenecká úmrtnost,2.246349682
Česko,únor 2023,Sňatky na 1 000 obyvatel,1.506708016
Česko,únor 2023,Rozvody na 1 000 obyvatel,1.800113248
