Území;Ukazatel;Odvětví CZ-NACE;Čtvrtletí;value
Česko;Počet registrací ekonomických subjektů;J Informační a komunikační činnosti;4. čtvrtletí 2024;1416
Česko;Počet registrací ekonomických subjektů;J Informační a komunikační činnosti;3. čtvrtletí 2024;1497
Česko;Počet registrací ekonomických subjektů;J Informační a komunikační činnosti;2. čtvrtletí 2024;1470
Česko;Počet registrací ekonomických subjektů;J Informační a komunikační činnosti;1. čtvrtletí 2024;1801
Česko;Počet registrací ekonomických subjektů;J Informační a komunikační činnosti;4. čtvrtletí 2023;1475
Česko;Počet registrací ekonomických subjektů;J Informační a komunikační činnosti;3. čtvrtletí 2023;1333
Česko;Počet registrací ekonomických subjektů;J Informační a komunikační činnosti;2. čtvrtletí 2023;1235
Česko;Počet registrací ekonomických subjektů;J Informační a komunikační činnosti;1. čtvrtletí 2023;1362
Česko;Počet registrací ekonomických subjektů;J Informační a komunikační činnosti;4. čtvrtletí 2022;1218
Česko;Počet registrací ekonomických subjektů;J Informační a komunikační činnosti;3. čtvrtletí 2022;1236
Česko;Počet registrací ekonomických subjektů;J Informační a komunikační činnosti;2. čtvrtletí 2022;1363
Česko;Počet registrací ekonomických subjektů;J Informační a komunikační činnosti;1. čtvrtletí 2022;1458
Česko;Počet registrací ekonomických subjektů;J Informační a komunikační činnosti;4. čtvrtletí 2021;1206
Česko;Počet registrací ekonomických subjektů;K-N Finanční služby/další služby;1. čtvrtletí 2025;6905
Česko;Počet registrací ekonomických subjektů;K-N Finanční služby/další služby;4. čtvrtletí 2024;6241
Česko;Počet registrací ekonomických subjektů;K-N Finanční služby/další služby;3. čtvrtletí 2024;6560
Česko;Počet registrací ekonomických subjektů;K-N Finanční služby/další služby;2. čtvrtletí 2024;6099
Česko;Počet registrací ekonomických subjektů;K-N Finanční služby/další služby;1. čtvrtletí 2024;7269
Česko;Počet registrací ekonomických subjektů;K-N Finanční služby/další služby;4. čtvrtletí 2023;6198
Česko;Počet registrací ekonomických subjektů;K-N Finanční služby/další služby;3. čtvrtletí 2023;5150
Česko;Počet registrací ekonomických subjektů;K-N Finanční služby/další služby;2. čtvrtletí 2023;5016
Česko;Počet registrací ekonomických subjektů;K-N Finanční služby/další služby;1. čtvrtletí 2023;6369
