Kategorie,Ukazatel,Měsíce,Území,value
Hotely a penziony,Čisté využití lůžek (%),prosinec 2023,Středočeský kraj,20.8368218454
Hotely a penziony,Čisté využití lůžek (%),prosinec 2023,Jihočeský kraj,17.858659984
Hotely a penziony,Čisté využití lůžek (%),prosinec 2023,Plzeňský kraj,23.0649561765
Hotely a penziony,Čisté využití lůžek (%),prosinec 2023,Karlovarský kraj,37.4499105055
Hotely a penziony,Čisté využití lůžek (%),prosinec 2023,Ústecký kraj,15.9447425189
Hotely a penziony,Čisté využití lůžek (%),prosinec 2023,Liberecký kraj,19.2360019704
Hotely a penziony,Čisté využití lůžek (%),prosinec 2023,Královéhradecký kraj,22.3694675602
Hotely a penziony,Čisté využití lůžek (%),prosinec 2023,Pardubický kraj,19.116961482
Hotely a penziony,Čisté využití lůžek (%),prosinec 2023,Kraj Vysočina,15.0089372511
Hotely a penziony,Čisté využití lůžek (%),prosinec 2023,Jihomoravský kraj,19.7862062405
Hotely a penziony,Čisté využití lůžek (%),prosinec 2023,Olomoucký kraj,18.4349611466
Hotely a penziony,Čisté využití lůžek (%),prosinec 2023,Zlínský kraj,17.6536485202
Hotely a penziony,Čisté využití lůžek (%),prosinec 2023,Moravskoslezský kraj,20.7346906713
Hotely a penziony,Čisté využití lůžek (%),listopad 2023,Česko,30.9000271751
Hotely a penziony,Čisté využití lůžek (%),listopad 2023,Hlavní město Praha,51.5514939681
Hotely a penziony,Čisté využití lůžek (%),listopad 2023,Středočeský kraj,23.6885800673
Hotely a penziony,Čisté využití lůžek (%),listopad 2023,Jihočeský kraj,19.9448312259
Hotely a penziony,Čisté využití lůžek (%),listopad 2023,Plzeňský kraj,26.2974394761
Hotely a penziony,Čisté využití lůžek (%),listopad 2023,Karlovarský kraj,41.3293559871
Hotely a penziony,Čisté využití lůžek (%),listopad 2023,Ústecký kraj,17.952874814
Hotely a penziony,Čisté využití lůžek (%),listopad 2023,Liberecký kraj,15.0698044133
Hotely a penziony,Čisté využití lůžek (%),listopad 2023,Královéhradecký kraj,17.7850111594
Hotely a penziony,Čisté využití lůžek (%),listopad 2023,Pardubický kraj,20.7948651849
Hotely a penziony,Čisté využití lůžek (%),listopad 2023,Kraj Vysočina,18.6248683619
Hotely a penziony,Čisté využití lůžek (%),listopad 2023,Jihomoravský kraj,25.5901029738
Hotely a penziony,Čisté využití lůžek (%),listopad 2023,Olomoucký kraj,20.5115617361
