Roky,Kategorie ubytovacího zařízení,Oblasti destinačního managementu členěné,Ukazatel,value
2024,HUZ celkem,Český ráj - Liberecký kraj,Počet hromadných ubytovacích zařízení,87.0
2024,HUZ celkem,Český ráj - Liberecký kraj,Počet pokojů v hromadných ubytovacích zařízeních,1221.0
2024,HUZ celkem,Český ráj - Liberecký kraj,Počet lůžek v hromadných ubytovacích zařízeních,3861.0
2024,HUZ celkem,Český ráj - Liberecký kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,814.0
2024,HUZ celkem,Jizerské hory,Počet hromadných ubytovacích zařízení,357.0
2024,HUZ celkem,Jizerské hory,Počet pokojů v hromadných ubytovacích zařízeních,5622.0
2024,HUZ celkem,Jizerské hory,Počet lůžek v hromadných ubytovacích zařízeních,16452.0
2024,HUZ celkem,Jizerské hory,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,285.0
2024,HUZ celkem,Krkonoše - Liberecký kraj,Počet hromadných ubytovacích zařízení,300.0
2024,HUZ celkem,Krkonoše - Liberecký kraj,Počet pokojů v hromadných ubytovacích zařízeních,4168.0
2024,HUZ celkem,Krkonoše - Liberecký kraj,Počet lůžek v hromadných ubytovacích zařízeních,12836.0
2024,HUZ celkem,Krkonoše - Liberecký kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,69.0
2024,HUZ celkem,Lužické hory,Počet hromadných ubytovacích zařízení,102.0
2024,HUZ celkem,Lužické hory,Počet pokojů v hromadných ubytovacích zařízeních,1675.0
2024,HUZ celkem,Lužické hory,Počet lůžek v hromadných ubytovacích zařízeních,5235.0
2024,HUZ celkem,Lužické hory,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1463.0
2024,HUZ celkem,Máchův kraj - Liberecký kraj,Počet hromadných ubytovacích zařízení,80.0
2024,HUZ celkem,Máchův kraj - Liberecký kraj,Počet pokojů v hromadných ubytovacích zařízeních,1758.0
2024,HUZ celkem,Máchův kraj - Liberecký kraj,Počet lůžek v hromadných ubytovacích zařízeních,5903.0
2024,HUZ celkem,Máchův kraj - Liberecký kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1045.0
2024,HUZ celkem,Broumovsko,Počet hromadných ubytovacích zařízení,62.0
2024,HUZ celkem,Broumovsko,Počet pokojů v hromadných ubytovacích zařízeních,806.0
2024,HUZ celkem,Broumovsko,Počet lůžek v hromadných ubytovacích zařízeních,2566.0
2024,HUZ celkem,Broumovsko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,337.0
2024,HUZ celkem,Český ráj - Královéhradecký kraj,Počet hromadných ubytovacích zařízení,71.0
2024,HUZ celkem,Český ráj - Královéhradecký kraj,Počet pokojů v hromadných ubytovacích zařízeních,1317.0
2024,HUZ celkem,Český ráj - Královéhradecký kraj,Počet lůžek v hromadných ubytovacích zařízeních,4117.0
2024,HUZ celkem,Český ráj - Královéhradecký kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1198.0
2024,HUZ celkem,Hradecko,Počet hromadných ubytovacích zařízení,51.0
2024,HUZ celkem,Hradecko,Počet pokojů v hromadných ubytovacích zařízeních,1496.0
2024,HUZ celkem,Hradecko,Počet lůžek v hromadných ubytovacích zařízeních,3588.0
2024,HUZ celkem,Hradecko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,330.0
2024,HUZ celkem,Kladské pomezí,Počet hromadných ubytovacích zařízení,83.0
2024,HUZ celkem,Kladské pomezí,Počet pokojů v hromadných ubytovacích zařízeních,1399.0
2024,HUZ celkem,Kladské pomezí,Počet lůžek v hromadných ubytovacích zařízeních,3970.0
2024,HUZ celkem,Kladské pomezí,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1307.0
2024,HUZ celkem,Krkonoše - Královéhradecký kraj,Počet hromadných ubytovacích zařízení,649.0
2024,HUZ celkem,Krkonoše - Královéhradecký kraj,Počet pokojů v hromadných ubytovacích zařízeních,10222.0
2024,HUZ celkem,Krkonoše - Královéhradecký kraj,Počet lůžek v hromadných ubytovacích zařízeních,28690.0
2024,HUZ celkem,Krkonoše - Královéhradecký kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1095.0
2024,HUZ celkem,Orlické hory a Podorlicko - Královéhradecký kraj,Počet hromadných ubytovacích zařízení,151.0
2024,HUZ celkem,Orlické hory a Podorlicko - Královéhradecký kraj,Počet pokojů v hromadných ubytovacích zařízeních,1960.0
2024,HUZ celkem,Orlické hory a Podorlicko - Královéhradecký kraj,Počet lůžek v hromadných ubytovacích zařízeních,5943.0
2024,HUZ celkem,Orlické hory a Podorlicko - Královéhradecký kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,202.0
2024,HUZ celkem,Podkrkonoší - Podzvičinsko,Počet hromadných ubytovacích zařízení,58.0
2024,HUZ celkem,Podkrkonoší - Podzvičinsko,Počet pokojů v hromadných ubytovacích zařízeních,1259.0
2024,HUZ celkem,Podkrkonoší - Podzvičinsko,Počet lůžek v hromadných ubytovacích zařízeních,3735.0
2024,HUZ celkem,Podkrkonoší - Podzvičinsko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,653.0
2024,HUZ celkem,Českomoravské pomezí,Počet hromadných ubytovacích zařízení,89.0
2024,HUZ celkem,Českomoravské pomezí,Počet pokojů v hromadných ubytovacích zařízeních,1519.0
2024,HUZ celkem,Českomoravské pomezí,Počet lůžek v hromadných ubytovacích zařízeních,4416.0
