Stát,Ukazatel,Typ ceny,Měsíce,Typ indexu,Očištění,value
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2023,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",58.56353194
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2023,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",105.54505913
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2022,Meziroční index,Bez očištění,96.5683311035
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2022,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",98.4366896806
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2022,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",97.9670746418
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2022,Bazický index (2021 = 100),Bez očištění,105.31114496
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2022,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",103.65395599
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2022,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",101.38117096
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2022,Meziroční index,Bez očištění,98.882979517
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2022,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",98.8767409534
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2022,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",99.2978895639
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2022,Bazický index (2021 = 100),Bez očištění,128.74006243
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2022,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",128.36782776
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2022,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",102.80514099
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2022,Meziroční index,Bez očištění,102.4729136939
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2022,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",102.4527380931
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2022,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",102.5907123432
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2022,Bazický index (2021 = 100),Bez očištění,119.37864574
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2022,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",122.91969393
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2022,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",102.20311822
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2022,Meziroční index,Bez očištění,98.5496191489
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2022,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",98.5561745557
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2022,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",99.3869342251
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2022,Bazický index (2021 = 100),Bez očištění,116.31495331
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2022,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",115.98731158
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2022,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",100.88448683
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2022,Meziroční index,Bez očištění,103.1707840402
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2022,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",101.2567310903
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2022,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",101.8986605704
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2022,Bazický index (2021 = 100),Bez očištění,116.41536138
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2022,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",114.84599412
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2022,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",101.97822924
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2022,Meziroční index,Bez očištění,98.144833759
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2022,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",99.9637763285
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2022,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",100.7140939571
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2022,Bazický index (2021 = 100),Bez očištění,103.63302159
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2022,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",107.24744571
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2022,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",100.39905023
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2022,Meziroční index,Bez očištění,103.5168454115
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2022,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",103.5384433221
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2022,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",103.5152206293
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2022,Bazický index (2021 = 100),Bez očištění,117.23360278
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2022,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",116.310256
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2022,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",104.63975032
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2022,Meziroční index,Bez očištění,105.6946251756
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2022,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",103.7767055546
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2022,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",104.1413027634
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2022,Bazický index (2021 = 100),Bez očištění,112.74684661
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2022,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",110.38551545
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2022,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",105.49750806
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2022,Meziroční index,Bez očištění,105.7003394102
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2022,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",107.6712119911
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2022,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",107.7839990373
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2022,Bazický index (2021 = 100),Bez očištění,100.41004071
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2022,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",102.41362054
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2022,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",108.01128058
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2022,Meziroční index,Bez očištění,114.499054018
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2022,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",114.6011283904
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2022,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",113.0074345252
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2022,Bazický index (2021 = 100),Bez očištění,94.29542486
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2022,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",92.20981345
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2022,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",108.38967421
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2022,Meziroční index,Bez očištění,116.7560034094
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2022,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",116.7560034286
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2022,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",115.1847879508
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2022,Bazický index (2021 = 100),Bez očištění,68.04986802
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2022,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",68.21787539
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2022,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",108.20448883
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2022,Meziroční index,Bez očištění,107.221499508
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2022,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",105.2253909499
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2022,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",103.6336468729
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2022,Bazický index (2021 = 100),Bez očištění,56.01415507
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2022,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",56.60442973
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2022,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",103.25600091
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2021,Meziroční index,Bez očištění,110.4916341388
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2021,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",108.3471611518
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2021,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",108.3601491475
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2021,Bazický index (2021 = 100),Bez očištění,109.0535
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2021,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",105.30012369
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2021,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",103.4849426
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2021,Meziroční index,Bez očištění,105.6558357807
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2021,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",103.7409901831
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2021,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",105.390541915
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2021,Bazický index (2021 = 100),Bez očištění,130.1943601
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2021,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",129.8261113
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2021,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",103.53205032
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2021,Meziroční index,Bez očištění,99.7762618216
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2021,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",101.7133597646
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2021,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",102.9377294904
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2021,Bazický index (2021 = 100),Bez očištění,116.49775676
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2021,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",119.97697301
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2021,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",99.62219375
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2021,Meziroční index,Bez očištění,102.8630959097
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2021,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",102.854773942
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2021,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",105.3220837573
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2021,Bazický index (2021 = 100),Bez očištění,118.02679129
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2021,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",117.6864992
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2021,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",101.50679022
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2021,Meziroční index,Bez očištění,105.700513135
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2021,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",103.7855559036
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2021,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",104.4230628964
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2021,Bazický index (2021 = 100),Bez očištění,112.83752708
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2021,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",113.42060215
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2021,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",100.07808608
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2021,Meziroční index,Bez očištění,99.2823434168
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2021,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",103.0301913047
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2021,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",103.8499844637
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2021,Bazický index (2021 = 100),Bez očištění,105.59192738
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2021,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",107.28630875
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2021,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",99.68719003
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2021,Meziroční index,Bez očištění,108.1241331836
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2021,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",108.1146899088
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2021,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",108.2057493789
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2021,Bazický index (2021 = 100),Bez očištění,113.25074901
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2021,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",112.33533388
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2021,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",101.08634236
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2021,Meziroční index,Bez očištění,108.1363942748
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2021,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",104.2666585954
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2021,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",104.4781584031
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2021,Bazický index (2021 = 100),Bez očištění,106.67226117
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2021,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",106.36829803
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2021,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",101.30227418
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2021,Meziroční index,Bez očištění,100.3257079202
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2021,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",100.3309711
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2021,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",99.4912128456
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2021,Bazický index (2021 = 100),Bez očištění,94.99500311
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2021,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",95.11699427
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2021,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",100.21086761
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2021,Meziroční index,Bez očištění,96.6466672966
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2021,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",94.8269944526
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2021,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",93.7671422276
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2021,Bazický index (2021 = 100),Bez očištění,82.35476325
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2021,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",80.46152315
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2021,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",95.91375529
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2021,Meziroční index,Bez očištění,90.4833626163
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2021,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",90.4893995507
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2021,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",89.1084343185
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2021,Bazický index (2021 = 100),Bez očištění,58.28382784
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2021,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",58.42772396
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2021,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",93.93991234
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2021,Meziroční index,Bez očištění,95.362434978
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2021,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",98.9614483008
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2021,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",96.9385325908
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2021,Bazický index (2021 = 100),Bez očištění,52.24153302
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2021,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",53.7935086
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2021,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",99.63559522
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2020,Meziroční index,Bez očištění,91.9454127689
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2020,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",88.7046451672
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2020,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",89.773620941
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2020,Bazický index (2021 = 100),Bez očištění,98.6984226
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2020,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",97.187709
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2020,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",95.500923
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2020,Meziroční index,Bez očištění,92.2246527869
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2020,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",93.9147416827
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2020,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",93.8169983165
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2020,Bazický index (2021 = 100),Bez očištění,123.22495879
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2020,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",125.144469
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2020,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",98.236567
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2020,Meziroční index,Bez očištění,90.6808744713
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2020,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",92.3369873682
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2020,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",92.7818508779
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2020,Bazický index (2021 = 100),Bez očištění,116.7589912
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2020,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",117.955963
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2020,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",96.779086
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2020,Meziroční index,Bez očištění,90.5224664544
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2020,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",90.5169613595
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2020,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",92.1397363756
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2020,Bazický index (2021 = 100),Bez očištění,114.74162842
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2020,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",114.420065
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2020,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",96.377499
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2020,Meziroční index,Bez očištění,88.8667848638
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2020,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",90.5225724138
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2020,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",92.3183504569
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2020,Bazický index (2021 = 100),Bez očištění,106.75210908
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2020,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",109.28361
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2020,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",95.839064
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2020,Meziroční index,Bez očištění,87.6987654434
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2020,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",87.6577815271
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2020,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",88.982666251
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2020,Bazický index (2021 = 100),Bez očištění,106.35519242
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2020,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",104.130942
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2020,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",95.991531
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2020,Meziroční index,Bez očištění,90.7755804658
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2020,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",87.5768682898
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2020,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",88.2012557784
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2020,Bazický index (2021 = 100),Bez očištění,104.74141681
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2020,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",103.903858
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2020,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",93.420491
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2020,Meziroční index,Bez očištění,89.9824066964
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2020,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",93.3059374829
