Území;Ukazatel;Výrobek;Roky;value
Česko;Energetická náročnost na výrobu vybraných výrobků;Kyselina dusičná (GJ/t);2021;1.6251852245
Česko;Energetická náročnost na výrobu vybraných výrobků;Kyselina dusičná (GJ/t);2020;1.8587128817
Česko;Energetická náročnost na výrobu vybraných výrobků;Kyselina dusičná (GJ/t);2019;1.6279748613
Česko;Energetická náročnost na výrobu vybraných výrobků;Kyselina dusičná (GJ/t);2018;1.6100744657
Česko;Energetická náročnost na výrobu vybraných výrobků;Kyselina sírová (GJ/t);2022;0.8612701983
Česko;Energetická náročnost na výrobu vybraných výrobků;Kyselina sírová (GJ/t);2021;1.0343382385
Česko;Energetická náročnost na výrobu vybraných výrobků;Kyselina sírová (GJ/t);2020;1.2637379957
Česko;Energetická náročnost na výrobu vybraných výrobků;Kyselina sírová (GJ/t);2019;1.3869652456
Česko;Energetická náročnost na výrobu vybraných výrobků;Kyselina sírová (GJ/t);2018;1.2189846057
Česko;Energetická náročnost na výrobu vybraných výrobků;Ethanol (GJ/t);2022;8.670413715
Česko;Energetická náročnost na výrobu vybraných výrobků;Ethanol (GJ/t);2021;9.0100467126
Česko;Energetická náročnost na výrobu vybraných výrobků;Ethanol (GJ/t);2020;9.8527613675
Česko;Energetická náročnost na výrobu vybraných výrobků;Ethanol (GJ/t);2019;10.0442911459
Česko;Energetická náročnost na výrobu vybraných výrobků;Ethanol (GJ/t);2018;9.4507864214
Česko;Energetická náročnost na výrobu vybraných výrobků;Polyetylén a kopolymery (GJ/t);2022;17.5933731115
Česko;Energetická náročnost na výrobu vybraných výrobků;Polyetylén a kopolymery (GJ/t);2021;19.4334223849
Česko;Energetická náročnost na výrobu vybraných výrobků;Polyetylén a kopolymery (GJ/t);2020;16.5227210215
Česko;Energetická náročnost na výrobu vybraných výrobků;Polyetylén a kopolymery (GJ/t);2019;21.7999939409
Česko;Energetická náročnost na výrobu vybraných výrobků;Polyetylén a kopolymery (GJ/t);2018;21.3325017298
Česko;Energetická náročnost na výrobu vybraných výrobků;Polypropylén a kopolymery (GJ/t);2022;18.0603353204
Česko;Energetická náročnost na výrobu vybraných výrobků;Polypropylén a kopolymery (GJ/t);2021;20.2529698259
Česko;Energetická náročnost na výrobu vybraných výrobků;Polypropylén a kopolymery (GJ/t);2020;18.8925973152
Česko;Energetická náročnost na výrobu vybraných výrobků;Polypropylén a kopolymery (GJ/t);2019;21.3678855548
Česko;Energetická náročnost na výrobu vybraných výrobků;Polypropylén a kopolymery (GJ/t);2018;20.5212690917
Česko;Energetická náročnost na výrobu vybraných výrobků;Butadien-styrenový kaučuk a latex (GJ/t);2022;6.9125061557
Česko;Energetická náročnost na výrobu vybraných výrobků;Butadien-styrenový kaučuk a latex (GJ/t);2021;6.6049411502
Česko;Energetická náročnost na výrobu vybraných výrobků;Butadien-styrenový kaučuk a latex (GJ/t);2020;6.8315872262
Česko;Energetická náročnost na výrobu vybraných výrobků;Butadien-styrenový kaučuk a latex (GJ/t);2019;6.7510925707
Česko;Energetická náročnost na výrobu vybraných výrobků;Butadien-styrenový kaučuk a latex (GJ/t);2018;6.5316840869
