Kumulace měsíců,PCSU,Kraje,Ukazatel,value
01-02 2025,Stavební úřad kromě speciálního,Jihomoravský kraj,Dokončené byty,610
01-02 2025,Stavební úřad kromě speciálního,Jihomoravský kraj,Dokončené byty - nová výstavba,520
01-02 2025,Stavební úřad kromě speciálního,Jihomoravský kraj,Dokončené byty - změna dokončených staveb,90
01-02 2025,Stavební úřad kromě speciálního,Jihomoravský kraj,Dokončené byty v nových rodinných domech,298
01-02 2025,Stavební úřad kromě speciálního,Jihomoravský kraj,Dokončené byty v nových bytových domech,211
01-02 2025,Stavební úřad kromě speciálního,Jihomoravský kraj,Dokončené byty v nebytových budovách,23
01-02 2025,Stavební úřad kromě speciálního,Olomoucký kraj,Zahájené byty,166
01-02 2025,Stavební úřad kromě speciálního,Olomoucký kraj,Zahájené byty - nová výstavba,124
01-02 2025,Stavební úřad kromě speciálního,Olomoucký kraj,Zahájené byty - změna dokončených staveb,42
01-02 2025,Stavební úřad kromě speciálního,Olomoucký kraj,Zahájené byty v nových rodinných domech,87
01-02 2025,Stavební úřad kromě speciálního,Olomoucký kraj,Zahájené byty v nových bytových domech,37
01-02 2025,Stavební úřad kromě speciálního,Olomoucký kraj,Zahájené byty v nebytových budovách,0
01-02 2025,Stavební úřad kromě speciálního,Olomoucký kraj,Dokončené byty,182
01-02 2025,Stavební úřad kromě speciálního,Olomoucký kraj,Dokončené byty - nová výstavba,132
01-02 2025,Stavební úřad kromě speciálního,Olomoucký kraj,Dokončené byty - změna dokončených staveb,50
01-02 2025,Stavební úřad kromě speciálního,Olomoucký kraj,Dokončené byty v nových rodinných domech,105
01-02 2025,Stavební úřad kromě speciálního,Olomoucký kraj,Dokončené byty v nových bytových domech,27
01-02 2025,Stavební úřad kromě speciálního,Olomoucký kraj,Dokončené byty v nebytových budovách,8
01-02 2025,Stavební úřad kromě speciálního,Zlínský kraj,Zahájené byty,228
01-02 2025,Stavební úřad kromě speciálního,Zlínský kraj,Zahájené byty - nová výstavba,192
01-02 2025,Stavební úřad kromě speciálního,Zlínský kraj,Zahájené byty - změna dokončených staveb,36
01-02 2025,Stavební úřad kromě speciálního,Zlínský kraj,Zahájené byty v nových rodinných domech,104
01-02 2025,Stavební úřad kromě speciálního,Zlínský kraj,Zahájené byty v nových bytových domech,88
01-02 2025,Stavební úřad kromě speciálního,Zlínský kraj,Zahájené byty v nebytových budovách,7
01-02 2025,Stavební úřad kromě speciálního,Zlínský kraj,Dokončené byty,214
01-02 2025,Stavební úřad kromě speciálního,Zlínský kraj,Dokončené byty - nová výstavba,187
01-02 2025,Stavební úřad kromě speciálního,Zlínský kraj,Dokončené byty - změna dokončených staveb,27
01-02 2025,Stavební úřad kromě speciálního,Zlínský kraj,Dokončené byty v nových rodinných domech,136
01-02 2025,Stavební úřad kromě speciálního,Zlínský kraj,Dokončené byty v nových bytových domech,50
