Ukazatel,Rok,Pohlaví,"ČR, kraje",Věkové skupiny (pětileté),value
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Olomoucký kraj,0,4947
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Olomoucký kraj,1 - 4,24486
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Olomoucký kraj,5 - 9,33540
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Olomoucký kraj,10 - 14,32957
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Olomoucký kraj,15 - 19,35006
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Olomoucký kraj,20 - 24,29757
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Olomoucký kraj,25 - 29,29468
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Olomoucký kraj,30 - 34,38448
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Olomoucký kraj,35 - 39,40198
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Olomoucký kraj,40 - 44,42754
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Olomoucký kraj,45 - 49,53383
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Olomoucký kraj,50 - 54,48834
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Olomoucký kraj,55 - 59,40184
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Olomoucký kraj,60 - 64,38434
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Olomoucký kraj,65 - 69,38190
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Olomoucký kraj,70 - 74,37623
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Olomoucký kraj,75 - 79,30940
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Olomoucký kraj,80 - 84,19006
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Olomoucký kraj,85 - 89,9067
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Olomoucký kraj,90 - 94,3548
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Olomoucký kraj,95 a více,730
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Zlínský kraj,Celkem,578998
