Roky;ČR, kraje, okresy;Ukazatel;value
2023;Benešov;Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením;194.0
2023;Benešov;Uchazeči o zaměstnání v evidenci ÚP s nárokem na podporu - celkem;611.0
2023;Benešov;Uchazeči o zaměstnání v evidenci ÚP s nárokem na podporu - dosažitelní;582.0
2023;Benešov;Podíl nezaměstnaných osob - celkem (%);1.9379478
2023;Benešov;Podíl nezaměstnaných osob - muži (%);1.73254262
2023;Benešov;Podíl nezaměstnaných osob - ženy (%);2.15026156
2023;Benešov;Pracovní místa v evidenci ÚP celkem;3020.0
2023;Benešov;Pracovní místa v evidenci ÚP pro absolventy a mladistvé;736.0
2023;Benešov;Pracovní místa v evidenci ÚP pro osoby se zdravotním postižením;75.0
2023;Benešov;Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo;0.460264900662252
2023;Benešov;Počet dosažitelných uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo;0.406622516556291
2023;Beroun;Uchazeči o zaměstnání v evidenci ÚP - celkem;2472.0
2023;Beroun;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní;2246.0
2023;Beroun;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - muži;997.0
2023;Beroun;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - ženy;1249.0
2023;Beroun;Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením;291.0
2023;Beroun;Uchazeči o zaměstnání v evidenci ÚP s nárokem na podporu - celkem;755.0
2023;Beroun;Uchazeči o zaměstnání v evidenci ÚP s nárokem na podporu - dosažitelní;730.0
2023;Beroun;Podíl nezaměstnaných osob - celkem (%);3.51481197
2023;Beroun;Podíl nezaměstnaných osob - muži (%);3.07896606
2023;Beroun;Podíl nezaměstnaných osob - ženy (%);3.96256345
2023;Beroun;Pracovní místa v evidenci ÚP celkem;5195.0
2023;Beroun;Pracovní místa v evidenci ÚP pro absolventy a mladistvé;770.0
2023;Beroun;Pracovní místa v evidenci ÚP pro osoby se zdravotním postižením;161.0
2023;Beroun;Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo;0.475842155919153
2023;Beroun;Počet dosažitelných uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo;0.432338787295476
2023;Kladno;Uchazeči o zaměstnání v evidenci ÚP - celkem;5057.0
2023;Kladno;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní;4615.0
2023;Kladno;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - muži;2087.0
2023;Kladno;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - ženy;2528.0
2023;Kladno;Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením;461.0
2023;Kladno;Uchazeči o zaměstnání v evidenci ÚP s nárokem na podporu - celkem;1216.0
2023;Kladno;Uchazeči o zaměstnání v evidenci ÚP s nárokem na podporu - dosažitelní;1172.0
2023;Kladno;Podíl nezaměstnaných osob - celkem (%);4.28807701
2023;Kladno;Podíl nezaměstnaných osob - muži (%);3.85603163
2023;Kladno;Podíl nezaměstnaných osob - ženy (%);4.72514532
2023;Kladno;Pracovní místa v evidenci ÚP celkem;3367.0
2023;Kladno;Pracovní místa v evidenci ÚP pro absolventy a mladistvé;527.0
2023;Kladno;Pracovní místa v evidenci ÚP pro osoby se zdravotním postižením;78.0
2023;Kladno;Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo;1.5019305019305
2023;Kladno;Počet dosažitelných uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo;1.37065637065637
2023;Kolín;Uchazeči o zaměstnání v evidenci ÚP - celkem;3231.0
2023;Kolín;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní;2940.0
2023;Kolín;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - muži;1230.0
2023;Kolín;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - ženy;1710.0
2023;Kolín;Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením;450.0
2023;Kolín;Uchazeči o zaměstnání v evidenci ÚP s nárokem na podporu - celkem;1143.0
2023;Kolín;Uchazeči o zaměstnání v evidenci ÚP s nárokem na podporu - dosažitelní;1105.0
2023;Kolín;Podíl nezaměstnaných osob - celkem (%);4.33174699
2023;Kolín;Podíl nezaměstnaných osob - muži (%);3.53590525
2023;Kolín;Podíl nezaměstnaných osob - ženy (%);5.16850536
2023;Kolín;Pracovní místa v evidenci ÚP celkem;4190.0
