Kategorie;Území;Měsíce;Ukazatel;Rezidence;value
Hromadná ubytovací zařízení celkem;Česko;prosinec 2023;Počet hostů;Nerezidenti;837516.0
Hromadná ubytovací zařízení celkem;Česko;prosinec 2023;Počet přenocování;Celkem;3422148.0
Hromadná ubytovací zařízení celkem;Česko;prosinec 2023;Počet přenocování;Rezidenti;1368450.0
Hromadná ubytovací zařízení celkem;Česko;prosinec 2023;Počet přenocování;Nerezidenti;2053698.0
Hromadná ubytovací zařízení celkem;Česko;prosinec 2023;Průměrný počet přenocování ;Celkem;2.3407801397
Hromadná ubytovací zařízení celkem;Česko;prosinec 2023;Průměrný počet přenocování ;Rezidenti;2.1914379465
Hromadná ubytovací zařízení celkem;Česko;prosinec 2023;Průměrný počet přenocování ;Nerezidenti;2.4521298698
Hromadná ubytovací zařízení celkem;Česko;listopad 2023;Počet hostů;Celkem;1414404.0
Hromadná ubytovací zařízení celkem;Česko;listopad 2023;Počet hostů;Rezidenti;771298.0
Hromadná ubytovací zařízení celkem;Česko;listopad 2023;Počet hostů;Nerezidenti;643106.0
Hromadná ubytovací zařízení celkem;Česko;listopad 2023;Počet přenocování;Celkem;3271339.0
Hromadná ubytovací zařízení celkem;Česko;listopad 2023;Počet přenocování;Rezidenti;1717154.0
Hromadná ubytovací zařízení celkem;Česko;listopad 2023;Počet přenocování;Nerezidenti;1554185.0
Hromadná ubytovací zařízení celkem;Česko;listopad 2023;Průměrný počet přenocování ;Celkem;2.3128745394
Hromadná ubytovací zařízení celkem;Česko;listopad 2023;Průměrný počet přenocování ;Rezidenti;2.2263171952
Hromadná ubytovací zařízení celkem;Česko;listopad 2023;Průměrný počet přenocování ;Nerezidenti;2.4166855853
Hromadná ubytovací zařízení celkem;Česko;říjen 2023;Počet hostů;Celkem;1781401.0
Hromadná ubytovací zařízení celkem;Česko;říjen 2023;Počet hostů;Rezidenti;923518.0
Hromadná ubytovací zařízení celkem;Česko;říjen 2023;Počet hostů;Nerezidenti;857883.0
Hromadná ubytovací zařízení celkem;Česko;říjen 2023;Počet přenocování;Celkem;4238248.0
Hromadná ubytovací zařízení celkem;Česko;říjen 2023;Počet přenocování;Rezidenti;2120943.0
Hromadná ubytovací zařízení celkem;Česko;říjen 2023;Počet přenocování;Nerezidenti;2117305.0
Hromadná ubytovací zařízení celkem;Česko;říjen 2023;Průměrný počet přenocování ;Celkem;2.3791656118
Hromadná ubytovací zařízení celkem;Česko;říjen 2023;Průměrný počet přenocování ;Rezidenti;2.2965908623
Hromadná ubytovací zařízení celkem;Česko;říjen 2023;Průměrný počet přenocování ;Nerezidenti;2.4680579986
Hromadná ubytovací zařízení celkem;Česko;září 2023;Počet hostů;Celkem;2206464.0
Hromadná ubytovací zařízení celkem;Česko;září 2023;Počet hostů;Rezidenti;1286458.0
Hromadná ubytovací zařízení celkem;Česko;září 2023;Počet hostů;Nerezidenti;920006.0
