Ukazatel,Typ indexu,Území,Klasifikace stavebních děl,Čtvrtletí,value
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,1. čtvrtletí 2015,100.9
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,2. čtvrtletí 2015,101.1
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,3. čtvrtletí 2015,101.2
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,4. čtvrtletí 2015,101.3
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,1. čtvrtletí 2016,101.3
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,2. čtvrtletí 2016,101.1
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,3. čtvrtletí 2016,101.1
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,4. čtvrtletí 2016,101.1
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,1. čtvrtletí 2017,101.3
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,2. čtvrtletí 2017,101.7
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,3. čtvrtletí 2017,101.9
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,4. čtvrtletí 2017,102.3
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,1. čtvrtletí 2018,102.6
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,2. čtvrtletí 2018,102.9
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,3. čtvrtletí 2018,103.7
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,4. čtvrtletí 2018,104.0
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,1. čtvrtletí 2019,104.6
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,2. čtvrtletí 2019,104.7
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,3. čtvrtletí 2019,104.6
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,4. čtvrtletí 2019,104.4
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,1. čtvrtletí 2020,104.1
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,2. čtvrtletí 2020,103.9
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,3. čtvrtletí 2020,103.3
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,4. čtvrtletí 2020,102.7
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,1. čtvrtletí 2021,102.5
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,2. čtvrtletí 2021,104.0
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,3. čtvrtletí 2021,107.2
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,4. čtvrtletí 2021,109.1
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,1. čtvrtletí 2022,112.6
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,2. čtvrtletí 2022,114.1
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,3. čtvrtletí 2022,112.8
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,4. čtvrtletí 2022,112.3
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,1. čtvrtletí 2023,109.3
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,2. čtvrtletí 2023,106.0
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,3. čtvrtletí 2023,103.9
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,4. čtvrtletí 2023,102.6
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,1. čtvrtletí 2024,101.5
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,2. čtvrtletí 2024,101.5
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,3. čtvrtletí 2024,101.8
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,4. čtvrtletí 2024,101.9
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,1. čtvrtletí 2025,102.9
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,2. čtvrtletí 2025,102.9
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,1. čtvrtletí 2004,102.5
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,2. čtvrtletí 2004,103.8
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,3. čtvrtletí 2004,104.1
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,4. čtvrtletí 2004,104.1
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,1. čtvrtletí 2005,104.0
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,2. čtvrtletí 2005,102.6
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,3. čtvrtletí 2005,102.2
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,4. čtvrtletí 2005,102.3
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,1. čtvrtletí 2006,102.2
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,2. čtvrtletí 2006,102.7
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,3. čtvrtletí 2006,103.3
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,4. čtvrtletí 2006,103.4
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,1. čtvrtletí 2007,103.9
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,2. čtvrtletí 2007,104.2
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,3. čtvrtletí 2007,104.5
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,4. čtvrtletí 2007,104.9
