Kategorie;Území;Čtvrtletí;Rezidence;Ukazatel;value
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Argentina;Průměrný počet přenocování ;2.4836373391
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Ostatní americké země;Počet hostů;9922.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Ostatní americké země;Počet přenocování;23996.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Ostatní americké země;Průměrný počet přenocování ;2.4184640194
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Čína;Počet hostů;29987.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Čína;Počet přenocování;58063.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Čína;Průměrný počet přenocování ;1.9362723847
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Indie;Počet hostů;12653.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Indie;Počet přenocování;31115.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Indie;Průměrný počet přenocování ;2.4591006086
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Izrael;Počet hostů;48625.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Izrael;Počet přenocování;159675.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Izrael;Průměrný počet přenocování ;3.2838046272
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Japonsko;Počet hostů;14057.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Japonsko;Počet přenocování;27679.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Japonsko;Průměrný počet přenocování ;1.9690545636
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Korejská republika;Počet hostů;42715.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Korejská republika;Počet přenocování;73287.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Korejská republika;Průměrný počet přenocování ;1.7157204729
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Tchaj-wan;Počet hostů;32509.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Tchaj-wan;Počet přenocování;54286.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Tchaj-wan;Průměrný počet přenocování ;1.6698760343
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Saúdská Arábie;Počet hostů;4575.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Saúdská Arábie;Počet přenocování;16232.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Saúdská Arábie;Průměrný počet přenocování ;3.5479781421
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Spojené arabské emiráty;Počet hostů;4359.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Spojené arabské emiráty;Počet přenocování;12263.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Spojené arabské emiráty;Průměrný počet přenocování ;2.813259922
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Thajsko;Počet hostů;2520.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Thajsko;Počet přenocování;5092.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Thajsko;Průměrný počet přenocování ;2.0206349206
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Kazachstán;Počet hostů;3004.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Kazachstán;Počet přenocování;10436.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Kazachstán;Průměrný počet přenocování ;3.4740346205
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Ostatní asijské země;Počet hostů;35428.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Ostatní asijské země;Počet přenocování;89138.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Ostatní asijské země;Průměrný počet přenocování ;2.5160325167
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Jižní Afrika;Počet hostů;1591.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Jižní Afrika;Počet přenocování;4271.0
