Roky;Ukazatel;Oblasti destinačního managementu členěné;Kategorie ubytovacího zařízení;value
2023;Počet hromadných ubytovacích zařízení;Třeboňsko;HUZ celkem;189.0
2023;Počet hromadných ubytovacích zařízení;Třeboňsko;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Třeboňsko;Hotel, motel, botel ****;3.0
2023;Počet hromadných ubytovacích zařízení;Třeboňsko;Hotel, motel, botel ***;12.0
2023;Počet hromadných ubytovacích zařízení;Třeboňsko;Hotel, motel, botel **;1.0
2023;Počet hromadných ubytovacích zařízení;Třeboňsko;Hotel, motel, botel *;
2023;Počet hromadných ubytovacích zařízení;Třeboňsko;Hotel garni;2.0
2023;Počet hromadných ubytovacích zařízení;Třeboňsko;Penzion;106.0
2023;Počet hromadných ubytovacích zařízení;Třeboňsko;Kemp;31.0
2023;Počet hromadných ubytovacích zařízení;Třeboňsko;Chatová osada;4.0
2023;Počet hromadných ubytovacích zařízení;Třeboňsko;Turistická ubytovna;8.0
2023;Počet hromadných ubytovacích zařízení;Třeboňsko;Ostatní HUZ;22.0
2023;Počet hromadných ubytovacích zařízení;Pobrdí;HUZ celkem;50.0
2023;Počet hromadných ubytovacích zařízení;Pobrdí;Hotel *****;1.0
2023;Počet hromadných ubytovacích zařízení;Pobrdí;Hotel, motel, botel ****;1.0
2023;Počet hromadných ubytovacích zařízení;Pobrdí;Hotel, motel, botel ***;9.0
2023;Počet hromadných ubytovacích zařízení;Pobrdí;Hotel, motel, botel **;2.0
2023;Počet hromadných ubytovacích zařízení;Pobrdí;Hotel, motel, botel *;
2023;Počet hromadných ubytovacích zařízení;Pobrdí;Hotel garni;
2023;Počet hromadných ubytovacích zařízení;Pobrdí;Penzion;12.0
2023;Počet hromadných ubytovacích zařízení;Pobrdí;Kemp;6.0
2023;Počet hromadných ubytovacích zařízení;Pobrdí;Chatová osada;7.0
2023;Počet hromadných ubytovacích zařízení;Pobrdí;Turistická ubytovna;3.0
2023;Počet hromadných ubytovacích zařízení;Pobrdí;Ostatní HUZ;9.0
2023;Počet hromadných ubytovacích zařízení;Český les;HUZ celkem;111.0
2023;Počet hromadných ubytovacích zařízení;Český les;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Český les;Hotel, motel, botel ****;2.0
2023;Počet hromadných ubytovacích zařízení;Český les;Hotel, motel, botel ***;18.0
2023;Počet hromadných ubytovacích zařízení;Český les;Hotel, motel, botel **;
2023;Počet hromadných ubytovacích zařízení;Český les;Hotel, motel, botel *;4.0
2023;Počet hromadných ubytovacích zařízení;Český les;Hotel garni;2.0
2023;Počet hromadných ubytovacích zařízení;Český les;Penzion;49.0
2023;Počet hromadných ubytovacích zařízení;Český les;Kemp;8.0
2023;Počet hromadných ubytovacích zařízení;Český les;Chatová osada;10.0
2023;Počet hromadných ubytovacích zařízení;Český les;Turistická ubytovna;7.0
2023;Počet hromadných ubytovacích zařízení;Český les;Ostatní HUZ;11.0
2023;Počet hromadných ubytovacích zařízení;Pošumaví;HUZ celkem;61.0
2023;Počet hromadných ubytovacích zařízení;Pošumaví;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Pošumaví;Hotel, motel, botel ****;1.0
2023;Počet hromadných ubytovacích zařízení;Pošumaví;Hotel, motel, botel ***;8.0
2023;Počet hromadných ubytovacích zařízení;Pošumaví;Hotel, motel, botel **;1.0
2023;Počet hromadných ubytovacích zařízení;Pošumaví;Hotel, motel, botel *;
2023;Počet hromadných ubytovacích zařízení;Pošumaví;Hotel garni;
2023;Počet hromadných ubytovacích zařízení;Pošumaví;Penzion;22.0
2023;Počet hromadných ubytovacích zařízení;Pošumaví;Kemp;11.0
2023;Počet hromadných ubytovacích zařízení;Pošumaví;Chatová osada;2.0
2023;Počet hromadných ubytovacích zařízení;Pošumaví;Turistická ubytovna;4.0
2023;Počet hromadných ubytovacích zařízení;Pošumaví;Ostatní HUZ;12.0
