Ukazatel;ČR, kraje, okresy;Druh důchodu;Pohlaví;Roky;value
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu prvního stupně (sólo);žena;2019;6592
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu prvního stupně (sólo);žena;2020;7116
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu prvního stupně (sólo);žena;2021;7392
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu prvního stupně (sólo);žena;2022;8620
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu prvního stupně (sólo);žena;2023;9419
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod sirotčí;muž;2014;5693
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod sirotčí;muž;2015;5827
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod sirotčí;muž;2016;5852
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod sirotčí;muž;2017;6067
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod sirotčí;muž;2018;6332
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod sirotčí;muž;2019;7053
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod sirotčí;muž;2020;7627
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod sirotčí;muž;2021;8008
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod sirotčí;muž;2022;9368
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod sirotčí;muž;2023;10269
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod sirotčí;žena;2014;5713
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod sirotčí;žena;2015;5842
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod sirotčí;žena;2016;5894
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod sirotčí;žena;2017;6089
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod sirotčí;žena;2018;6369
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod sirotčí;žena;2019;7062
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod sirotčí;žena;2020;7644
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod sirotčí;žena;2021;8000
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod sirotčí;žena;2022;9362
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod sirotčí;žena;2023;10267
