Území;Ukazatel;Měsíce;Věkové skupiny (roky);value
Česko;Zemřelí;březen 2019;75-84;2898
Česko;Zemřelí;březen 2019;85 a více;3003
Česko;Zemřelí;únor 2019;celkem;9833
Česko;Zemřelí;únor 2019;0-14;47
Česko;Zemřelí;únor 2019;15-44;295
Česko;Zemřelí;únor 2019;45-64;1389
Česko;Zemřelí;únor 2019;65-74;2352
Česko;Zemřelí;únor 2019;75-84;2799
Česko;Zemřelí;únor 2019;85 a více;2951
Česko;Zemřelí;leden 2019;celkem;10448
Česko;Zemřelí;leden 2019;0-14;42
Česko;Zemřelí;leden 2019;15-44;246
Česko;Zemřelí;leden 2019;45-64;1458
Česko;Zemřelí;leden 2019;65-74;2443
Česko;Zemřelí;leden 2019;75-84;2960
Česko;Zemřelí;leden 2019;85 a více;3299
Česko;Zemřelí;prosinec 2018;celkem;9698
Česko;Zemřelí;prosinec 2018;0-14;30
Česko;Zemřelí;prosinec 2018;15-44;252
Česko;Zemřelí;prosinec 2018;45-64;1341
Česko;Zemřelí;prosinec 2018;65-74;2300
Česko;Zemřelí;prosinec 2018;75-84;2716
Česko;Zemřelí;prosinec 2018;85 a více;3059
Česko;Zemřelí;listopad 2018;celkem;8893
Česko;Zemřelí;listopad 2018;0-14;41
Česko;Zemřelí;listopad 2018;15-44;250
Česko;Zemřelí;listopad 2018;45-64;1279
Česko;Zemřelí;listopad 2018;65-74;2124
Česko;Zemřelí;listopad 2018;75-84;2469
Česko;Zemřelí;listopad 2018;85 a více;2730
Česko;Zemřelí;říjen 2018;celkem;9161
Česko;Zemřelí;říjen 2018;0-14;40
Česko;Zemřelí;říjen 2018;15-44;270
Česko;Zemřelí;říjen 2018;45-64;1260
Česko;Zemřelí;říjen 2018;65-74;2143
Česko;Zemřelí;říjen 2018;75-84;2660
Česko;Zemřelí;říjen 2018;85 a více;2788
Česko;Zemřelí;září 2018;celkem;8535
Česko;Zemřelí;září 2018;0-14;31
Česko;Zemřelí;září 2018;15-44;269
Česko;Zemřelí;září 2018;45-64;1235
Česko;Zemřelí;září 2018;65-74;2112
Česko;Zemřelí;září 2018;75-84;2366
Česko;Zemřelí;září 2018;85 a více;2522
Česko;Zemřelí;srpen 2018;celkem;9109
Česko;Zemřelí;srpen 2018;0-14;40
Česko;Zemřelí;srpen 2018;15-44;285
Česko;Zemřelí;srpen 2018;45-64;1304
Česko;Zemřelí;srpen 2018;65-74;2210
Česko;Zemřelí;srpen 2018;75-84;2545
Česko;Zemřelí;srpen 2018;85 a více;2725
Česko;Zemřelí;červenec 2018;celkem;9130
Česko;Zemřelí;červenec 2018;0-14;41
Česko;Zemřelí;červenec 2018;15-44;274
Česko;Zemřelí;červenec 2018;45-64;1320
Česko;Zemřelí;červenec 2018;65-74;2220
Česko;Zemřelí;červenec 2018;75-84;2561
Česko;Zemřelí;červenec 2018;85 a více;2714
Česko;Zemřelí;červen 2018;celkem;8362
Česko;Zemřelí;červen 2018;0-14;32
Česko;Zemřelí;červen 2018;15-44;289
Česko;Zemřelí;červen 2018;45-64;1286
