Území;Šetření;Ukazatel;Čtvrtletí;value
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);3. čtvrtletí 2016;101.5
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);2. čtvrtletí 2016;101.9
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);1. čtvrtletí 2016;102.1
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);4. čtvrtletí 2015;102.2
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);3. čtvrtletí 2015;102.1
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);2. čtvrtletí 2015;102.1
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);1. čtvrtletí 2015;102.0
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);4. čtvrtletí 2014;101.7
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);3. čtvrtletí 2014;101.2
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);2. čtvrtletí 2014;101.0
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);1. čtvrtletí 2014;100.4
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);4. čtvrtletí 2013;99.2
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);3. čtvrtletí 2013;99.0
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);2. čtvrtletí 2013;98.8
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);1. čtvrtletí 2013;99.1
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);4. čtvrtletí 2012;100.2
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);3. čtvrtletí 2012;100.1
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);2. čtvrtletí 2012;99.8
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);1. čtvrtletí 2012;100.1
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);4. čtvrtletí 2011;99.3
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);3. čtvrtletí 2011;99.6
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);2. čtvrtletí 2011;100.0
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);1. čtvrtletí 2011;99.7
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);4. čtvrtletí 2010;100.7
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);3. čtvrtletí 2010;100.6
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);2. čtvrtletí 2010;99.1
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);1. čtvrtletí 2010;96.5
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);4. čtvrtletí 2009;93.9
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);3. čtvrtletí 2009;93.4
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);2. čtvrtletí 2009;94.4
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);1. čtvrtletí 2009;96.4
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);4. čtvrtletí 2008;99.3
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);3. čtvrtletí 2008;100.8
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);2. čtvrtletí 2008;101.4
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);1. čtvrtletí 2008;101.9
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);4. čtvrtletí 2007;101.9
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);3. čtvrtletí 2007;101.5
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);2. čtvrtletí 2007;101.7
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);1. čtvrtletí 2007;101.9
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);4. čtvrtletí 2006;101.0
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);3. čtvrtletí 2006;100.8
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);2. čtvrtletí 2006;100.5
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);1. čtvrtletí 2006;100.5
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);4. čtvrtletí 2005;101.4
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);3. čtvrtletí 2005;101.6
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);2. čtvrtletí 2005;101.6
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);1. čtvrtletí 2005;101.7
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);4. čtvrtletí 2004;100.9
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);3. čtvrtletí 2004;100.4
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);2. čtvrtletí 2004;100.2
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);1. čtvrtletí 2004;99.5
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);4. čtvrtletí 2003;100.2
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);3. čtvrtletí 2003;100.0
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);2. čtvrtletí 2003;99.9
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);1. čtvrtletí 2003;99.9
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);4. čtvrtletí 2002;96.6
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);3. čtvrtletí 2002;97.3
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);2. čtvrtletí 2002;97.3
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);1. čtvrtletí 2002;98.7
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);4. čtvrtletí 2001;101.4
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);3. čtvrtletí 2001;101.0
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);2. čtvrtletí 2001;101.6
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);1. čtvrtletí 2001;100.4
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);4. čtvrtletí 2000;
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);3. čtvrtletí 2000;
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);2. čtvrtletí 2000;
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);1. čtvrtletí 2000;
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2024;107.2
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2024;107.1
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2024;106.6
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2024;107.3
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2023;107.0634715021
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2023;107.7507945474
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2023;108.3865551402
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2023;108.9310396629
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2022;105.6084892044
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2022;103.9311352226
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2022;102.4658375217
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2022;105.2711344875
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2021;103.9
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2021;105.3
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2021;111.2
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2021;103.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2020;106.7
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2020;105.4
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2020;100.9
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2020;105.5
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2019;107.6
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2019;107.7
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2019;108.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2019;108.3
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2018;107.1
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2018;108.4
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2018;108.7
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2018;108.5
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2017;107.8
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2017;106.7
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2017;107.2
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2017;105.1
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2016;104.4
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2016;104.7
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2016;104.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2016;104.7
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2015;103.7
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2015;103.5
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2015;103.4
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2015;102.3
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2014;102.2
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2014;101.6
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2014;102.1
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2014;103.2
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2013;98.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2013;101.2
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2013;101.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2013;99.4
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2012;103.2
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2012;101.4
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2012;102.1
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2012;103.2
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2011;102.4
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2011;102.1
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2011;102.6
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2011;102.8
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2010;100.7
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2010;102.2
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2010;103.1
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2010;102.8
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2009;104.6
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2009;104.1
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2009;102.5
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2009;102.2
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2008;107.4
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2008;107.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2008;107.3
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2008;109.9
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2007;106.4
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2007;107.3
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2007;107.5
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2007;107.8
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2006;106.5
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2006;106.1
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2006;106.6
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2006;107.1
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2005;104.1
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2005;105.9
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2005;105.2
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2005;105.1
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2004;106.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2004;106.8
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2004;104.2
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2004;108.3
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2003;105.6
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2003;105.4
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2003;106.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2003;106.4
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2002;107.7
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2002;108.2
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2002;108.4
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2002;107.9
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2001;108.1
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2001;108.9
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2001;108.8
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2001;109.3
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);4. čtvrtletí 2000;
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);3. čtvrtletí 2000;
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);2. čtvrtletí 2000;
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);1. čtvrtletí 2000;
