Území,Země,Měsíce,Ukazatel,value
Česko,Svět celkem,leden 2022,Pohyb zboží z ČR (meziroční index ),112.3463826095
Česko,Svět celkem,leden 2022,Pohyb zboží do ČR (meziroční index),121.1313192897
Česko,Svět celkem,leden 2022,Obrat pohybu zboží (meziroční index),116.4223857912
Česko,Svět celkem,prosinec 2021,"Pohyb zboží z ČR (v mil. Kč, FOB)",406772.518376
Česko,Svět celkem,prosinec 2021,"Pohyb zboží do ČR (v mil. Kč, CIF)",399643.58343
Česko,Svět celkem,prosinec 2021,Bilance - pohyb zboží (v mil. Kč),7128.934946
Česko,Svět celkem,prosinec 2021,Obrat - pohyb zboží (v mil. Kč),806416.101806
Česko,Svět celkem,prosinec 2021,Pohyb zboží z ČR (meziroční index ),105.979989471
Česko,Svět celkem,prosinec 2021,Pohyb zboží do ČR (meziroční index),115.2786268581
Česko,Svět celkem,prosinec 2021,Obrat pohybu zboží (meziroční index),110.3929020225
Česko,Svět celkem,listopad 2021,"Pohyb zboží z ČR (v mil. Kč, FOB)",476404.205469
Česko,Svět celkem,listopad 2021,"Pohyb zboží do ČR (v mil. Kč, CIF)",440260.905359
Česko,Svět celkem,listopad 2021,Bilance - pohyb zboží (v mil. Kč),36143.30011
Česko,Svět celkem,listopad 2021,Obrat - pohyb zboží (v mil. Kč),916665.110828
Česko,Svět celkem,listopad 2021,Pohyb zboží z ČR (meziroční index ),104.2484713472
Česko,Svět celkem,listopad 2021,Pohyb zboží do ČR (meziroční index),112.3804912733
Česko,Svět celkem,listopad 2021,Obrat pohybu zboží (meziroční index),108.0019909624
Česko,Svět celkem,říjen 2021,"Pohyb zboží z ČR (v mil. Kč, FOB)",419764.318455
Česko,Svět celkem,říjen 2021,"Pohyb zboží do ČR (v mil. Kč, CIF)",401974.009724
Česko,Svět celkem,říjen 2021,Bilance - pohyb zboží (v mil. Kč),17790.308731
Česko,Svět celkem,říjen 2021,Obrat - pohyb zboží (v mil. Kč),821738.328179
Česko,Svět celkem,říjen 2021,Pohyb zboží z ČR (meziroční index ),91.8376416009
Česko,Svět celkem,říjen 2021,Pohyb zboží do ČR (meziroční index),103.0622421569
Česko,Svět celkem,říjen 2021,Obrat pohybu zboží (meziroční index),97.0057701344
Česko,Svět celkem,září 2021,"Pohyb zboží z ČR (v mil. Kč, FOB)",411353.716289
Česko,Svět celkem,září 2021,"Pohyb zboží do ČR (v mil. Kč, CIF)",398879.206271
Česko,Svět celkem,září 2021,Bilance - pohyb zboží (v mil. Kč),12474.510018
Česko,Svět celkem,září 2021,Obrat - pohyb zboží (v mil. Kč),810232.92256
Česko,Svět celkem,září 2021,Pohyb zboží z ČR (meziroční index ),99.0724006507
Česko,Svět celkem,září 2021,Pohyb zboží do ČR (meziroční index),114.3900633178
Česko,Svět celkem,září 2021,Obrat pohybu zboží (meziroční index),106.0644684589
Česko,Svět celkem,srpen 2021,"Pohyb zboží z ČR (v mil. Kč, FOB)",350558.18891
Česko,Svět celkem,srpen 2021,"Pohyb zboží do ČR (v mil. Kč, CIF)",354293.753541
Česko,Svět celkem,srpen 2021,Bilance - pohyb zboží (v mil. Kč),-3735.564631
Česko,Svět celkem,srpen 2021,Obrat - pohyb zboží (v mil. Kč),704851.942451
Česko,Svět celkem,srpen 2021,Pohyb zboží z ČR (meziroční index ),107.691213483
Česko,Svět celkem,srpen 2021,Pohyb zboží do ČR (meziroční index),119.0600732082
Česko,Svět celkem,srpen 2021,Obrat pohybu zboží (meziroční index),113.1206958264
Česko,Svět celkem,červenec 2021,"Pohyb zboží z ČR (v mil. Kč, FOB)",373089.624698
Česko,Svět celkem,červenec 2021,"Pohyb zboží do ČR (v mil. Kč, CIF)",361256.342569
Česko,Svět celkem,červenec 2021,Bilance - pohyb zboží (v mil. Kč),11833.282129
Česko,Svět celkem,červenec 2021,Obrat - pohyb zboží (v mil. Kč),734345.967267
Česko,Svět celkem,červenec 2021,Pohyb zboží z ČR (meziroční index ),101.2980384906
Česko,Svět celkem,červenec 2021,Pohyb zboží do ČR (meziroční index),110.8644483261
Česko,Svět celkem,červenec 2021,Obrat pohybu zboží (meziroční index),105.7887044104
Česko,Svět celkem,červen 2021,"Pohyb zboží z ČR (v mil. Kč, FOB)",424471.547938
Česko,Svět celkem,červen 2021,"Pohyb zboží do ČR (v mil. Kč, CIF)",406575.454441
Česko,Svět celkem,červen 2021,Bilance - pohyb zboží (v mil. Kč),17896.093497
Česko,Svět celkem,červen 2021,Obrat - pohyb zboží (v mil. Kč),831047.002379
Česko,Svět celkem,červen 2021,Pohyb zboží z ČR (meziroční index ),113.7592200537
Česko,Svět celkem,červen 2021,Pohyb zboží do ČR (meziroční index),128.7027754122
Česko,Svět celkem,červen 2021,Obrat pohybu zboží (meziroční index),120.6104163334
Česko,Svět celkem,květen 2021,"Pohyb zboží z ČR (v mil. Kč, FOB)",407959.695109
Česko,Svět celkem,květen 2021,"Pohyb zboží do ČR (v mil. Kč, CIF)",377603.295748
Česko,Svět celkem,květen 2021,Bilance - pohyb zboží (v mil. Kč),30356.399361
Česko,Svět celkem,květen 2021,Obrat - pohyb zboží (v mil. Kč),785562.990857
Česko,Svět celkem,květen 2021,Pohyb zboží z ČR (meziroční index ),136.8286436488
Česko,Svět celkem,květen 2021,Pohyb zboží do ČR (meziroční index),133.4046967786
Česko,Svět celkem,květen 2021,Obrat pohybu zboží (meziroční index),135.1611562653
Česko,Svět celkem,duben 2021,"Pohyb zboží z ČR (v mil. Kč, FOB)",430883.076607
Česko,Svět celkem,duben 2021,"Pohyb zboží do ČR (v mil. Kč, CIF)",381446.802921
Česko,Svět celkem,duben 2021,Bilance - pohyb zboží (v mil. Kč),49436.273686
Česko,Svět celkem,duben 2021,Obrat - pohyb zboží (v mil. Kč),812329.879528
Česko,Svět celkem,duben 2021,Pohyb zboží z ČR (meziroční index ),164.9184011914
Česko,Svět celkem,duben 2021,Pohyb zboží do ČR (meziroční index),142.8191108443
Česko,Svět celkem,duben 2021,Obrat pohybu zboží (meziroční index),153.7471785142
Česko,Svět celkem,březen 2021,"Pohyb zboží z ČR (v mil. Kč, FOB)",465804.073387
Česko,Svět celkem,březen 2021,"Pohyb zboží do ČR (v mil. Kč, CIF)",424756.697431
Česko,Svět celkem,březen 2021,Bilance - pohyb zboží (v mil. Kč),41047.375956
Česko,Svět celkem,březen 2021,Obrat - pohyb zboží (v mil. Kč),890560.770818
Česko,Svět celkem,březen 2021,Pohyb zboží z ČR (meziroční index ),129.4908311087
Česko,Svět celkem,březen 2021,Pohyb zboží do ČR (meziroční index),125.6306402312
Česko,Svět celkem,březen 2021,Obrat pohybu zboží (meziroční index),127.6205346921
Česko,Svět celkem,únor 2021,"Pohyb zboží z ČR (v mil. Kč, FOB)",382309.428079
Česko,Svět celkem,únor 2021,"Pohyb zboží do ČR (v mil. Kč, CIF)",337629.787233
Česko,Svět celkem,únor 2021,Bilance - pohyb zboží (v mil. Kč),44679.640846
Česko,Svět celkem,únor 2021,Obrat - pohyb zboží (v mil. Kč),719939.215312
Česko,Svět celkem,únor 2021,Pohyb zboží z ČR (meziroční index ),106.169560961
Česko,Svět celkem,únor 2021,Pohyb zboží do ČR (meziroční index),106.5269159023
Česko,Svět celkem,únor 2021,Obrat pohybu zboží (meziroční index),106.3368506433
Česko,Svět celkem,leden 2021,"Pohyb zboží z ČR (v mil. Kč, FOB)",380600.56143
Česko,Svět celkem,leden 2021,"Pohyb zboží do ČR (v mil. Kč, CIF)",329443.832634
Česko,Svět celkem,leden 2021,Bilance - pohyb zboží (v mil. Kč),51156.728796
Česko,Svět celkem,leden 2021,Obrat - pohyb zboží (v mil. Kč),710044.394064
Česko,Svět celkem,leden 2021,Pohyb zboží z ČR (meziroční index ),99.5004389851
Česko,Svět celkem,leden 2021,Pohyb zboží do ČR (meziroční index),96.2543320824
Česko,Svět celkem,leden 2021,Obrat pohybu zboží (meziroční index),97.9675154005
Česko,Svět celkem,prosinec 2020,"Pohyb zboží z ČR (v mil. Kč, FOB)",383820.11586
Česko,Svět celkem,prosinec 2020,"Pohyb zboží do ČR (v mil. Kč, CIF)",346676.217719
Česko,Svět celkem,prosinec 2020,Bilance - pohyb zboží (v mil. Kč),37143.898141
Česko,Svět celkem,prosinec 2020,Obrat - pohyb zboží (v mil. Kč),730496.333579
Česko,Svět celkem,prosinec 2020,Pohyb zboží z ČR (meziroční index ),118.5409953396
Česko,Svět celkem,prosinec 2020,Pohyb zboží do ČR (meziroční index),112.7841511866
Česko,Svět celkem,prosinec 2020,Obrat pohybu zboží (meziroční index),115.737394965
Česko,Svět celkem,listopad 2020,"Pohyb zboží z ČR (v mil. Kč, FOB)",456989.152275
Česko,Svět celkem,listopad 2020,"Pohyb zboží do ČR (v mil. Kč, CIF)",391759.192695
Česko,Svět celkem,listopad 2020,Bilance - pohyb zboží (v mil. Kč),65229.95958
Česko,Svět celkem,listopad 2020,Obrat - pohyb zboží (v mil. Kč),848748.34497
Česko,Svět celkem,listopad 2020,Pohyb zboží z ČR (meziroční index ),110.7564432361
Česko,Svět celkem,listopad 2020,Pohyb zboží do ČR (meziroční index),105.5895911436
Česko,Svět celkem,listopad 2020,Obrat pohybu zboží (meziroční index),108.3101179428
Česko,Svět celkem,říjen 2020,"Pohyb zboží z ČR (v mil. Kč, FOB)",457072.188634
Česko,Svět celkem,říjen 2020,"Pohyb zboží do ČR (v mil. Kč, CIF)",390030.33634
Česko,Svět celkem,říjen 2020,Bilance - pohyb zboží (v mil. Kč),67041.852294
Česko,Svět celkem,říjen 2020,Obrat - pohyb zboží (v mil. Kč),847102.524974
Česko,Svět celkem,říjen 2020,Pohyb zboží z ČR (meziroční index ),105.9889530509
Česko,Svět celkem,říjen 2020,Pohyb zboží do ČR (meziroční index),99.7392401454
Česko,Svět celkem,říjen 2020,Obrat pohybu zboží (meziroční index),103.0168445051
Česko,Svět celkem,září 2020,"Pohyb zboží z ČR (v mil. Kč, FOB)",415205.15662
Česko,Svět celkem,září 2020,"Pohyb zboží do ČR (v mil. Kč, CIF)",348700.922704
Česko,Svět celkem,září 2020,Bilance - pohyb zboží (v mil. Kč),66504.233916
Česko,Svět celkem,září 2020,Obrat - pohyb zboží (v mil. Kč),763906.079324
Česko,Svět celkem,září 2020,Pohyb zboží z ČR (meziroční index ),101.1740696374
Česko,Svět celkem,září 2020,Pohyb zboží do ČR (meziroční index),97.7490587131
Česko,Svět celkem,září 2020,Obrat pohybu zboží (meziroční index),99.5813457325
Česko,Svět celkem,srpen 2020,"Pohyb zboží z ČR (v mil. Kč, FOB)",325521.625741
Česko,Svět celkem,srpen 2020,"Pohyb zboží do ČR (v mil. Kč, CIF)",297575.622116
Česko,Svět celkem,srpen 2020,Bilance - pohyb zboží (v mil. Kč),27946.003625
Česko,Svět celkem,srpen 2020,Obrat - pohyb zboží (v mil. Kč),623097.247857
Česko,Svět celkem,srpen 2020,Pohyb zboží z ČR (meziroční index ),94.5103850813
Česko,Svět celkem,srpen 2020,Pohyb zboží do ČR (meziroční index),94.4647585756
Česko,Svět celkem,srpen 2020,Obrat pohybu zboží (meziroční index),94.4885895092
Česko,Svět celkem,červenec 2020,"Pohyb zboží z ČR (v mil. Kč, FOB)",368308.834265
Česko,Svět celkem,červenec 2020,"Pohyb zboží do ČR (v mil. Kč, CIF)",325854.093015
Česko,Svět celkem,červenec 2020,Bilance - pohyb zboží (v mil. Kč),42454.74125
Česko,Svět celkem,červenec 2020,Obrat - pohyb zboží (v mil. Kč),694162.92728
Česko,Svět celkem,červenec 2020,Pohyb zboží z ČR (meziroční index ),99.6230880933
Česko,Svět celkem,červenec 2020,Pohyb zboží do ČR (meziroční index),95.5081796941
Česko,Svět celkem,červenec 2020,Obrat pohybu zboží (meziroční index),97.6481860961
Česko,Svět celkem,červen 2020,"Pohyb zboží z ČR (v mil. Kč, FOB)",373131.556051
Česko,Svět celkem,červen 2020,"Pohyb zboží do ČR (v mil. Kč, CIF)",315902.631578
Česko,Svět celkem,červen 2020,Bilance - pohyb zboží (v mil. Kč),57228.924473
Česko,Svět celkem,červen 2020,Obrat - pohyb zboží (v mil. Kč),689034.187629
Česko,Svět celkem,červen 2020,Pohyb zboží z ČR (meziroční index ),102.5237221889
Česko,Svět celkem,červen 2020,Pohyb zboží do ČR (meziroční index),98.179990669
Česko,Svět celkem,červen 2020,Obrat pohybu zboží (meziroční index),100.4854800666
Česko,Svět celkem,květen 2020,"Pohyb zboží z ČR (v mil. Kč, FOB)",298153.722956
Česko,Svět celkem,květen 2020,"Pohyb zboží do ČR (v mil. Kč, CIF)",283050.975615
Česko,Svět celkem,květen 2020,Bilance - pohyb zboží (v mil. Kč),15102.747341
Česko,Svět celkem,květen 2020,Obrat - pohyb zboží (v mil. Kč),581204.698571
Česko,Svět celkem,květen 2020,Pohyb zboží z ČR (meziroční index ),75.1766907874
Česko,Svět celkem,květen 2020,Pohyb zboží do ČR (meziroční index),81.2497652781
Česko,Svět celkem,květen 2020,Obrat pohybu zboží (meziroční index),78.0166311875
Česko,Svět celkem,duben 2020,"Pohyb zboží z ČR (v mil. Kč, FOB)",261270.466785
Česko,Svět celkem,duben 2020,"Pohyb zboží do ČR (v mil. Kč, CIF)",267083.866204
Česko,Svět celkem,duben 2020,Bilance - pohyb zboží (v mil. Kč),-5813.399419
Česko,Svět celkem,duben 2020,Obrat - pohyb zboží (v mil. Kč),528354.332989
Česko,Svět celkem,duben 2020,Pohyb zboží z ČR (meziroční index ),67.0720519537
Česko,Svět celkem,duben 2020,Pohyb zboží do ČR (meziroční index),76.4512891573
Česko,Svět celkem,duben 2020,Obrat pohybu zboží (meziroční index),71.5066201531
Česko,Svět celkem,březen 2020,"Pohyb zboží z ČR (v mil. Kč, FOB)",359719.73413
Česko,Svět celkem,březen 2020,"Pohyb zboží do ČR (v mil. Kč, CIF)",338099.604244
Česko,Svět celkem,březen 2020,Bilance - pohyb zboží (v mil. Kč),21620.129886
Česko,Svět celkem,březen 2020,Obrat - pohyb zboží (v mil. Kč),697819.338374
Česko,Svět celkem,březen 2020,Pohyb zboží z ČR (meziroční index ),91.1497036764
Česko,Svět celkem,březen 2020,Pohyb zboží do ČR (meziroční index),97.5873942881
Česko,Svět celkem,březen 2020,Obrat pohybu zboží (meziroční index),94.1592499932
Česko,Svět celkem,únor 2020,"Pohyb zboží z ČR (v mil. Kč, FOB)",360093.255184
Česko,Svět celkem,únor 2020,"Pohyb zboží do ČR (v mil. Kč, CIF)",316943.172881
Česko,Svět celkem,únor 2020,Bilance - pohyb zboží (v mil. Kč),43150.082303
Česko,Svět celkem,únor 2020,Obrat - pohyb zboží (v mil. Kč),677036.428065
Česko,Svět celkem,únor 2020,Pohyb zboží z ČR (meziroční index ),99.8606291013
Česko,Svět celkem,únor 2020,Pohyb zboží do ČR (meziroční index),97.7541207315
Česko,Svět celkem,únor 2020,Obrat pohybu zboží (meziroční index),98.8633134334
Česko,Svět celkem,leden 2020,"Pohyb zboží z ČR (v mil. Kč, FOB)",382511.439459
Česko,Svět celkem,leden 2020,"Pohyb zboží do ČR (v mil. Kč, CIF)",342263.901797
Česko,Svět celkem,leden 2020,Bilance - pohyb zboží (v mil. Kč),40247.537662
Česko,Svět celkem,leden 2020,Obrat - pohyb zboží (v mil. Kč),724775.341256
Česko,Svět celkem,leden 2020,Pohyb zboží z ČR (meziroční index ),100.0131532322
Česko,Svět celkem,leden 2020,Pohyb zboží do ČR (meziroční index),98.9140293522
Česko,Svět celkem,leden 2020,Obrat pohybu zboží (meziroční index),99.4910810086
Česko,Svět celkem,prosinec 2019,"Pohyb zboží z ČR (v mil. Kč, FOB)",323786.817177
Česko,Svět celkem,prosinec 2019,"Pohyb zboží do ČR (v mil. Kč, CIF)",307380.260499
Česko,Svět celkem,prosinec 2019,Bilance - pohyb zboží (v mil. Kč),16406.556678
Česko,Svět celkem,prosinec 2019,Obrat - pohyb zboží (v mil. Kč),631167.077676
Česko,Svět celkem,prosinec 2019,Pohyb zboží z ČR (meziroční index ),102.2925190145
Česko,Svět celkem,prosinec 2019,Pohyb zboží do ČR (meziroční index),102.9238617579
Česko,Svět celkem,prosinec 2019,Obrat pohybu zboží (meziroční index),102.5990144039
Česko,Svět celkem,listopad 2019,"Pohyb zboží z ČR (v mil. Kč, FOB)",412607.283985
Česko,Svět celkem,listopad 2019,"Pohyb zboží do ČR (v mil. Kč, CIF)",371020.655021
Česko,Svět celkem,listopad 2019,Bilance - pohyb zboží (v mil. Kč),41586.628964
Česko,Svět celkem,listopad 2019,Obrat - pohyb zboží (v mil. Kč),783627.939006
Česko,Svět celkem,listopad 2019,Pohyb zboží z ČR (meziroční index ),95.4601419255
Česko,Svět celkem,listopad 2019,Pohyb zboží do ČR (meziroční index),96.3249084135
Česko,Svět celkem,listopad 2019,Obrat pohybu zboží (meziroční index),95.8676351924
Česko,Svět celkem,říjen 2019,"Pohyb zboží z ČR (v mil. Kč, FOB)",431245.120814
Česko,Svět celkem,říjen 2019,"Pohyb zboží do ČR (v mil. Kč, CIF)",391050.03785
Česko,Svět celkem,říjen 2019,Bilance - pohyb zboží (v mil. Kč),40195.082964
Česko,Svět celkem,říjen 2019,Obrat - pohyb zboží (v mil. Kč),822295.158664
Česko,Svět celkem,říjen 2019,Pohyb zboží z ČR (meziroční index ),99.2248664846
Česko,Svět celkem,říjen 2019,Pohyb zboží do ČR (meziroční index),97.6020694393
Česko,Svět celkem,říjen 2019,Obrat pohybu zboží (meziroční index),98.4464538825
Česko,Svět celkem,září 2019,"Pohyb zboží z ČR (v mil. Kč, FOB)",410386.928299
Česko,Svět celkem,září 2019,"Pohyb zboží do ČR (v mil. Kč, CIF)",356730.721804
Česko,Svět celkem,září 2019,Bilance - pohyb zboží (v mil. Kč),53656.206495
Česko,Svět celkem,září 2019,Obrat - pohyb zboží (v mil. Kč),767117.650103
Česko,Svět celkem,září 2019,Pohyb zboží z ČR (meziroční index ),110.6232416911
Česko,Svět celkem,září 2019,Pohyb zboží do ČR (meziroční index),106.9665392267
Česko,Svět celkem,září 2019,Obrat pohybu zboží (meziroční index),108.8921628784
Česko,Svět celkem,srpen 2019,"Pohyb zboží z ČR (v mil. Kč, FOB)",344429.477735
Česko,Svět celkem,srpen 2019,"Pohyb zboží do ČR (v mil. Kč, CIF)",315012.314225
Česko,Svět celkem,srpen 2019,Bilance - pohyb zboží (v mil. Kč),29417.16351
Česko,Svět celkem,srpen 2019,Obrat - pohyb zboží (v mil. Kč),659441.79196
Česko,Svět celkem,srpen 2019,Pohyb zboží z ČR (meziroční index ),100.4355365138
Česko,Svět celkem,srpen 2019,Pohyb zboží do ČR (meziroční index),95.1976571455
Česko,Svět celkem,srpen 2019,Obrat pohybu zboží (meziroční index),97.8633620189
Česko,Svět celkem,červenec 2019,"Pohyb zboží z ČR (v mil. Kč, FOB)",369702.286201
Česko,Svět celkem,červenec 2019,"Pohyb zboží do ČR (v mil. Kč, CIF)",341179.251933
Česko,Svět celkem,červenec 2019,Bilance - pohyb zboží (v mil. Kč),28523.034268
Česko,Svět celkem,červenec 2019,Obrat - pohyb zboží (v mil. Kč),710881.538134
Česko,Svět celkem,červenec 2019,Pohyb zboží z ČR (meziroční index ),111.5295587345
Česko,Svět celkem,červenec 2019,Pohyb zboží do ČR (meziroční index),106.106408931
Česko,Svět celkem,červenec 2019,Obrat pohybu zboží (meziroční index),108.8592546619
Česko,Svět celkem,červen 2019,"Pohyb zboží z ČR (v mil. Kč, FOB)",363946.55606
Česko,Svět celkem,červen 2019,"Pohyb zboží do ČR (v mil. Kč, CIF)",321758.669384
Česko,Svět celkem,červen 2019,Bilance - pohyb zboží (v mil. Kč),42187.886676
Česko,Svět celkem,červen 2019,Obrat - pohyb zboží (v mil. Kč),685705.225444
Česko,Svět celkem,červen 2019,Pohyb zboží z ČR (meziroční index ),96.4405704474
Česko,Svět celkem,červen 2019,Pohyb zboží do ČR (meziroční index),93.8519467877
Česko,Svět celkem,červen 2019,Obrat pohybu zboží (meziroční index),95.2083358369
Česko,Svět celkem,květen 2019,"Pohyb zboží z ČR (v mil. Kč, FOB)",396603.947092
Česko,Svět celkem,květen 2019,"Pohyb zboží do ČR (v mil. Kč, CIF)",348371.437931
Česko,Svět celkem,květen 2019,Bilance - pohyb zboží (v mil. Kč),48232.509161
Česko,Svět celkem,květen 2019,Obrat - pohyb zboží (v mil. Kč),744975.385023
Česko,Svět celkem,květen 2019,Pohyb zboží z ČR (meziroční index ),108.8339141116
Česko,Svět celkem,květen 2019,Pohyb zboží do ČR (meziroční index),103.228821663
Česko,Svět celkem,květen 2019,Obrat pohybu zboží (meziroční index),106.1389244086
Česko,Svět celkem,duben 2019,"Pohyb zboží z ČR (v mil. Kč, FOB)",389537.011579
Česko,Svět celkem,duben 2019,"Pohyb zboží do ČR (v mil. Kč, CIF)",349351.684122
Česko,Svět celkem,duben 2019,Bilance - pohyb zboží (v mil. Kč),40185.327457
Česko,Svět celkem,duben 2019,Obrat - pohyb zboží (v mil. Kč),738888.695701
Česko,Svět celkem,duben 2019,Pohyb zboží z ČR (meziroční index ),109.959775809
Česko,Svět celkem,duben 2019,Pohyb zboží do ČR (meziroční index),111.0381781199
Česko,Svět celkem,duben 2019,Obrat pohybu zboží (meziroční index),110.46702922
Česko,Svět celkem,březen 2019,"Pohyb zboží z ČR (v mil. Kč, FOB)",394647.178895
Česko,Svět celkem,březen 2019,"Pohyb zboží do ČR (v mil. Kč, CIF)",346458.27641
Česko,Svět celkem,březen 2019,Bilance - pohyb zboží (v mil. Kč),48188.902485
Česko,Svět celkem,březen 2019,Obrat - pohyb zboží (v mil. Kč),741105.455305
Česko,Svět celkem,březen 2019,Pohyb zboží z ČR (meziroční index ),106.1358827915
Česko,Svět celkem,březen 2019,Pohyb zboží do ČR (meziroční index),105.8477229572
Česko,Svět celkem,březen 2019,Obrat pohybu zboží (meziroční index),106.0009763392
Česko,Svět celkem,únor 2019,"Pohyb zboží z ČR (v mil. Kč, FOB)",360595.82082
Česko,Svět celkem,únor 2019,"Pohyb zboží do ČR (v mil. Kč, CIF)",324224.872066
Česko,Svět celkem,únor 2019,Bilance - pohyb zboží (v mil. Kč),36370.948754
Česko,Svět celkem,únor 2019,Obrat - pohyb zboží (v mil. Kč),684820.692886
Česko,Svět celkem,únor 2019,Pohyb zboží z ČR (meziroční index ),106.7379342051
Česko,Svět celkem,únor 2019,Pohyb zboží do ČR (meziroční index),108.5805341515
Česko,Svět celkem,únor 2019,Obrat pohybu zboží (meziroční index),107.6024455065
Česko,Svět celkem,leden 2019,"Pohyb zboží z ČR (v mil. Kč, FOB)",382461.133458
Česko,Svět celkem,leden 2019,"Pohyb zboží do ČR (v mil. Kč, CIF)",346021.594751
Česko,Svět celkem,leden 2019,Bilance - pohyb zboží (v mil. Kč),36439.538707
Česko,Svět celkem,leden 2019,Obrat - pohyb zboží (v mil. Kč),728482.728209
Česko,Svět celkem,leden 2019,Pohyb zboží z ČR (meziroční index ),103.5452665388
Česko,Svět celkem,leden 2019,Pohyb zboží do ČR (meziroční index),104.2584816491
Česko,Svět celkem,leden 2019,Obrat pohybu zboží (meziroční index),103.8828155153
Česko,Svět celkem,prosinec 2018,"Pohyb zboží z ČR (v mil. Kč, FOB)",316530.299866
Česko,Svět celkem,prosinec 2018,"Pohyb zboží do ČR (v mil. Kč, CIF)",298648.199989
Česko,Svět celkem,prosinec 2018,Bilance - pohyb zboží (v mil. Kč),17882.099877
Česko,Svět celkem,prosinec 2018,Obrat - pohyb zboží (v mil. Kč),615178.499855
Česko,Svět celkem,prosinec 2018,Pohyb zboží z ČR (meziroční index ),102.1149638429
Česko,Svět celkem,prosinec 2018,Pohyb zboží do ČR (meziroční index),103.4255376367
Česko,Svět celkem,prosinec 2018,Obrat pohybu zboží (meziroční index),102.7470288063
Česko,Svět celkem,listopad 2018,"Pohyb zboží z ČR (v mil. Kč, FOB)",432229.908381
Česko,Svět celkem,listopad 2018,"Pohyb zboží do ČR (v mil. Kč, CIF)",385176.234405
Česko,Svět celkem,listopad 2018,Bilance - pohyb zboží (v mil. Kč),47053.673976
Česko,Svět celkem,listopad 2018,Obrat - pohyb zboží (v mil. Kč),817406.142786
Česko,Svět celkem,listopad 2018,Pohyb zboží z ČR (meziroční index ),111.6408117237
Česko,Svět celkem,listopad 2018,Pohyb zboží do ČR (meziroční index),111.1144936451
Česko,Svět celkem,listopad 2018,Obrat pohybu zboží (meziroční index),111.392181528
Česko,Svět celkem,říjen 2018,"Pohyb zboží z ČR (v mil. Kč, FOB)",434613.959275
Česko,Svět celkem,říjen 2018,"Pohyb zboží do ČR (v mil. Kč, CIF)",400657.527137
Česko,Svět celkem,říjen 2018,Bilance - pohyb zboží (v mil. Kč),33956.432138
Česko,Svět celkem,říjen 2018,Obrat - pohyb zboží (v mil. Kč),835271.486412
Česko,Svět celkem,říjen 2018,Pohyb zboží z ČR (meziroční index ),111.6003603793
Česko,Svět celkem,říjen 2018,Pohyb zboží do ČR (meziroční index),112.6751010555
Česko,Svět celkem,říjen 2018,Obrat pohybu zboží (meziroční index),112.1133145583
Česko,Svět celkem,září 2018,"Pohyb zboží z ČR (v mil. Kč, FOB)",370977.131049
Česko,Svět celkem,září 2018,"Pohyb zboží do ČR (v mil. Kč, CIF)",333497.488451
Česko,Svět celkem,září 2018,Bilance - pohyb zboží (v mil. Kč),37479.642598
Česko,Svět celkem,září 2018,Obrat - pohyb zboží (v mil. Kč),704474.6195
Česko,Svět celkem,září 2018,Pohyb zboží z ČR (meziroční index ),102.2196870612
Česko,Svět celkem,září 2018,Pohyb zboží do ČR (meziroční index),104.1625693662
Česko,Svět celkem,září 2018,Obrat pohybu zboží (meziroční index),103.1303306523
Česko,Svět celkem,srpen 2018,"Pohyb zboží z ČR (v mil. Kč, FOB)",342935.866816
Česko,Svět celkem,srpen 2018,"Pohyb zboží do ČR (v mil. Kč, CIF)",330903.431524
Česko,Svět celkem,srpen 2018,Bilance - pohyb zboží (v mil. Kč),12032.435292
Česko,Svět celkem,srpen 2018,Obrat - pohyb zboží (v mil. Kč),673839.29834
Česko,Svět celkem,srpen 2018,Pohyb zboží z ČR (meziroční index ),103.0329029295
Česko,Svět celkem,srpen 2018,Pohyb zboží do ČR (meziroční index),108.0902136528
Česko,Svět celkem,srpen 2018,Obrat pohybu zboží (meziroční index),105.4558782508
Česko,Svět celkem,červenec 2018,"Pohyb zboží z ČR (v mil. Kč, FOB)",331483.680556
Česko,Svět celkem,červenec 2018,"Pohyb zboží do ČR (v mil. Kč, CIF)",321544.433904
Česko,Svět celkem,červenec 2018,Bilance - pohyb zboží (v mil. Kč),9939.246652
Česko,Svět celkem,červenec 2018,Obrat - pohyb zboží (v mil. Kč),653028.11446
Česko,Svět celkem,červenec 2018,Pohyb zboží z ČR (meziroční index ),110.5642628092
Česko,Svět celkem,červenec 2018,Pohyb zboží do ČR (meziroční index),114.6234471214
Česko,Svět celkem,červenec 2018,Obrat pohybu zboží (meziroční index),112.5263976032
Česko,Svět celkem,červen 2018,"Pohyb zboží z ČR (v mil. Kč, FOB)",377379.099244
Česko,Svět celkem,červen 2018,"Pohyb zboží do ČR (v mil. Kč, CIF)",342836.435894
Česko,Svět celkem,červen 2018,Bilance - pohyb zboží (v mil. Kč),34542.66335
Česko,Svět celkem,červen 2018,Obrat - pohyb zboží (v mil. Kč),720215.535138
Česko,Svět celkem,červen 2018,Pohyb zboží z ČR (meziroční index ),101.7258846652
Česko,Svět celkem,červen 2018,Pohyb zboží do ČR (meziroční index),105.4428488211
Česko,Svět celkem,červen 2018,Obrat pohybu zboží (meziroční index),103.4619919697
Česko,Svět celkem,květen 2018,"Pohyb zboží z ČR (v mil. Kč, FOB)",364412.095558
