Území,Zdroj znečišťování ovzduší,Roky,Ukazatel,Druh látky znečišťující ovzduší,value
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2019,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2.1753588
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2019,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),13.70570781
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2020,Emise znečišťujících látek (t),Tuhé látky,86013.14466154
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2020,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),66625.05499136
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2020,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),154466.66374201
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2020,Emise znečišťujících látek (t),Oxid uhelnatý (CO),1056272.33511838
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2020,Měrné emise znečišťujících látek (t/km²),Tuhé látky,1.09055459
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2020,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),0.84473437
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2020,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),1.95847192
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2020,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),13.39240236
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2021,Emise znečišťujících látek (t),Tuhé látky,85039.58973327
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2021,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),60826.20031953
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2021,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),158061.80619008
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2021,Emise znečišťujících látek (t),Oxid uhelnatý (CO),1094973.4438088
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2021,Měrné emise znečišťujících látek (t/km²),Tuhé látky,1.07821057
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2021,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),0.77121083
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2021,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2.00405377
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2021,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),13.88308606
