Ukazatel,Typ údaje,Území,Klasifikace CZ-CPA,Měsíce,value
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Černé a hnědé uhlí a lignit,leden 2025,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Černé a hnědé uhlí a lignit,únor 2025,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Černé a hnědé uhlí a lignit,březen 2025,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Černé a hnědé uhlí a lignit,duben 2025,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Černé a hnědé uhlí a lignit,květen 2025,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Černé a hnědé uhlí a lignit,červen 2025,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Černé a hnědé uhlí a lignit,červenec 2025,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Černé a hnědé uhlí a lignit,srpen 2025,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ropa a zemní plyn,červen 2024,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ropa a zemní plyn,červenec 2024,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ropa a zemní plyn,srpen 2024,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ropa a zemní plyn,září 2024,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ropa a zemní plyn,říjen 2024,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ropa a zemní plyn,listopad 2024,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ropa a zemní plyn,prosinec 2024,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ropa a zemní plyn,leden 2025,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ropa a zemní plyn,únor 2025,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ropa a zemní plyn,březen 2025,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ropa a zemní plyn,duben 2025,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ropa a zemní plyn,květen 2025,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ropa a zemní plyn,červen 2025,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ropa a zemní plyn,červenec 2025,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ropa a zemní plyn,srpen 2025,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Rudy,červen 2024,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Rudy,červenec 2024,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Rudy,srpen 2024,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Rudy,září 2024,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Rudy,říjen 2024,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Rudy,listopad 2024,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Rudy,prosinec 2024,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Rudy,leden 2025,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Rudy,únor 2025,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Rudy,březen 2025,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Rudy,duben 2025,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Rudy,květen 2025,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Rudy,červen 2025,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Rudy,červenec 2025,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Rudy,srpen 2025,
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní těžba a dobývání nerostných surovin,červen 2024,-0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní těžba a dobývání nerostných surovin,červenec 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní těžba a dobývání nerostných surovin,srpen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní těžba a dobývání nerostných surovin,září 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní těžba a dobývání nerostných surovin,říjen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní těžba a dobývání nerostných surovin,listopad 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní těžba a dobývání nerostných surovin,prosinec 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní těžba a dobývání nerostných surovin,leden 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní těžba a dobývání nerostných surovin,únor 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní těžba a dobývání nerostných surovin,březen 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní těžba a dobývání nerostných surovin,duben 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Ostatní těžba a dobývání nerostných surovin,květen 2025,0.0
