Stát,Ukazatel,Typ ceny,Čtvrtletí,Typ indexu,Očištění,value
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2021,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",104.6068753933
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2021,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",100.8664947167
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2021,Meziroční index,Bez očištění,94.3602851
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2021,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",94.5554652866
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2021,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",93.2351898226
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2021,Bazický index (2021 = 100),Bez očištění,64.2933747033
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2021,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",64.2275852367
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2021,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",96.49642095
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2020,Meziroční index,Bez očištění,91.6059386317
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2020,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",91.8303770194
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2020,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",92.1108796736
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2020,Bazický index (2021 = 100),Bez očištění,112.8941241967
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2020,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",113.4293803333
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2020,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",96.8388586667
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2020,Meziroční index,Bez očištění,89.0520771221
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2020,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",89.5906190501
