Ukazatel;Rok sčítání;Území;Státní občanství;Pohlaví;value
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;Obyvatelstvo s cizím státním občanstvím;Muži;5655
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;Obyvatelstvo celkem;Celkem;1162841
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;Obyvatelstvo celkem;Ženy;592750
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;Obyvatelstvo celkem;Muži;570091
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;Obyvatelstvo s českým státním občanstvím;Celkem;1140705
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;Obyvatelstvo s českým státním občanstvím;Ženy;583127
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;Obyvatelstvo s českým státním občanstvím;Muži;557578
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;Obyvatelstvo s cizím státním občanstvím;Celkem;20958
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;Obyvatelstvo s cizím státním občanstvím;Ženy;9151
Počet obyvatel (obvyklý pobyt);2021;Moravskoslezský kraj;Obyvatelstvo s cizím státním občanstvím;Muži;11807
