Ukazatel;Území;Rodinný stav ženicha;Rodinný stav nevěsty;Roky;value
Sňatky;Česko;Rozvedený;Ovdovělá;2021;406.0
Sňatky;Česko;Rozvedený;Ovdovělá;2020;387.0
Sňatky;Česko;Rozvedený;Ovdovělá;2019;448.0
Sňatky;Česko;Rozvedený;Ovdovělá;2018;418.0
Sňatky;Česko;Rozvedený;Ovdovělá;2017;379.0
Sňatky;Česko;Rozvedený;Ovdovělá;2016;349.0
Sňatky;Česko;Rozvedený;Ovdovělá;2015;350.0
Sňatky;Česko;Rozvedený;Ovdovělá;2014;316.0
Sňatky;Česko;Rozvedený;Ovdovělá;2013;295.0
Sňatky;Česko;Rozvedený;Ovdovělá;2012;362.0
Sňatky;Česko;Rozvedený;Ovdovělá;2011;322.0
Sňatky;Česko;Rozvedený;Ovdovělá;2010;383.0
Sňatky;Česko;Rozvedený;Ovdovělá;2009;441.0
Sňatky;Česko;Rozvedený;Ovdovělá;2008;475.0
Sňatky;Česko;Rozvedený;Ovdovělá;2007;464.0
Sňatky;Česko;Rozvedený;Ovdovělá;2006;404.0
Sňatky;Česko;Rozvedený;Ovdovělá;2005;407.0
Sňatky;Česko;Rozvedený;Ovdovělá;2004;438.0
Sňatky;Česko;Rozvedený;Ovdovělá;2003;389.0
Sňatky;Česko;Rozvedený;Ovdovělá;2002;448.0
Sňatky;Česko;Rozvedený;Ovdovělá;2001;421.0
Sňatky;Česko;Ovdovělý;Celkem;2023;
Sňatky;Česko;Ovdovělý;Celkem;2022;
Sňatky;Česko;Ovdovělý;Celkem;2021;
Sňatky;Česko;Ovdovělý;Celkem;2020;
Sňatky;Česko;Ovdovělý;Celkem;2019;
Sňatky;Česko;Ovdovělý;Celkem;2018;
Sňatky;Česko;Ovdovělý;Celkem;2017;
Sňatky;Česko;Ovdovělý;Celkem;2016;
Sňatky;Česko;Ovdovělý;Celkem;2015;
Sňatky;Česko;Ovdovělý;Celkem;2014;
Sňatky;Česko;Ovdovělý;Celkem;2013;
Sňatky;Česko;Ovdovělý;Celkem;2012;
Sňatky;Česko;Ovdovělý;Celkem;2011;
Sňatky;Česko;Ovdovělý;Celkem;2010;
Sňatky;Česko;Ovdovělý;Celkem;2009;
Sňatky;Česko;Ovdovělý;Celkem;2008;
Sňatky;Česko;Ovdovělý;Celkem;2007;
Sňatky;Česko;Ovdovělý;Celkem;2006;
Sňatky;Česko;Ovdovělý;Celkem;2005;
Sňatky;Česko;Ovdovělý;Celkem;2004;
Sňatky;Česko;Ovdovělý;Celkem;2003;
Sňatky;Česko;Ovdovělý;Celkem;2002;
Sňatky;Česko;Ovdovělý;Celkem;2001;
Sňatky;Česko;Ovdovělý;Svobodná;2023;86.0
Sňatky;Česko;Ovdovělý;Svobodná;2022;86.0
Sňatky;Česko;Ovdovělý;Svobodná;2021;79.0
Sňatky;Česko;Ovdovělý;Svobodná;2020;86.0
Sňatky;Česko;Ovdovělý;Svobodná;2019;91.0
Sňatky;Česko;Ovdovělý;Svobodná;2018;77.0
Sňatky;Česko;Ovdovělý;Svobodná;2017;64.0
Sňatky;Česko;Ovdovělý;Svobodná;2016;77.0
Sňatky;Česko;Ovdovělý;Svobodná;2015;67.0
Sňatky;Česko;Ovdovělý;Svobodná;2014;71.0
Sňatky;Česko;Ovdovělý;Svobodná;2013;72.0
Sňatky;Česko;Ovdovělý;Svobodná;2012;55.0
Sňatky;Česko;Ovdovělý;Svobodná;2011;87.0
Sňatky;Česko;Ovdovělý;Svobodná;2010;73.0
Sňatky;Česko;Ovdovělý;Svobodná;2009;89.0
Sňatky;Česko;Ovdovělý;Svobodná;2008;87.0
Sňatky;Česko;Ovdovělý;Svobodná;2007;86.0
Sňatky;Česko;Ovdovělý;Svobodná;2006;102.0
Sňatky;Česko;Ovdovělý;Svobodná;2005;102.0
Sňatky;Česko;Ovdovělý;Svobodná;2004;100.0
Sňatky;Česko;Ovdovělý;Svobodná;2003;107.0
Sňatky;Česko;Ovdovělý;Svobodná;2002;117.0
Sňatky;Česko;Ovdovělý;Svobodná;2001;105.0
Sňatky;Česko;Ovdovělý;Rozvedená;2023;296.0
Sňatky;Česko;Ovdovělý;Rozvedená;2022;276.0
Sňatky;Česko;Ovdovělý;Rozvedená;2021;295.0
Sňatky;Česko;Ovdovělý;Rozvedená;2020;279.0
Sňatky;Česko;Ovdovělý;Rozvedená;2019;309.0
Sňatky;Česko;Ovdovělý;Rozvedená;2018;322.0
Sňatky;Česko;Ovdovělý;Rozvedená;2017;336.0
Sňatky;Česko;Ovdovělý;Rozvedená;2016;284.0
Sňatky;Česko;Ovdovělý;Rozvedená;2015;310.0
Sňatky;Česko;Ovdovělý;Rozvedená;2014;306.0
Sňatky;Česko;Ovdovělý;Rozvedená;2013;298.0
Sňatky;Česko;Ovdovělý;Rozvedená;2012;302.0
Sňatky;Česko;Ovdovělý;Rozvedená;2011;319.0
Sňatky;Česko;Ovdovělý;Rozvedená;2010;366.0
Sňatky;Česko;Ovdovělý;Rozvedená;2009;383.0
Sňatky;Česko;Ovdovělý;Rozvedená;2008;455.0
Sňatky;Česko;Ovdovělý;Rozvedená;2007;428.0
Sňatky;Česko;Ovdovělý;Rozvedená;2006;365.0
Sňatky;Česko;Ovdovělý;Rozvedená;2005;425.0
Sňatky;Česko;Ovdovělý;Rozvedená;2004;445.0
Sňatky;Česko;Ovdovělý;Rozvedená;2003;421.0
Sňatky;Česko;Ovdovělý;Rozvedená;2002;439.0
Sňatky;Česko;Ovdovělý;Rozvedená;2001;425.0
Sňatky;Česko;Ovdovělý;Ovdovělá;2023;70.0
Sňatky;Česko;Ovdovělý;Ovdovělá;2022;61.0
Sňatky;Česko;Ovdovělý;Ovdovělá;2021;62.0
Sňatky;Česko;Ovdovělý;Ovdovělá;2020;44.0
Sňatky;Česko;Ovdovělý;Ovdovělá;2019;62.0
Sňatky;Česko;Ovdovělý;Ovdovělá;2018;53.0
Sňatky;Česko;Ovdovělý;Ovdovělá;2017;49.0
Sňatky;Česko;Ovdovělý;Ovdovělá;2016;71.0
Sňatky;Česko;Ovdovělý;Ovdovělá;2015;54.0
Sňatky;Česko;Ovdovělý;Ovdovělá;2014;41.0
Sňatky;Česko;Ovdovělý;Ovdovělá;2013;47.0
Sňatky;Česko;Ovdovělý;Ovdovělá;2012;44.0
Sňatky;Česko;Ovdovělý;Ovdovělá;2011;69.0
Sňatky;Česko;Ovdovělý;Ovdovělá;2010;73.0
Sňatky;Česko;Ovdovělý;Ovdovělá;2009;71.0
Sňatky;Česko;Ovdovělý;Ovdovělá;2008;98.0
Sňatky;Česko;Ovdovělý;Ovdovělá;2007;73.0
Sňatky;Česko;Ovdovělý;Ovdovělá;2006;84.0
Sňatky;Česko;Ovdovělý;Ovdovělá;2005;88.0
Sňatky;Česko;Ovdovělý;Ovdovělá;2004;105.0
Sňatky;Česko;Ovdovělý;Ovdovělá;2003;106.0
Sňatky;Česko;Ovdovělý;Ovdovělá;2002;103.0
Sňatky;Česko;Ovdovělý;Ovdovělá;2001;118.0
