Území,Právní forma,Ukazatel,Výdaje územních rozpočtů,Roky,value
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery příspěvkovým a podobným organizacím,2014,131943825.89
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery příspěvkovým a podobným organizacím,2013,127358466.24
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery příspěvkovým a podobným organizacím,2012,127768498.5
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery příspěvkovým a podobným organizacím,2011,84629415.98
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery příspěvkovým a podobným organizacím,2010,81205856.0
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery příspěvkovým a podobným organizacím,2009,78660570.92
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery příspěvkovým a podobným organizacím,2008,75775745.56
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery příspěvkovým a podobným organizacím,2007,73962307.24
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery obyvatelstvu,2023,2950740.02411
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery obyvatelstvu,2022,2686128.92399
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery obyvatelstvu,2021,2194706.89307
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery obyvatelstvu,2020,1882675.9092
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery obyvatelstvu,2019,1733901.0463
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery obyvatelstvu,2018,1518156.81598
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery obyvatelstvu,2017,1358410.26596
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery obyvatelstvu,2016,1280945.04606
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery obyvatelstvu,2015,1164619.40672
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery obyvatelstvu,2014,1054884.34
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery obyvatelstvu,2013,1145377.88
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery obyvatelstvu,2012,1033556.36
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery obyvatelstvu,2011,25949212.1
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery obyvatelstvu,2010,26553963.11
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery obyvatelstvu,2009,25628821.26
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery obyvatelstvu,2008,24289106.66
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery obyvatelstvu,2007,22361191.61
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Sociální dávky,2023,138.255
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Sociální dávky,2022,107.117
