Území,Druh zemědělské plodiny,Ukazatel,Roky,value
Česko,Základní obiloviny a kukuřice na zrno,Hektarový výnos (t/ha),2021,6.139586954
Česko,Základní obiloviny a kukuřice na zrno,Hektarový výnos (t/ha),2022,5.9520877618
Česko,Základní obiloviny a kukuřice na zrno,Hektarový výnos (t/ha),2023,6.0831948238
Česko,Základní obiloviny a kukuřice na zrno,Hektarový výnos (t/ha),2024,5.7689726601
Česko,Základní obiloviny a kukuřice na zrno,Hektarový výnos (t/ha),2025,
Česko,Základní obiloviny a kukuřice na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2009,1532811.03
Česko,Základní obiloviny a kukuřice na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2010,1454175.27
Česko,Základní obiloviny a kukuřice na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2011,1470667.77
Česko,Základní obiloviny a kukuřice na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2012,1442570.66
Česko,Základní obiloviny a kukuřice na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2013,1403158.92
Česko,Základní obiloviny a kukuřice na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2014,1401132.47
Česko,Základní obiloviny a kukuřice na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2015,1383003.11
Česko,Základní obiloviny a kukuřice na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2016,1349954.75
Česko,Základní obiloviny a kukuřice na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2017,1348313.0
Česko,Základní obiloviny a kukuřice na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2018,1332291.38
Česko,Základní obiloviny a kukuřice na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2019,1347184.13
Česko,Základní obiloviny a kukuřice na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2020,1337995.47
Česko,Základní obiloviny a kukuřice na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2021,1337690.77
Česko,Základní obiloviny a kukuřice na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2022,1379227.99
Česko,Základní obiloviny a kukuřice na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2023,1312924.35
Česko,Základní obiloviny a kukuřice na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2024,1302069.79
Česko,Základní obiloviny a kukuřice na zrno,Osevní a sklizňová plocha k 31. prosinci (ha),2025,
Česko,Základní obiloviny a kukuřice na zrno,Osevní plocha k 31. květnu (ha),2009,
Česko,Základní obiloviny a kukuřice na zrno,Osevní plocha k 31. květnu (ha),2010,
Česko,Základní obiloviny a kukuřice na zrno,Osevní plocha k 31. květnu (ha),2011,
Česko,Základní obiloviny a kukuřice na zrno,Osevní plocha k 31. květnu (ha),2012,
Česko,Základní obiloviny a kukuřice na zrno,Osevní plocha k 31. květnu (ha),2013,
Česko,Základní obiloviny a kukuřice na zrno,Osevní plocha k 31. květnu (ha),2014,
Česko,Základní obiloviny a kukuřice na zrno,Osevní plocha k 31. květnu (ha),2015,
Česko,Základní obiloviny a kukuřice na zrno,Osevní plocha k 31. květnu (ha),2016,
Česko,Základní obiloviny a kukuřice na zrno,Osevní plocha k 31. květnu (ha),2017,
Česko,Základní obiloviny a kukuřice na zrno,Osevní plocha k 31. květnu (ha),2018,
Česko,Základní obiloviny a kukuřice na zrno,Osevní plocha k 31. květnu (ha),2019,
Česko,Základní obiloviny a kukuřice na zrno,Osevní plocha k 31. květnu (ha),2020,
Česko,Základní obiloviny a kukuřice na zrno,Osevní plocha k 31. květnu (ha),2021,
Česko,Základní obiloviny a kukuřice na zrno,Osevní plocha k 31. květnu (ha),2022,
Česko,Základní obiloviny a kukuřice na zrno,Osevní plocha k 31. květnu (ha),2023,
Česko,Základní obiloviny a kukuřice na zrno,Osevní plocha k 31. květnu (ha),2024,
Česko,Základní obiloviny a kukuřice na zrno,Osevní plocha k 31. květnu (ha),2025,
Česko,Základní obiloviny a kukuřice na zrno,Sklizňová plocha k 31. prosinci (ha),2009,
Česko,Základní obiloviny a kukuřice na zrno,Sklizňová plocha k 31. prosinci (ha),2010,
Česko,Základní obiloviny a kukuřice na zrno,Sklizňová plocha k 31. prosinci (ha),2011,
Česko,Základní obiloviny a kukuřice na zrno,Sklizňová plocha k 31. prosinci (ha),2012,
Česko,Základní obiloviny a kukuřice na zrno,Sklizňová plocha k 31. prosinci (ha),2013,
Česko,Základní obiloviny a kukuřice na zrno,Sklizňová plocha k 31. prosinci (ha),2014,
Česko,Základní obiloviny a kukuřice na zrno,Sklizňová plocha k 31. prosinci (ha),2015,
Česko,Základní obiloviny a kukuřice na zrno,Sklizňová plocha k 31. prosinci (ha),2016,
Česko,Základní obiloviny a kukuřice na zrno,Sklizňová plocha k 31. prosinci (ha),2017,
Česko,Základní obiloviny a kukuřice na zrno,Sklizňová plocha k 31. prosinci (ha),2018,
Česko,Základní obiloviny a kukuřice na zrno,Sklizňová plocha k 31. prosinci (ha),2019,
Česko,Základní obiloviny a kukuřice na zrno,Sklizňová plocha k 31. prosinci (ha),2020,
Česko,Základní obiloviny a kukuřice na zrno,Sklizňová plocha k 31. prosinci (ha),2021,
Česko,Základní obiloviny a kukuřice na zrno,Sklizňová plocha k 31. prosinci (ha),2022,
Česko,Základní obiloviny a kukuřice na zrno,Sklizňová plocha k 31. prosinci (ha),2023,
Česko,Základní obiloviny a kukuřice na zrno,Sklizňová plocha k 31. prosinci (ha),2024,
Česko,Základní obiloviny a kukuřice na zrno,Sklizňová plocha k 31. prosinci (ha),2025,
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Sklizeň zemědělských plodin (t),2009,6927877.74
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Sklizeň zemědělských plodin (t),2010,6173686.4
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Sklizeň zemědělských plodin (t),2011,7206348.69
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Sklizeň zemědělských plodin (t),2012,5644670.84
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Sklizeň zemědělských plodin (t),2013,6824061.25
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Sklizeň zemědělských plodin (t),2014,7934576.86
