Území,Čtvrtletí,Ukazatel,value
Česko,1. čtvrtletí 2023,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),38985.6274101191
Česko,1. čtvrtletí 2023,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),3046.85935679
Česko,1. čtvrtletí 2023,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),108.4779181976
Česko,4. čtvrtletí 2022,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),4066.0161890029
Česko,4. čtvrtletí 2022,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),31.4990079939
Česko,4. čtvrtletí 2022,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.7807379813
Česko,4. čtvrtletí 2022,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),42877.8497942408
Česko,4. čtvrtletí 2022,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2277.0892708706
Česko,4. čtvrtletí 2022,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),105.6084892044
Česko,4. čtvrtletí 2022,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4263.761015513
Česko,4. čtvrtletí 2022,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),40.5076094131
Česko,4. čtvrtletí 2022,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.9591564966
Česko,4. čtvrtletí 2022,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),40889.2596885011
Česko,4. čtvrtletí 2022,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2102.9378312859
Česko,4. čtvrtletí 2022,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),105.4218542274
Česko,3. čtvrtletí 2022,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),4030.8652746989
Česko,3. čtvrtletí 2022,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),27.4020639401
Česko,3. čtvrtletí 2022,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.6844589921
Česko,3. čtvrtletí 2022,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),39386.1216829615
Česko,3. čtvrtletí 2022,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),1489.7573272885
Česko,3. čtvrtletí 2022,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),103.9311352226
Česko,3. čtvrtletí 2022,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4224.4917706215
Česko,3. čtvrtletí 2022,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),34.0363169536
Česko,3. čtvrtletí 2022,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.8122343103
Česko,3. čtvrtletí 2022,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),37580.887552198
Česko,3. čtvrtletí 2022,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),1375.5866733518
Česko,3. čtvrtletí 2022,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),103.7994068271
Česko,2. čtvrtletí 2022,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),4030.1303178942
Česko,2. čtvrtletí 2022,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),35.0500852513
Česko,2. čtvrtletí 2022,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.8773311976
Česko,2. čtvrtletí 2022,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),39725.6721447282
Česko,2. čtvrtletí 2022,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),955.9971920238
Česko,2. čtvrtletí 2022,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),102.4658375217
Česko,2. čtvrtletí 2022,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4224.6047673387
Česko,2. čtvrtletí 2022,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),46.6778151047
Česko,2. čtvrtletí 2022,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),101.1172482343
Česko,2. čtvrtletí 2022,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),37896.950016947
Česko,2. čtvrtletí 2022,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),824.0275364053
Česko,2. čtvrtletí 2022,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),102.2227207387
Česko,1. čtvrtletí 2022,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),3990.4537021187
Česko,1. čtvrtletí 2022,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),20.0074297357
Česko,1. čtvrtletí 2022,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.5039088395
Česko,1. čtvrtletí 2022,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),37691.3807346825
Česko,1. čtvrtletí 2022,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),1887.282186505
Česko,1. čtvrtletí 2022,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),105.2711344875
Česko,1. čtvrtletí 2022,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4185.0546898963
Česko,1. čtvrtletí 2022,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),31.7276078198
Česko,1. čtvrtletí 2022,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.7639082401
Česko,1. čtvrtletí 2022,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),35938.7680533291
Česko,1. čtvrtletí 2022,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),1711.2086034313
Česko,1. čtvrtletí 2022,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),104.9995051676
Česko,4. čtvrtletí 2021,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),4034.517181009
Česko,4. čtvrtletí 2021,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),31.0095846112
Česko,4. čtvrtletí 2021,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.774560404
Česko,4. čtvrtletí 2021,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),40600.7605233702
Česko,4. čtvrtletí 2021,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),1508.6976336915
Česko,4. čtvrtletí 2021,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),103.9
Česko,4. čtvrtletí 2021,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4223.2534060999
Česko,4. čtvrtletí 2021,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),39.5139625748
Česko,4. čtvrtletí 2021,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.9444651874
Česko,4. čtvrtletí 2021,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),38786.3218572151
Česko,4. čtvrtletí 2021,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),1378.310949675
Česko,4. čtvrtletí 2021,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),103.6845341846
