Území,Roky,Institucionální sektory,Ukazatel,value
Česko,2024,Místní vládní instituce,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),41061.8798304181
Česko,2024,Místní vládní instituce,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),1427.9891040674
Česko,2024,Místní vládní instituce,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),103.6029495916
Česko,2024,Fondy sociálního zabezpečení,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),6.1693458464
Česko,2024,Fondy sociálního zabezpečení,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),0.0541058464
Česko,2024,Fondy sociálního zabezpečení,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.8847706129
Česko,2024,Fondy sociálního zabezpečení,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),67520.2419672635
Česko,2024,Fondy sociálního zabezpečení,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),4189.6122618066
Česko,2024,Fondy sociálního zabezpečení,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.6154596619
Česko,2024,Fondy sociálního zabezpečení,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),6.3346867777
Česko,2024,Fondy sociálního zabezpečení,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),0.0626867777
Česko,2024,Fondy sociálního zabezpečení,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.9994703084
Česko,2024,Fondy sociálního zabezpečení,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),65757.9038942046
Česko,2024,Fondy sociálního zabezpečení,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),4010.1360370627
Česko,2024,Fondy sociálního zabezpečení,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.4943821878
