Stát;Roky;Odvětví ekonomické činnosti;Ukazatel;value
Česko;2023;J - Informační a komunikační činnosti;Náklady práce celkem;104937.7373415878
Česko;2023;J - Informační a komunikační činnosti;Přímé náklady celkem;76416.0316828402
Česko;2023;J - Informační a komunikační činnosti;Přímé náklady - mzdy za vykonanou práci;68349.9866218024
Česko;2023;J - Informační a komunikační činnosti;Přímé náklady - náhrady mzdy;8066.0450610379
Česko;2023;J - Informační a komunikační činnosti;Nepřímé náklady - sociální požitky;1017.1211351778
Česko;2023;J - Informační a komunikační činnosti;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;25489.8086544749
Česko;2023;J - Informační a komunikační činnosti;Nepřímé náklady - sociální náklady/výdaje - ostatní;1429.6942699975
Česko;2023;J - Informační a komunikační činnosti;Nepřímé náklady - personální náklady/výdaje;582.1140367741
Česko;2023;J - Informační a komunikační činnosti;Nepřímé náklady - daně a dotace;2.9675623232
Česko;2023;K - Peněžnictví a pojišťovnictví;Náklady práce celkem;101718.9700030701
Česko;2023;K - Peněžnictví a pojišťovnictví;Přímé náklady celkem;71633.1407290605
Česko;2023;K - Peněžnictví a pojišťovnictví;Přímé náklady - mzdy za vykonanou práci;63431.9811045212
Česko;2023;K - Peněžnictví a pojišťovnictví;Přímé náklady - náhrady mzdy;8201.1596245392
Česko;2023;K - Peněžnictví a pojišťovnictví;Nepřímé náklady - sociální požitky;2247.8577941417
Česko;2023;K - Peněžnictví a pojišťovnictví;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;23774.5284755682
Česko;2023;K - Peněžnictví a pojišťovnictví;Nepřímé náklady - sociální náklady/výdaje - ostatní;2868.048126852
Česko;2023;K - Peněžnictví a pojišťovnictví;Nepřímé náklady - personální náklady/výdaje;1153.4807019879
Česko;2023;K - Peněžnictví a pojišťovnictví;Nepřímé náklady - daně a dotace;41.9141754599
Česko;2023;L - Činnosti v oblasti nemovitostí;Náklady práce celkem;50332.964260732
Česko;2023;L - Činnosti v oblasti nemovitostí;Přímé náklady celkem;36756.1225758825
Česko;2023;L - Činnosti v oblasti nemovitostí;Přímé náklady - mzdy za vykonanou práci;33309.8655024842
Česko;2023;L - Činnosti v oblasti nemovitostí;Přímé náklady - náhrady mzdy;3446.2570733983
Česko;2023;L - Činnosti v oblasti nemovitostí;Nepřímé náklady - sociální požitky;360.2351502914
Česko;2023;L - Činnosti v oblasti nemovitostí;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;12505.1060415962
Česko;2023;L - Činnosti v oblasti nemovitostí;Nepřímé náklady - sociální náklady/výdaje - ostatní;529.1986719976
Česko;2023;L - Činnosti v oblasti nemovitostí;Nepřímé náklady - personální náklady/výdaje;229.3175353779
Česko;2023;L - Činnosti v oblasti nemovitostí;Nepřímé náklady - daně a dotace;-47.0157144136
Česko;2023;M - Profesní, vědecké a technické činnosti;Náklady práce celkem;71851.5516559196
Česko;2023;M - Profesní, vědecké a technické činnosti;Přímé náklady celkem;52296.181836748
Česko;2023;M - Profesní, vědecké a technické činnosti;Přímé náklady - mzdy za vykonanou práci;47052.7998216548
Česko;2023;M - Profesní, vědecké a technické činnosti;Přímé náklady - náhrady mzdy;5243.3820150932
Česko;2023;M - Profesní, vědecké a technické činnosti;Nepřímé náklady - sociální požitky;591.7905786979
Česko;2023;M - Profesní, vědecké a technické činnosti;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;17699.475812609
