Čtvrtletí,Šetření,"ČR, regiony, kraje",Ukazatel,value
2. čtvrtletí 2025,Pracovištní metoda,Střední Morava,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),99.873507386
2. čtvrtletí 2025,Pracovištní metoda,Střední Morava,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),41481.138807174
2. čtvrtletí 2025,Pracovištní metoda,Střední Morava,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2755.7219230745
2. čtvrtletí 2025,Pracovištní metoda,Střední Morava,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.1160548932
2. čtvrtletí 2025,Pracovištní metoda,Moravskoslezsko,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),413.1309230521
2. čtvrtletí 2025,Pracovištní metoda,Moravskoslezsko,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-4.405241474
2. čtvrtletí 2025,Pracovištní metoda,Moravskoslezsko,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),98.9449437322
2. čtvrtletí 2025,Pracovištní metoda,Moravskoslezsko,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),44369.9051546398
2. čtvrtletí 2025,Pracovištní metoda,Moravskoslezsko,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3371.3896532952
2. čtvrtletí 2025,Pracovištní metoda,Moravskoslezsko,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),108.2231993331
2. čtvrtletí 2025,Pracovištní metoda,Moravskoslezsko,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),434.1683534699
2. čtvrtletí 2025,Pracovištní metoda,Moravskoslezsko,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-3.7980802036
2. čtvrtletí 2025,Pracovištní metoda,Moravskoslezsko,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),99.1327919421
2. čtvrtletí 2025,Pracovištní metoda,Moravskoslezsko,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),42219.9815481032
2. čtvrtletí 2025,Pracovištní metoda,Moravskoslezsko,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),3133.9658228503
2. čtvrtletí 2025,Pracovištní metoda,Moravskoslezsko,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),108.0181255743
2. čtvrtletí 2025,Pracovištní metoda,Hlavní město Praha,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),829.9847419464
2. čtvrtletí 2025,Pracovištní metoda,Hlavní město Praha,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),23.4241791186
2. čtvrtletí 2025,Pracovištní metoda,Hlavní město Praha,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),102.9042058586
2. čtvrtletí 2025,Pracovištní metoda,Hlavní město Praha,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),62307.148054316
2. čtvrtletí 2025,Pracovištní metoda,Hlavní město Praha,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),4728.1616522578
2. čtvrtletí 2025,Pracovištní metoda,Hlavní město Praha,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),108.2116097342
2. čtvrtletí 2025,Pracovištní metoda,Hlavní město Praha,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),887.2718183327
2. čtvrtletí 2025,Pracovištní metoda,Hlavní město Praha,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),27.2390010627
2. čtvrtletí 2025,Pracovištní metoda,Hlavní město Praha,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),103.1672048456
2. čtvrtletí 2025,Pracovištní metoda,Hlavní město Praha,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),58284.2609567543
2. čtvrtletí 2025,Pracovištní metoda,Hlavní město Praha,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),4285.2288885169
2. čtvrtletí 2025,Pracovištní metoda,Hlavní město Praha,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.9357512985
2. čtvrtletí 2025,Pracovištní metoda,Středočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),426.3024670691
2. čtvrtletí 2025,Pracovištní metoda,Středočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),0.2892271089
2. čtvrtletí 2025,Pracovištní metoda,Středočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.0678915775
2. čtvrtletí 2025,Pracovištní metoda,Středočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),52380.873426365
2. čtvrtletí 2025,Pracovištní metoda,Středočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3802.2358588041
2. čtvrtletí 2025,Pracovištní metoda,Středočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.8269709675
2. čtvrtletí 2025,Pracovištní metoda,Středočeský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),446.8675987811
2. čtvrtletí 2025,Pracovištní metoda,Středočeský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),0.7400095288
2. čtvrtletí 2025,Pracovištní metoda,Středočeský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.1658739667
2. čtvrtletí 2025,Pracovištní metoda,Středočeský kraj,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),49970.2722457406
2. čtvrtletí 2025,Pracovištní metoda,Středočeský kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),3581.877352493
2. čtvrtletí 2025,Pracovištní metoda,Středočeský kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.7214944831
2. čtvrtletí 2025,Pracovištní metoda,Jihočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),220.2201347176
2. čtvrtletí 2025,Pracovištní metoda,Jihočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-1.0907857085
2. čtvrtletí 2025,Pracovištní metoda,Jihočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.5071252217
2. čtvrtletí 2025,Pracovištní metoda,Jihočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),44421.4135609717
2. čtvrtletí 2025,Pracovištní metoda,Jihočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3184.991450147
2. čtvrtletí 2025,Pracovištní metoda,Jihočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.7237337458
2. čtvrtletí 2025,Pracovištní metoda,Jihočeský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),231.4816255945
2. čtvrtletí 2025,Pracovištní metoda,Jihočeský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-0.8468571792
2. čtvrtletí 2025,Pracovištní metoda,Jihočeský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),99.635491452
2. čtvrtletí 2025,Pracovištní metoda,Jihočeský kraj,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),42260.3291022339
2. čtvrtletí 2025,Pracovištní metoda,Jihočeský kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2979.434984245
