PCSU;Kraje;Kumulace měsíců;Ukazatel;Směr výstavby;value
Stavební úřad kromě speciálního;Hlavní město Praha;01-06 2021;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;9420.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-06 2021;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;1834.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-06 2021;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;9881.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-06 2021;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;5209.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-06 2021;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;4672.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-06 2021;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;3481.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-06 2021;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-06 2021;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Počet stavebních povolení v ČR;Celkem;1350.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Počet stavebních povolení v ČR;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Počet stavebních povolení v ČR;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Počet vydaných stavebních povolení - budovy;Celkem;1054.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Počet vydaných stavebních povolení - budovy;Nová výstavba;179.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;875.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Počet vydaných stavebních povolení - budovy bytové;Celkem;674.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;141.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;533.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Počet vydaných stavebních povolení - budovy nebytové;Celkem;380.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;38.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;342.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;296.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;17419.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;14587.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;8917.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;5670.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;7757.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;6214.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;1543.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;6830.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;2703.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;4127.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;2832.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-05 2021;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Počet stavebních povolení v ČR;Celkem;994.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Počet stavebních povolení v ČR;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Počet stavebních povolení v ČR;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Počet vydaných stavebních povolení - budovy;Celkem;767.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Počet vydaných stavebních povolení - budovy;Nová výstavba;137.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;630.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Počet vydaných stavebních povolení - budovy bytové;Celkem;496.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;106.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;390.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Počet vydaných stavebních povolení - budovy nebytové;Celkem;271.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;31.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;240.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;227.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;13329.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;10763.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;6157.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;4606.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;5273.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;4048.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;1225.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;5490.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;2109.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;3381.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;2566.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-04 2021;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Počet stavebních povolení v ČR;Celkem;718.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Počet stavebních povolení v ČR;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Počet stavebních povolení v ČR;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Počet vydaných stavebních povolení - budovy;Celkem;558.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Počet vydaných stavebních povolení - budovy;Nová výstavba;84.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;474.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Počet vydaných stavebních povolení - budovy bytové;Celkem;368.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;68.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;300.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Počet vydaných stavebních povolení - budovy nebytové;Celkem;190.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;16.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;174.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;160.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;9736.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;7842.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;4598.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;3244.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;4306.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;3345.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;961.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;3536.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;1253.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;2283.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;1894.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-03 2021;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Počet stavebních povolení v ČR;Celkem;439.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Počet stavebních povolení v ČR;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Počet stavebních povolení v ČR;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Počet vydaných stavebních povolení - budovy;Celkem;343.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Počet vydaných stavebních povolení - budovy;Nová výstavba;43.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;300.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Počet vydaných stavebních povolení - budovy bytové;Celkem;219.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;31.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;188.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Počet vydaných stavebních povolení - budovy nebytové;Celkem;124.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;12.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;112.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;96.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;7200.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;5614.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;3962.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;1652.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;3393.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;2710.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;683.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;2221.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;1252.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;969.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;1586.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2021;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Počet stavebních povolení v ČR;Celkem;237.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Počet stavebních povolení v ČR;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Počet stavebních povolení v ČR;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Počet vydaných stavebních povolení - budovy;Celkem;192.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Počet vydaných stavebních povolení - budovy;Nová výstavba;25.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;167.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Počet vydaných stavebních povolení - budovy bytové;Celkem;137.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;18.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;119.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Počet vydaných stavebních povolení - budovy nebytové;Celkem;55.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;7.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;48.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;45.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;3914.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;2701.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;1844.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;857.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;1785.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;1401.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;384.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;916.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;443.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;473.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;1213.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01 2021;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Počet stavebních povolení v ČR;Celkem;3211.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Počet stavebních povolení v ČR;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Počet stavebních povolení v ČR;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Počet vydaných stavebních povolení - budovy;Celkem;2494.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Počet vydaných stavebních povolení - budovy;Nová výstavba;408.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;2086.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Počet vydaných stavebních povolení - budovy bytové;Celkem;1629.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;307.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;1322.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Počet vydaných stavebních povolení - budovy nebytové;Celkem;865.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;101.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;764.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;717.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;40410.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;28745.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;17546.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;11199.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;16491.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;11579.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;4912.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;12254.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;5967.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;6287.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;11665.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2020;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2020;Počet stavebních povolení v ČR;Celkem;2996.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2020;Počet stavebních povolení v ČR;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2020;Počet stavebních povolení v ČR;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2020;Počet vydaných stavebních povolení - budovy;Celkem;2322.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2020;Počet vydaných stavebních povolení - budovy;Nová výstavba;378.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2020;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;1944.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2020;Počet vydaných stavebních povolení - budovy bytové;Celkem;1518.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2020;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;285.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2020;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;1233.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2020;Počet vydaných stavebních povolení - budovy nebytové;Celkem;804.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2020;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;93.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2020;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;711.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2020;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;674.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2020;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2020;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
