Ukazatel,Území,Druh zemědělské plodiny,Roky,value
Osevní plocha k 31. květnu (ha),Česko,Kukuřice na zrno,2019,75852.9
Osevní plocha k 31. květnu (ha),Česko,Kukuřice na zrno,2020,78643.37
Osevní plocha k 31. květnu (ha),Česko,Kukuřice na zrno,2021,90933.64
Osevní plocha k 31. květnu (ha),Česko,Kukuřice na zrno,2022,80175.31
Osevní plocha k 31. květnu (ha),Česko,Kukuřice na zrno,2023,73702.7
Osevní plocha k 31. květnu (ha),Česko,Kukuřice na zrno,2024,75460.7
Osevní plocha k 31. květnu (ha),Česko,Kukuřice na zrno,2025,81692.3899999999
Osevní plocha k 31. květnu (ha),Česko,Pohanka,2002,
Osevní plocha k 31. květnu (ha),Česko,Pohanka,2003,
Osevní plocha k 31. květnu (ha),Česko,Pohanka,2004,
Osevní plocha k 31. květnu (ha),Česko,Pohanka,2005,
Osevní plocha k 31. květnu (ha),Česko,Pohanka,2006,
Osevní plocha k 31. květnu (ha),Česko,Pohanka,2007,
Osevní plocha k 31. květnu (ha),Česko,Pohanka,2008,
Osevní plocha k 31. květnu (ha),Česko,Pohanka,2009,
Osevní plocha k 31. květnu (ha),Česko,Pohanka,2010,
Osevní plocha k 31. květnu (ha),Česko,Pohanka,2011,
Osevní plocha k 31. květnu (ha),Česko,Pohanka,2012,
Osevní plocha k 31. květnu (ha),Česko,Pohanka,2013,
Osevní plocha k 31. květnu (ha),Česko,Pohanka,2014,
Osevní plocha k 31. květnu (ha),Česko,Pohanka,2015,
Osevní plocha k 31. květnu (ha),Česko,Pohanka,2016,
Osevní plocha k 31. květnu (ha),Česko,Pohanka,2017,
Osevní plocha k 31. květnu (ha),Česko,Pohanka,2018,
Osevní plocha k 31. květnu (ha),Česko,Pohanka,2019,
Osevní plocha k 31. květnu (ha),Česko,Pohanka,2020,
Osevní plocha k 31. květnu (ha),Česko,Pohanka,2021,
Osevní plocha k 31. květnu (ha),Česko,Pohanka,2022,
Osevní plocha k 31. květnu (ha),Česko,Pohanka,2023,2161.77
Osevní plocha k 31. květnu (ha),Česko,Pohanka,2024,2321.96
Osevní plocha k 31. květnu (ha),Česko,Pohanka,2025,1694.24
Osevní plocha k 31. květnu (ha),Česko,Ostatní obiloviny a směsi obilovin na zrno,2002,5193.83
Osevní plocha k 31. květnu (ha),Česko,Ostatní obiloviny a směsi obilovin na zrno,2003,10708.2
Osevní plocha k 31. květnu (ha),Česko,Ostatní obiloviny a směsi obilovin na zrno,2004,6718.29
Osevní plocha k 31. květnu (ha),Česko,Ostatní obiloviny a směsi obilovin na zrno,2005,8157.58
Osevní plocha k 31. květnu (ha),Česko,Ostatní obiloviny a směsi obilovin na zrno,2006,11339.19
Osevní plocha k 31. květnu (ha),Česko,Ostatní obiloviny a směsi obilovin na zrno,2007,11877.31
Osevní plocha k 31. květnu (ha),Česko,Ostatní obiloviny a směsi obilovin na zrno,2008,9893.37
Osevní plocha k 31. květnu (ha),Česko,Ostatní obiloviny a směsi obilovin na zrno,2009,8868.17
Osevní plocha k 31. květnu (ha),Česko,Ostatní obiloviny a směsi obilovin na zrno,2010,8660.74
Osevní plocha k 31. květnu (ha),Česko,Ostatní obiloviny a směsi obilovin na zrno,2011,8816.33
Osevní plocha k 31. květnu (ha),Česko,Ostatní obiloviny a směsi obilovin na zrno,2012,11864.6
Osevní plocha k 31. květnu (ha),Česko,Ostatní obiloviny a směsi obilovin na zrno,2013,9983.64
Osevní plocha k 31. květnu (ha),Česko,Ostatní obiloviny a směsi obilovin na zrno,2014,8477.56
Osevní plocha k 31. květnu (ha),Česko,Ostatní obiloviny a směsi obilovin na zrno,2015,6824.27
Osevní plocha k 31. květnu (ha),Česko,Ostatní obiloviny a směsi obilovin na zrno,2016,9059.39
Osevní plocha k 31. květnu (ha),Česko,Ostatní obiloviny a směsi obilovin na zrno,2017,6369.19
Osevní plocha k 31. květnu (ha),Česko,Ostatní obiloviny a směsi obilovin na zrno,2018,6488.81
Osevní plocha k 31. květnu (ha),Česko,Ostatní obiloviny a směsi obilovin na zrno,2019,5345.94
Osevní plocha k 31. květnu (ha),Česko,Ostatní obiloviny a směsi obilovin na zrno,2020,6881.65
Osevní plocha k 31. květnu (ha),Česko,Ostatní obiloviny a směsi obilovin na zrno,2021,8144.6
Osevní plocha k 31. květnu (ha),Česko,Ostatní obiloviny a směsi obilovin na zrno,2022,6783.23
Osevní plocha k 31. květnu (ha),Česko,Ostatní obiloviny a směsi obilovin na zrno,2023,2117.8
