Území;Ukazatel;Typ indexu;Typ zakázek;Vybraná odvětví průmyslu;Roky;value
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;20 Výroba chemických látek a chemických přípravků;2023;81.8601655044
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;20 Výroba chemických látek a chemických přípravků;2022;120.9531241273
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;20 Výroba chemických látek a chemických přípravků;2021;132.9763864176
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;20 Výroba chemických látek a chemických přípravků;2020;90.782426013
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;20 Výroba chemických látek a chemických přípravků;2019;95.6611917718
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;20 Výroba chemických látek a chemických přípravků;2018;101.7791513488
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;20 Výroba chemických látek a chemických přípravků;2017;120.6788581221
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;20 Výroba chemických látek a chemických přípravků;2016;87.0692777001
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;20 Výroba chemických látek a chemických přípravků;2015;88.5687887163
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;20 Výroba chemických látek a chemických přípravků;2014;111.2257860606
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;20 Výroba chemických látek a chemických přípravků;2013;97.1220423482
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;20 Výroba chemických látek a chemických přípravků;2012;113.7752181684
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;20 Výroba chemických látek a chemických přípravků;2011;102.0111380286
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;20 Výroba chemických látek a chemických přípravků;2010;115.8510116551
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;20 Výroba chemických látek a chemických přípravků;2009;83.5478589841
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;20 Výroba chemických látek a chemických přípravků;2008;105.9871166578
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;20 Výroba chemických látek a chemických přípravků;2007;102.288671618
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;20 Výroba chemických látek a chemických přípravků;2006;116.4448427396
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;20 Výroba chemických látek a chemických přípravků;2005;102.3425454444
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;20 Výroba chemických látek a chemických přípravků;2004;114.3236549298
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;20 Výroba chemických látek a chemických přípravků;2003;92.4409489056
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;20 Výroba chemických látek a chemických přípravků;2002;91.2361535019
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;20 Výroba chemických látek a chemických přípravků;2001;136.5626132257
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;20 Výroba chemických látek a chemických přípravků;2000;
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2024;106.2290930961
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2023;107.5111368731
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2022;111.0503118583
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2021;99.3322582653
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2020;104.495793215
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2019;112.6550279175
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2018;107.368501405
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2017;108.6659894245
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2016;97.2498027913
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2015;107.6947109464
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2014;100.5654726983
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2013;102.331707982
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2012;98.7795463218
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2011;96.9007031344
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2010;113.2489632607
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2009;91.9298011079
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2008;104.2278775575
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2007;123.1190702257
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2006;100.9213571081
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2005;116.481188297
