Území;Kategorie;Měsíce;Rezidence;Ukazatel;value
Česko;Hromadná ubytovací zařízení celkem;září 2024;Indie;Průměrný počet přenocování ;2.4543229109
Česko;Hromadná ubytovací zařízení celkem;září 2024;Izrael;Počet hostů;16195.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Izrael;Počet přenocování;61143.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Izrael;Průměrný počet přenocování ;3.7754245137
Česko;Hromadná ubytovací zařízení celkem;září 2024;Japonsko;Počet hostů;7126.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Japonsko;Počet přenocování;14949.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Japonsko;Průměrný počet přenocování ;2.0978108336
Česko;Hromadná ubytovací zařízení celkem;září 2024;Korejská republika;Počet hostů;26241.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Korejská republika;Počet přenocování;41507.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Korejská republika;Průměrný počet přenocování ;1.5817613658
Česko;Hromadná ubytovací zařízení celkem;září 2024;Tchaj-wan;Počet hostů;15310.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Tchaj-wan;Počet přenocování;25147.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Tchaj-wan;Průměrný počet přenocování ;1.642521228
Česko;Hromadná ubytovací zařízení celkem;září 2024;Saúdská Arábie;Počet hostů;3804.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Saúdská Arábie;Počet přenocování;14485.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Saúdská Arábie;Průměrný počet přenocování ;3.8078338591
Česko;Hromadná ubytovací zařízení celkem;září 2024;Spojené arabské emiráty;Počet hostů;1614.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Spojené arabské emiráty;Počet přenocování;4541.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Spojené arabské emiráty;Průměrný počet přenocování ;2.8135068154
Česko;Hromadná ubytovací zařízení celkem;září 2024;Thajsko;Počet hostů;1039.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Thajsko;Počet přenocování;1871.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Thajsko;Průměrný počet přenocování ;1.8007699711
Česko;Hromadná ubytovací zařízení celkem;září 2024;Kazachstán;Počet hostů;1318.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Kazachstán;Počet přenocování;5884.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Kazachstán;Průměrný počet přenocování ;4.464339909
Česko;Hromadná ubytovací zařízení celkem;září 2024;Ostatní asijské země;Počet hostů;19018.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Ostatní asijské země;Počet přenocování;51108.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Ostatní asijské země;Průměrný počet přenocování ;2.6873488274
Česko;Hromadná ubytovací zařízení celkem;září 2024;Jižní Afrika;Počet hostů;987.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Jižní Afrika;Počet přenocování;2413.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Jižní Afrika;Průměrný počet přenocování ;2.4447821682
Česko;Hromadná ubytovací zařízení celkem;září 2024;Ostatní africké země;Počet hostů;3213.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Ostatní africké země;Počet přenocování;8314.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Ostatní africké země;Průměrný počet přenocování ;2.5876128229
Česko;Hromadná ubytovací zařízení celkem;září 2024;Austrálie;Počet hostů;9621.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Austrálie;Počet přenocování;23433.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Austrálie;Průměrný počet přenocování ;2.435609604
Česko;Hromadná ubytovací zařízení celkem;září 2024;Nový Zéland;Počet hostů;1750.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Nový Zéland;Počet přenocování;4158.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Nový Zéland;Průměrný počet přenocování ;2.376
Česko;Hromadná ubytovací zařízení celkem;září 2024;Oceánie;Počet hostů;392.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Oceánie;Počet přenocování;814.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Oceánie;Průměrný počet přenocování ;2.0765306122
