Stát,Roky,Ukazatel,Velkost zpravodajské jednotky,value
Česko,2023,Nepřímé náklady - sociální požitky - výrobky firmy se slevou,500 až 999 zaměstnanců,0.0255319683
Česko,2023,Nepřímé náklady - sociální požitky - výrobky firmy se slevou,1 000 a více zaměstnanců,0.0332298808
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na bydlení,Celkem zaměstnanců,0.2461384214
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na bydlení,1 až 9 zaměstnanců,0.0002215442
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na bydlení,10 až 19 zaměstnanců,0.0006506874
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na bydlení,20 a více zaměstnanců,0.3047594051
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na bydlení,20 až 49 zaměstnanců,0.0112999186
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na bydlení,50 až 99 zaměstnanců,0.0062690767
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na bydlení,100 až 249 zaměstnanců,0.0824340652
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na bydlení,250 až 499 zaměstnanců,0.1190940342
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na bydlení,500 až 999 zaměstnanců,0.1219408506
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na bydlení,1 000 a více zaměstnanců,0.852611168
Česko,2023,Nepřímé náklady - sociální požitky - služební vozy k soukromým účelům,Celkem zaměstnanců,0.6780022976
Česko,2023,Nepřímé náklady - sociální požitky - služební vozy k soukromým účelům,1 až 9 zaměstnanců,0.7244856369
Česko,2023,Nepřímé náklady - sociální požitky - služební vozy k soukromým účelům,10 až 19 zaměstnanců,0.4424550151
Česko,2023,Nepřímé náklady - sociální požitky - služební vozy k soukromým účelům,20 a více zaměstnanců,0.6929634556
Česko,2023,Nepřímé náklady - sociální požitky - služební vozy k soukromým účelům,20 až 49 zaměstnanců,0.4079598791
Česko,2023,Nepřímé náklady - sociální požitky - služební vozy k soukromým účelům,50 až 99 zaměstnanců,0.4923451065
Česko,2023,Nepřímé náklady - sociální požitky - služební vozy k soukromým účelům,100 až 249 zaměstnanců,0.7882396188
Česko,2023,Nepřímé náklady - sociální požitky - služební vozy k soukromým účelům,250 až 499 zaměstnanců,0.9169738762
Česko,2023,Nepřímé náklady - sociální požitky - služební vozy k soukromým účelům,500 až 999 zaměstnanců,0.9017636642
Česko,2023,Nepřímé náklady - sociální požitky - služební vozy k soukromým účelům,1 000 a více zaměstnanců,0.7052977035
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na stravování,Celkem zaměstnanců,3.0635522345
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na stravování,1 až 9 zaměstnanců,0.499890395
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na stravování,10 až 19 zaměstnanců,1.9557938128
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na stravování,20 a více zaměstnanců,3.5406123128
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na stravování,20 až 49 zaměstnanců,2.2477776805
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na stravování,50 až 99 zaměstnanců,2.2546918366
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na stravování,100 až 249 zaměstnanců,2.6895457419
