Ukazatel;Rok sčítání;Ekonomická aktivita;Pohlaví;Území;Hlavní třídy zaměstnání;value
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Olomoucký kraj;Úředníci;19102
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Olomoucký kraj;Pracovníci ve službách a prodeji;39955
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Olomoucký kraj;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;3561
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Olomoucký kraj;Řemeslníci a opraváři;39662
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Olomoucký kraj;Obsluha strojů a zařízení, montéři;40374
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Olomoucký kraj;Pomocní a nekvalifikovaní pracovníci;14741
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Olomoucký kraj;Zaměstnanci v ozbrojených silách;3702
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Olomoucký kraj;Nezjištěno;30096
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Zlínský kraj;Zaměstnaní celkem;278753
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Zlínský kraj;Zákonodárci a řídící pracovníci;13192
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Zlínský kraj;Specialisté;44722
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Zlínský kraj;Techničtí a odborní pracovníci;43982
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Zlínský kraj;Úředníci;15467
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Zlínský kraj;Pracovníci ve službách a prodeji;35029
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Zlínský kraj;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2713
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Zlínský kraj;Řemeslníci a opraváři;41571
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Zlínský kraj;Obsluha strojů a zařízení, montéři;40072
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Zlínský kraj;Pomocní a nekvalifikovaní pracovníci;13324
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Zlínský kraj;Zaměstnanci v ozbrojených silách;868
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Zlínský kraj;Nezjištěno;27813
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Moravskoslezský kraj;Zaměstnaní celkem;551088
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Moravskoslezský kraj;Zákonodárci a řídící pracovníci;24273
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Moravskoslezský kraj;Specialisté;92228
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Moravskoslezský kraj;Techničtí a odborní pracovníci;88978
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Moravskoslezský kraj;Úředníci;36130
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Moravskoslezský kraj;Pracovníci ve službách a prodeji;76409
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Moravskoslezský kraj;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;4149
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Moravskoslezský kraj;Řemeslníci a opraváři;68694
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Moravskoslezský kraj;Obsluha strojů a zařízení, montéři;76769
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Moravskoslezský kraj;Pomocní a nekvalifikovaní pracovníci;25700
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Moravskoslezský kraj;Zaměstnanci v ozbrojených silách;1682
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Moravskoslezský kraj;Nezjištěno;56076
