Území,Týdny,Ukazatel,Druh PHM,value
Česko, 23. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,17.87
Česko, 23. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,99.9
Česko, 23. týden 2025,Index cen pohonných hmot (%),Motorová nafta,99.9
Česko, 23. týden 2025,Index cen pohonných hmot (%),LPG,99.9
Česko, 22. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,33.91
Česko, 22. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,32.56
Česko, 22. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,17.89
Česko, 22. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,100.0
Česko, 22. týden 2025,Index cen pohonných hmot (%),Motorová nafta,100.0
Česko, 22. týden 2025,Index cen pohonných hmot (%),LPG,99.8
Česko, 21. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,33.92
Česko, 21. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,32.57
Česko, 21. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,17.92
Česko, 21. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,100.1
Česko, 21. týden 2025,Index cen pohonných hmot (%),Motorová nafta,99.8
Česko, 21. týden 2025,Index cen pohonných hmot (%),LPG,99.8
Česko, 20. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,33.9
Česko, 20. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,32.65
Česko, 20. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,17.95
Česko, 20. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,99.6
Česko, 20. týden 2025,Index cen pohonných hmot (%),Motorová nafta,99.2
Česko, 20. týden 2025,Index cen pohonných hmot (%),LPG,99.8
Česko, 19. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,34.02
Česko, 19. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,32.9
Česko, 19. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,17.98
Česko, 19. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,99.5
Česko, 19. týden 2025,Index cen pohonných hmot (%),Motorová nafta,99.3
Česko, 19. týden 2025,Index cen pohonných hmot (%),LPG,99.9
Česko, 18. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,34.18
Česko, 18. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,33.13
Česko, 18. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,17.99
Česko, 18. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,99.8
Česko, 18. týden 2025,Index cen pohonných hmot (%),Motorová nafta,99.7
Česko, 18. týden 2025,Index cen pohonných hmot (%),LPG,99.9
Česko, 17. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,34.25
Česko, 17. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,33.23
Česko, 17. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,18.01
Česko, 17. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,99.3
Česko, 17. týden 2025,Index cen pohonných hmot (%),Motorová nafta,99.1
Česko, 17. týden 2025,Index cen pohonných hmot (%),LPG,99.8
Česko, 16. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,34.5
Česko, 16. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,33.52
Česko, 16. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,18.05
Česko, 16. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,98.5
Česko, 16. týden 2025,Index cen pohonných hmot (%),Motorová nafta,97.5
Česko, 16. týden 2025,Index cen pohonných hmot (%),LPG,100.0
Česko, 15. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,35.02
Česko, 15. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,34.37
Česko, 15. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,18.05
Česko, 15. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,100.6
Česko, 15. týden 2025,Index cen pohonných hmot (%),Motorová nafta,100.1
Česko, 15. týden 2025,Index cen pohonných hmot (%),LPG,99.9
Česko, 14. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,34.8
Česko, 14. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,34.34
Česko, 14. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,18.07
Česko, 14. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,100.3
Česko, 14. týden 2025,Index cen pohonných hmot (%),Motorová nafta,100.0
Česko, 14. týden 2025,Index cen pohonných hmot (%),LPG,100.0
Česko, 13. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,34.71
Česko, 13. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,34.35
Česko, 13. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,18.07
Česko, 13. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,99.2
Česko, 13. týden 2025,Index cen pohonných hmot (%),Motorová nafta,99.2
Česko, 13. týden 2025,Index cen pohonných hmot (%),LPG,99.4
Česko, 12. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,35.0
Česko, 12. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,34.61
Česko, 12. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,18.18
Česko, 12. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,98.3
Česko, 12. týden 2025,Index cen pohonných hmot (%),Motorová nafta,98.3
Česko, 12. týden 2025,Index cen pohonných hmot (%),LPG,99.7
Česko, 11. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,35.59
Česko, 11. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,35.2
Česko, 11. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,18.23
Česko, 11. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,98.4
Česko, 11. týden 2025,Index cen pohonných hmot (%),Motorová nafta,98.7
Česko, 11. týden 2025,Index cen pohonných hmot (%),LPG,100.1
Česko, 10. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,36.17
Česko, 10. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,35.66
Česko, 10. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,18.22
Česko, 10. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,99.1
Česko, 10. týden 2025,Index cen pohonných hmot (%),Motorová nafta,98.9
Česko, 10. týden 2025,Index cen pohonných hmot (%),LPG,100.0
Česko, 09. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,36.51
