Roky;Území;Ukazatel;Způsob vyplacení důchodu;value
2023;Louny;Počet příjemců vdovských důchodu;Kombinace;4085
2023;Louny;Průměrný vdovecký důchod (Kč);Sólo;11434
2023;Louny;Průměrný vdovecký důchod (Kč);Kombinace;23457
2023;Louny;Průměrný vdovský důchod (Kč);Sólo;12029
2023;Louny;Průměrný vdovský důchod (Kč);Kombinace;21721
2023;Most;Počet příjemců vdoveckých důchodu;Sólo;42
2023;Most;Počet příjemců vdoveckých důchodu;Kombinace;1062
2023;Most;Počet příjemců vdovských důchodu;Sólo;242
2023;Most;Počet příjemců vdovských důchodu;Kombinace;4978
2023;Most;Průměrný vdovecký důchod (Kč);Sólo;10643
2023;Most;Průměrný vdovecký důchod (Kč);Kombinace;24814
2023;Most;Průměrný vdovský důchod (Kč);Sólo;12945
2023;Most;Průměrný vdovský důchod (Kč);Kombinace;22368
2023;Teplice;Počet příjemců vdoveckých důchodu;Sólo;63
2023;Teplice;Počet příjemců vdoveckých důchodu;Kombinace;1283
2023;Teplice;Počet příjemců vdovských důchodu;Sólo;269
2023;Teplice;Počet příjemců vdovských důchodu;Kombinace;5796
2023;Teplice;Průměrný vdovecký důchod (Kč);Sólo;11374
2023;Teplice;Průměrný vdovecký důchod (Kč);Kombinace;24033
2023;Teplice;Průměrný vdovský důchod (Kč);Sólo;12352
2023;Teplice;Průměrný vdovský důchod (Kč);Kombinace;21873
2023;Ústí nad Labem;Počet příjemců vdoveckých důchodu;Sólo;42
2023;Ústí nad Labem;Počet příjemců vdoveckých důchodu;Kombinace;1102
2023;Ústí nad Labem;Počet příjemců vdovských důchodu;Sólo;207
2023;Ústí nad Labem;Počet příjemců vdovských důchodu;Kombinace;5199
2023;Ústí nad Labem;Průměrný vdovecký důchod (Kč);Sólo;11309
2023;Ústí nad Labem;Průměrný vdovecký důchod (Kč);Kombinace;24249
2023;Ústí nad Labem;Průměrný vdovský důchod (Kč);Sólo;12237
2023;Ústí nad Labem;Průměrný vdovský důchod (Kč);Kombinace;22375
2023;Česká Lípa;Počet příjemců vdoveckých důchodu;Sólo;44
2023;Česká Lípa;Počet příjemců vdoveckých důchodu;Kombinace;850
2023;Česká Lípa;Počet příjemců vdovských důchodu;Sólo;187
2023;Česká Lípa;Počet příjemců vdovských důchodu;Kombinace;4558
2023;Česká Lípa;Průměrný vdovecký důchod (Kč);Sólo;11341
2023;Česká Lípa;Průměrný vdovecký důchod (Kč);Kombinace;23954
2023;Česká Lípa;Průměrný vdovský důchod (Kč);Sólo;12470
2023;Česká Lípa;Průměrný vdovský důchod (Kč);Kombinace;22016
2023;Jablonec nad Nisou;Počet příjemců vdoveckých důchodu;Sólo;28
2023;Jablonec nad Nisou;Počet příjemců vdoveckých důchodu;Kombinace;808
2023;Jablonec nad Nisou;Počet příjemců vdovských důchodu;Sólo;117
2023;Jablonec nad Nisou;Počet příjemců vdovských důchodu;Kombinace;3943
2023;Jablonec nad Nisou;Průměrný vdovecký důchod (Kč);Sólo;11027
2023;Jablonec nad Nisou;Průměrný vdovecký důchod (Kč);Kombinace;23831
2023;Jablonec nad Nisou;Průměrný vdovský důchod (Kč);Sólo;12230
2023;Jablonec nad Nisou;Průměrný vdovský důchod (Kč);Kombinace;22296
2023;Liberec;Počet příjemců vdoveckých důchodu;Sólo;65
2023;Liberec;Počet příjemců vdoveckých důchodu;Kombinace;1553
2023;Liberec;Počet příjemců vdovských důchodu;Sólo;292
2023;Liberec;Počet příjemců vdovských důchodu;Kombinace;7527
2023;Liberec;Průměrný vdovecký důchod (Kč);Sólo;11534
2023;Liberec;Průměrný vdovecký důchod (Kč);Kombinace;23758
2023;Liberec;Průměrný vdovský důchod (Kč);Sólo;12298
2023;Liberec;Průměrný vdovský důchod (Kč);Kombinace;22111
2023;Semily;Počet příjemců vdoveckých důchodu;Sólo;29
2023;Semily;Počet příjemců vdoveckých důchodu;Kombinace;724
2023;Semily;Počet příjemců vdovských důchodu;Sólo;132
2023;Semily;Počet příjemců vdovských důchodu;Kombinace;3662
2023;Semily;Průměrný vdovecký důchod (Kč);Sólo;11076
2023;Semily;Průměrný vdovecký důchod (Kč);Kombinace;23366
2023;Semily;Průměrný vdovský důchod (Kč);Sólo;12160
2023;Semily;Průměrný vdovský důchod (Kč);Kombinace;21893
2023;Hradec Králové;Počet příjemců vdoveckých důchodu;Sólo;65
2023;Hradec Králové;Počet příjemců vdoveckých důchodu;Kombinace;1508
2023;Hradec Králové;Počet příjemců vdovských důchodu;Sólo;219
2023;Hradec Králové;Počet příjemců vdovských důchodu;Kombinace;7942
2023;Hradec Králové;Průměrný vdovecký důchod (Kč);Sólo;11207
2023;Hradec Králové;Průměrný vdovecký důchod (Kč);Kombinace;24366
2023;Hradec Králové;Průměrný vdovský důchod (Kč);Sólo;12607
2023;Hradec Králové;Průměrný vdovský důchod (Kč);Kombinace;22452
2023;Jičín;Počet příjemců vdoveckých důchodu;Sólo;38
2023;Jičín;Počet příjemců vdoveckých důchodu;Kombinace;768
2023;Jičín;Počet příjemců vdovských důchodu;Sólo;143
2023;Jičín;Počet příjemců vdovských důchodu;Kombinace;3948
2023;Jičín;Průměrný vdovecký důchod (Kč);Sólo;11767
2023;Jičín;Průměrný vdovecký důchod (Kč);Kombinace;23504
2023;Jičín;Průměrný vdovský důchod (Kč);Sólo;12812
2023;Jičín;Průměrný vdovský důchod (Kč);Kombinace;21753
2023;Náchod;Počet příjemců vdoveckých důchodu;Sólo;53
2023;Náchod;Počet příjemců vdoveckých důchodu;Kombinace;1056
2023;Náchod;Počet příjemců vdovských důchodu;Sólo;170
2023;Náchod;Počet příjemců vdovských důchodu;Kombinace;5311
2023;Náchod;Průměrný vdovecký důchod (Kč);Sólo;11829
2023;Náchod;Průměrný vdovecký důchod (Kč);Kombinace;22868
2023;Náchod;Průměrný vdovský důchod (Kč);Sólo;12284
2023;Náchod;Průměrný vdovský důchod (Kč);Kombinace;21612
2023;Rychnov nad Kněžnou;Počet příjemců vdoveckých důchodu;Sólo;36
2023;Rychnov nad Kněžnou;Počet příjemců vdoveckých důchodu;Kombinace;708
2023;Rychnov nad Kněžnou;Počet příjemců vdovských důchodu;Sólo;125
2023;Rychnov nad Kněžnou;Počet příjemců vdovských důchodu;Kombinace;3907
2023;Rychnov nad Kněžnou;Průměrný vdovecký důchod (Kč);Sólo;11569
2023;Rychnov nad Kněžnou;Průměrný vdovecký důchod (Kč);Kombinace;23434
2023;Rychnov nad Kněžnou;Průměrný vdovský důchod (Kč);Sólo;13060
2023;Rychnov nad Kněžnou;Průměrný vdovský důchod (Kč);Kombinace;21923
2023;Trutnov;Počet příjemců vdoveckých důchodu;Sólo;46
2023;Trutnov;Počet příjemců vdoveckých důchodu;Kombinace;1196
2023;Trutnov;Počet příjemců vdovských důchodu;Sólo;160
2023;Trutnov;Počet příjemců vdovských důchodu;Kombinace;5885
2023;Trutnov;Průměrný vdovecký důchod (Kč);Sólo;11279
2023;Trutnov;Průměrný vdovecký důchod (Kč);Kombinace;23825
2023;Trutnov;Průměrný vdovský důchod (Kč);Sólo;12272
2023;Trutnov;Průměrný vdovský důchod (Kč);Kombinace;21953
2023;Chrudim;Počet příjemců vdoveckých důchodu;Sólo;45
2023;Chrudim;Počet příjemců vdoveckých důchodu;Kombinace;990
2023;Chrudim;Počet příjemců vdovských důchodu;Sólo;151
2023;Chrudim;Počet příjemců vdovských důchodu;Kombinace;5282
2023;Chrudim;Průměrný vdovecký důchod (Kč);Sólo;11656
2023;Chrudim;Průměrný vdovecký důchod (Kč);Kombinace;23434
2023;Chrudim;Průměrný vdovský důchod (Kč);Sólo;12088
2023;Chrudim;Průměrný vdovský důchod (Kč);Kombinace;21737
2023;Pardubice;Počet příjemců vdoveckých důchodu;Sólo;76
2023;Pardubice;Počet příjemců vdoveckých důchodu;Kombinace;1525
2023;Pardubice;Počet příjemců vdovských důchodu;Sólo;278
2023;Pardubice;Počet příjemců vdovských důchodu;Kombinace;7919
2023;Pardubice;Průměrný vdovecký důchod (Kč);Sólo;11765
2023;Pardubice;Průměrný vdovecký důchod (Kč);Kombinace;24153
2023;Pardubice;Průměrný vdovský důchod (Kč);Sólo;12850
2023;Pardubice;Průměrný vdovský důchod (Kč);Kombinace;22095
2023;Svitavy;Počet příjemců vdoveckých důchodu;Sólo;33
2023;Svitavy;Počet příjemců vdoveckých důchodu;Kombinace;969
2023;Svitavy;Počet příjemců vdovských důchodu;Sólo;146
2023;Svitavy;Počet příjemců vdovských důchodu;Kombinace;5145
2023;Svitavy;Průměrný vdovecký důchod (Kč);Sólo;11347
2023;Svitavy;Průměrný vdovecký důchod (Kč);Kombinace;22979
2023;Svitavy;Průměrný vdovský důchod (Kč);Sólo;12316
2023;Svitavy;Průměrný vdovský důchod (Kč);Kombinace;21641
2023;Ústí nad Orlicí;Počet příjemců vdoveckých důchodu;Sólo;58
2023;Ústí nad Orlicí;Počet příjemců vdoveckých důchodu;Kombinace;1298
2023;Ústí nad Orlicí;Počet příjemců vdovských důchodu;Sólo;212
2023;Ústí nad Orlicí;Počet příjemců vdovských důchodu;Kombinace;6455
2023;Ústí nad Orlicí;Průměrný vdovecký důchod (Kč);Sólo;11886
2023;Ústí nad Orlicí;Průměrný vdovecký důchod (Kč);Kombinace;23210
2023;Ústí nad Orlicí;Průměrný vdovský důchod (Kč);Sólo;12495
2023;Ústí nad Orlicí;Průměrný vdovský důchod (Kč);Kombinace;21727
2023;Havlíčkův Brod;Počet příjemců vdoveckých důchodu;Sólo;38
2023;Havlíčkův Brod;Počet příjemců vdoveckých důchodu;Kombinace;941
2023;Havlíčkův Brod;Počet příjemců vdovských důchodu;Sólo;104
2023;Havlíčkův Brod;Počet příjemců vdovských důchodu;Kombinace;4942
2023;Havlíčkův Brod;Průměrný vdovecký důchod (Kč);Sólo;11688
2023;Havlíčkův Brod;Průměrný vdovecký důchod (Kč);Kombinace;23423
2023;Havlíčkův Brod;Průměrný vdovský důchod (Kč);Sólo;12583
2023;Havlíčkův Brod;Průměrný vdovský důchod (Kč);Kombinace;21847
2023;Jihlava;Počet příjemců vdoveckých důchodu;Sólo;51
2023;Jihlava;Počet příjemců vdoveckých důchodu;Kombinace;1025
2023;Jihlava;Počet příjemců vdovských důchodu;Sólo;165
2023;Jihlava;Počet příjemců vdovských důchodu;Kombinace;5222
2023;Jihlava;Průměrný vdovecký důchod (Kč);Sólo;11809
2023;Jihlava;Průměrný vdovecký důchod (Kč);Kombinace;23302
2023;Jihlava;Průměrný vdovský důchod (Kč);Sólo;12689
2023;Jihlava;Průměrný vdovský důchod (Kč);Kombinace;21680
2023;Pelhřimov;Počet příjemců vdoveckých důchodu;Sólo;38
2023;Pelhřimov;Počet příjemců vdoveckých důchodu;Kombinace;712
2023;Pelhřimov;Počet příjemců vdovských důchodu;Sólo;122
2023;Pelhřimov;Počet příjemců vdovských důchodu;Kombinace;3953
2023;Pelhřimov;Průměrný vdovecký důchod (Kč);Sólo;11972
2023;Pelhřimov;Průměrný vdovecký důchod (Kč);Kombinace;23470
2023;Pelhřimov;Průměrný vdovský důchod (Kč);Sólo;12503
2023;Pelhřimov;Průměrný vdovský důchod (Kč);Kombinace;21943
2023;Třebíč;Počet příjemců vdoveckých důchodu;Sólo;44
2023;Třebíč;Počet příjemců vdoveckých důchodu;Kombinace;1045
2023;Třebíč;Počet příjemců vdovských důchodu;Sólo;165
2023;Třebíč;Počet příjemců vdovských důchodu;Kombinace;5521
2023;Třebíč;Průměrný vdovecký důchod (Kč);Sólo;11875
2023;Třebíč;Průměrný vdovecký důchod (Kč);Kombinace;23014
2023;Třebíč;Průměrný vdovský důchod (Kč);Sólo;12552
2023;Třebíč;Průměrný vdovský důchod (Kč);Kombinace;21376
2023;Žďár nad Sázavou;Počet příjemců vdoveckých důchodu;Sólo;51
2023;Žďár nad Sázavou;Počet příjemců vdoveckých důchodu;Kombinace;1193
2023;Žďár nad Sázavou;Počet příjemců vdovských důchodu;Sólo;202
2023;Žďár nad Sázavou;Počet příjemců vdovských důchodu;Kombinace;6169
2023;Žďár nad Sázavou;Průměrný vdovecký důchod (Kč);Sólo;11849
2023;Žďár nad Sázavou;Průměrný vdovecký důchod (Kč);Kombinace;23760
2023;Žďár nad Sázavou;Průměrný vdovský důchod (Kč);Sólo;13171
2023;Žďár nad Sázavou;Průměrný vdovský důchod (Kč);Kombinace;21992
2023;Blansko;Počet příjemců vdoveckých důchodu;Sólo;44
2023;Blansko;Počet příjemců vdoveckých důchodu;Kombinace;987
2023;Blansko;Počet příjemců vdovských důchodu;Sólo;165
2023;Blansko;Počet příjemců vdovských důchodu;Kombinace;5507
2023;Blansko;Průměrný vdovecký důchod (Kč);Sólo;11684
2023;Blansko;Průměrný vdovecký důchod (Kč);Kombinace;23368
2023;Blansko;Průměrný vdovský důchod (Kč);Sólo;12906
2023;Blansko;Průměrný vdovský důchod (Kč);Kombinace;21690
2023;Brno-město;Počet příjemců vdoveckých důchodu;Sólo;161
2023;Brno-město;Počet příjemců vdoveckých důchodu;Kombinace;3182
2023;Brno-město;Počet příjemců vdovských důchodu;Sólo;551
2023;Brno-město;Počet příjemců vdovských důchodu;Kombinace;16529
2023;Brno-město;Průměrný vdovecký důchod (Kč);Sólo;11207
2023;Brno-město;Průměrný vdovecký důchod (Kč);Kombinace;24810
2023;Brno-město;Průměrný vdovský důchod (Kč);Sólo;12512
2023;Brno-město;Průměrný vdovský důchod (Kč);Kombinace;22774
2023;Brno-venkov;Počet příjemců vdoveckých důchodu;Sólo;79
2023;Brno-venkov;Počet příjemců vdoveckých důchodu;Kombinace;1760
2023;Brno-venkov;Počet příjemců vdovských důchodu;Sólo;326
2023;Brno-venkov;Počet příjemců vdovských důchodu;Kombinace;9618
2023;Brno-venkov;Průměrný vdovecký důchod (Kč);Sólo;12171
2023;Brno-venkov;Průměrný vdovecký důchod (Kč);Kombinace;24024
2023;Brno-venkov;Průměrný vdovský důchod (Kč);Sólo;12889
2023;Brno-venkov;Průměrný vdovský důchod (Kč);Kombinace;21703
2023;Břeclav;Počet příjemců vdoveckých důchodu;Sólo;46
2023;Břeclav;Počet příjemců vdoveckých důchodu;Kombinace;994
2023;Břeclav;Počet příjemců vdovských důchodu;Sólo;176
2023;Břeclav;Počet příjemců vdovských důchodu;Kombinace;5720
2023;Břeclav;Průměrný vdovecký důchod (Kč);Sólo;11147
2023;Břeclav;Průměrný vdovecký důchod (Kč);Kombinace;22846
2023;Břeclav;Průměrný vdovský důchod (Kč);Sólo;11905
2023;Břeclav;Průměrný vdovský důchod (Kč);Kombinace;21561
2023;Hodonín;Počet příjemců vdoveckých důchodu;Sólo;57
2023;Hodonín;Počet příjemců vdoveckých důchodu;Kombinace;1320
2023;Hodonín;Počet příjemců vdovských důchodu;Sólo;267
2023;Hodonín;Počet příjemců vdovských důchodu;Kombinace;8084
2023;Hodonín;Průměrný vdovecký důchod (Kč);Sólo;10830
2023;Hodonín;Průměrný vdovecký důchod (Kč);Kombinace;23535
2023;Hodonín;Průměrný vdovský důchod (Kč);Sólo;12399
2023;Hodonín;Průměrný vdovský důchod (Kč);Kombinace;21629
2023;Vyškov;Počet příjemců vdoveckých důchodu;Sólo;42
2023;Vyškov;Počet příjemců vdoveckých důchodu;Kombinace;740
2023;Vyškov;Počet příjemců vdovských důchodu;Sólo;156
2023;Vyškov;Počet příjemců vdovských důchodu;Kombinace;4386
2023;Vyškov;Průměrný vdovecký důchod (Kč);Sólo;11606
2023;Vyškov;Průměrný vdovecký důchod (Kč);Kombinace;23179
2023;Vyškov;Průměrný vdovský důchod (Kč);Sólo;12454
2023;Vyškov;Průměrný vdovský důchod (Kč);Kombinace;21561
2023;Znojmo;Počet příjemců vdoveckých důchodu;Sólo;43
2023;Znojmo;Počet příjemců vdoveckých důchodu;Kombinace;1014
2023;Znojmo;Počet příjemců vdovských důchodu;Sólo;212
2023;Znojmo;Počet příjemců vdovských důchodu;Kombinace;5407
2023;Znojmo;Průměrný vdovecký důchod (Kč);Sólo;11068
2023;Znojmo;Průměrný vdovecký důchod (Kč);Kombinace;22422
2023;Znojmo;Průměrný vdovský důchod (Kč);Sólo;12259
2023;Znojmo;Průměrný vdovský důchod (Kč);Kombinace;21051
2023;Jeseník;Počet příjemců vdoveckých důchodu;Sólo;11
2023;Jeseník;Počet příjemců vdoveckých důchodu;Kombinace;375
2023;Jeseník;Počet příjemců vdovských důchodu;Sólo;56
2023;Jeseník;Počet příjemců vdovských důchodu;Kombinace;1907
2023;Jeseník;Průměrný vdovecký důchod (Kč);Sólo;10447
2023;Jeseník;Průměrný vdovecký důchod (Kč);Kombinace;22968
2023;Jeseník;Průměrný vdovský důchod (Kč);Sólo;12591
2023;Jeseník;Průměrný vdovský důchod (Kč);Kombinace;21283
2023;Olomouc;Počet příjemců vdoveckých důchodu;Sólo;134
2023;Olomouc;Počet příjemců vdoveckých důchodu;Kombinace;1962
2023;Olomouc;Počet příjemců vdovských důchodu;Sólo;372
2023;Olomouc;Počet příjemců vdovských důchodu;Kombinace;10712
2023;Olomouc;Průměrný vdovecký důchod (Kč);Sólo;11409
2023;Olomouc;Průměrný vdovecký důchod (Kč);Kombinace;23664
2023;Olomouc;Průměrný vdovský důchod (Kč);Sólo;12424
2023;Olomouc;Průměrný vdovský důchod (Kč);Kombinace;22030
2023;Prostějov;Počet příjemců vdoveckých důchodu;Sólo;53
2023;Prostějov;Počet příjemců vdoveckých důchodu;Kombinace;954
2023;Prostějov;Počet příjemců vdovských důchodu;Sólo;182
2023;Prostějov;Počet příjemců vdovských důchodu;Kombinace;5556
2023;Prostějov;Průměrný vdovecký důchod (Kč);Sólo;11776
2023;Prostějov;Průměrný vdovecký důchod (Kč);Kombinace;23263
2023;Prostějov;Průměrný vdovský důchod (Kč);Sólo;12619
2023;Prostějov;Průměrný vdovský důchod (Kč);Kombinace;21760
2023;Přerov;Počet příjemců vdoveckých důchodu;Sólo;56
2023;Přerov;Počet příjemců vdoveckých důchodu;Kombinace;1171
2023;Přerov;Počet příjemců vdovských důchodu;Sólo;240
2023;Přerov;Počet příjemců vdovských důchodu;Kombinace;6771
2023;Přerov;Průměrný vdovecký důchod (Kč);Sólo;11891
2023;Přerov;Průměrný vdovecký důchod (Kč);Kombinace;23450
2023;Přerov;Průměrný vdovský důchod (Kč);Sólo;12399
2023;Přerov;Průměrný vdovský důchod (Kč);Kombinace;21645
2023;Šumperk;Počet příjemců vdoveckých důchodu;Sólo;67
2023;Šumperk;Počet příjemců vdoveckých důchodu;Kombinace;1201
2023;Šumperk;Počet příjemců vdovských důchodu;Sólo;219
2023;Šumperk;Počet příjemců vdovských důchodu;Kombinace;6230
2023;Šumperk;Průměrný vdovecký důchod (Kč);Sólo;11901
2023;Šumperk;Průměrný vdovecký důchod (Kč);Kombinace;22981
2023;Šumperk;Průměrný vdovský důchod (Kč);Sólo;12424
2023;Šumperk;Průměrný vdovský důchod (Kč);Kombinace;21404
2023;Kroměříž;Počet příjemců vdoveckých důchodu;Sólo;44
2023;Kroměříž;Počet příjemců vdoveckých důchodu;Kombinace;947
2023;Kroměříž;Počet příjemců vdovských důchodu;Sólo;186
2023;Kroměříž;Počet příjemců vdovských důchodu;Kombinace;5489
2023;Kroměříž;Průměrný vdovecký důchod (Kč);Sólo;11760
2023;Kroměříž;Průměrný vdovecký důchod (Kč);Kombinace;23532
2023;Kroměříž;Průměrný vdovský důchod (Kč);Sólo;12420
2023;Kroměříž;Průměrný vdovský důchod (Kč);Kombinace;21780
2023;Uherské Hradiště;Počet příjemců vdoveckých důchodu;Sólo;72
2023;Uherské Hradiště;Počet příjemců vdoveckých důchodu;Kombinace;1362
2023;Uherské Hradiště;Počet příjemců vdovských důchodu;Sólo;268
2023;Uherské Hradiště;Počet příjemců vdovských důchodu;Kombinace;7645
2023;Uherské Hradiště;Průměrný vdovecký důchod (Kč);Sólo;11752
2023;Uherské Hradiště;Průměrný vdovecký důchod (Kč);Kombinace;23833
2023;Uherské Hradiště;Průměrný vdovský důchod (Kč);Sólo;12548
2023;Uherské Hradiště;Průměrný vdovský důchod (Kč);Kombinace;21664
2023;Vsetín;Počet příjemců vdoveckých důchodu;Sólo;72
2023;Vsetín;Počet příjemců vdoveckých důchodu;Kombinace;1294
2023;Vsetín;Počet příjemců vdovských důchodu;Sólo;250
2023;Vsetín;Počet příjemců vdovských důchodu;Kombinace;7399
2023;Vsetín;Průměrný vdovecký důchod (Kč);Sólo;11572
2023;Vsetín;Průměrný vdovecký důchod (Kč);Kombinace;23581
2023;Vsetín;Průměrný vdovský důchod (Kč);Sólo;12720
2023;Vsetín;Průměrný vdovský důchod (Kč);Kombinace;21548
2023;Zlín;Počet příjemců vdoveckých důchodu;Sólo;86
2023;Zlín;Počet příjemců vdoveckých důchodu;Kombinace;1721
2023;Zlín;Počet příjemců vdovských důchodu;Sólo;323
2023;Zlín;Počet příjemců vdovských důchodu;Kombinace;9882
2023;Zlín;Průměrný vdovecký důchod (Kč);Sólo;12143
2023;Zlín;Průměrný vdovecký důchod (Kč);Kombinace;23869
2023;Zlín;Průměrný vdovský důchod (Kč);Sólo;12949
2023;Zlín;Průměrný vdovský důchod (Kč);Kombinace;21987
2023;Bruntál;Počet příjemců vdoveckých důchodu;Sólo;36
2023;Bruntál;Počet příjemců vdoveckých důchodu;Kombinace;954
2023;Bruntál;Počet příjemců vdovských důchodu;Sólo;170
2023;Bruntál;Počet příjemců vdovských důchodu;Kombinace;4769
2023;Bruntál;Průměrný vdovecký důchod (Kč);Sólo;10475
2023;Bruntál;Průměrný vdovecký důchod (Kč);Kombinace;23143
2023;Bruntál;Průměrný vdovský důchod (Kč);Sólo;12082
2023;Bruntál;Průměrný vdovský důchod (Kč);Kombinace;21415
2023;Frýdek-Místek;Počet příjemců vdoveckých důchodu;Sólo;101
2023;Frýdek-Místek;Počet příjemců vdoveckých důchodu;Kombinace;1880
2023;Frýdek-Místek;Počet příjemců vdovských důchodu;Sólo;556
2023;Frýdek-Místek;Počet příjemců vdovských důchodu;Kombinace;10352
2023;Frýdek-Místek;Průměrný vdovecký důchod (Kč);Sólo;11295
2023;Frýdek-Místek;Průměrný vdovecký důchod (Kč);Kombinace;24707
2023;Frýdek-Místek;Průměrný vdovský důchod (Kč);Sólo;13255
2023;Frýdek-Místek;Průměrný vdovský důchod (Kč);Kombinace;21680
2023;Karviná;Počet příjemců vdoveckých důchodu;Sólo;116
2023;Karviná;Počet příjemců vdoveckých důchodu;Kombinace;2428
2023;Karviná;Počet příjemců vdovských důchodu;Sólo;940
2023;Karviná;Počet příjemců vdovských důchodu;Kombinace;12895
2023;Karviná;Průměrný vdovecký důchod (Kč);Sólo;10828
2023;Karviná;Průměrný vdovecký důchod (Kč);Kombinace;25688
2023;Karviná;Průměrný vdovský důchod (Kč);Sólo;13987
2023;Karviná;Průměrný vdovský důchod (Kč);Kombinace;21591
2023;Nový Jičín;Počet příjemců vdoveckých důchodu;Sólo;77
2023;Nový Jičín;Počet příjemců vdoveckých důchodu;Kombinace;1339
2023;Nový Jičín;Počet příjemců vdovských důchodu;Sólo;262
2023;Nový Jičín;Počet příjemců vdovských důchodu;Kombinace;7416
2023;Nový Jičín;Průměrný vdovecký důchod (Kč);Sólo;11652
2023;Nový Jičín;Průměrný vdovecký důchod (Kč);Kombinace;23577
2023;Nový Jičín;Průměrný vdovský důchod (Kč);Sólo;12951
2023;Nový Jičín;Průměrný vdovský důchod (Kč);Kombinace;21706
2023;Opava;Počet příjemců vdoveckých důchodu;Sólo;98
2023;Opava;Počet příjemců vdoveckých důchodu;Kombinace;1563
2023;Opava;Počet příjemců vdovských důchodu;Sólo;318
2023;Opava;Počet příjemců vdovských důchodu;Kombinace;9034
2023;Opava;Průměrný vdovecký důchod (Kč);Sólo;11192
2023;Opava;Průměrný vdovecký důchod (Kč);Kombinace;23782
2023;Opava;Průměrný vdovský důchod (Kč);Sólo;13058
2023;Opava;Průměrný vdovský důchod (Kč);Kombinace;21649
2023;Ostrava-město;Počet příjemců vdoveckých důchodu;Sólo;131
2023;Ostrava-město;Počet příjemců vdoveckých důchodu;Kombinace;2917
2023;Ostrava-město;Počet příjemců vdovských důchodu;Sólo;695
2023;Ostrava-město;Počet příjemců vdovských důchodu;Kombinace;15700
2023;Ostrava-město;Průměrný vdovecký důchod (Kč);Sólo;11243
2023;Ostrava-město;Průměrný vdovecký důchod (Kč);Kombinace;25107
2023;Ostrava-město;Průměrný vdovský důchod (Kč);Sólo;13126
2023;Ostrava-město;Průměrný vdovský důchod (Kč);Kombinace;22231
