ČR a kraje,Ukazatel,Pohlaví,Odvětví ekonomické činnosti,Čtvrtletí,value
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",3. čtvrtletí 2002,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2. čtvrtletí 2002,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",1. čtvrtletí 2002,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",4. čtvrtletí 2001,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",3. čtvrtletí 2001,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2. čtvrtletí 2001,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",1. čtvrtletí 2001,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",4. čtvrtletí 2000,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",3. čtvrtletí 2000,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2. čtvrtletí 2000,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",1. čtvrtletí 2000,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",4. čtvrtletí 1999,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",3. čtvrtletí 1999,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2. čtvrtletí 1999,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",1. čtvrtletí 1999,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",4. čtvrtletí 1998,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",3. čtvrtletí 1998,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2. čtvrtletí 1998,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",1. čtvrtletí 1998,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",4. čtvrtletí 1997,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",3. čtvrtletí 1997,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2. čtvrtletí 1997,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",1. čtvrtletí 1997,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",4. čtvrtletí 1996,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",3. čtvrtletí 1996,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2. čtvrtletí 1996,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",1. čtvrtletí 1996,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",4. čtvrtletí 1995,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",3. čtvrtletí 1995,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2. čtvrtletí 1995,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",1. čtvrtletí 1995,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",4. čtvrtletí 1994,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",3. čtvrtletí 1994,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2. čtvrtletí 1994,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",1. čtvrtletí 1994,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",4. čtvrtletí 1993,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",3. čtvrtletí 1993,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2. čtvrtletí 1993,
Česko,Zaměstnaní (tis. osob),Celkem,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",1. čtvrtletí 1993,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2025,67.317911825
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2025,70.493103291
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 2024,67.74581145
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 2024,62.684802503
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2024,58.78375866
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2024,57.58383078
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 2023,53.968101034
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 2023,57.920176359
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2023,63.720751404
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2023,63.97522309
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 2022,64.92345361
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 2022,62.30572463
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2022,61.7491634
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2022,59.6443557
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 2021,58.0898918
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 2021,62.5945675
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2021,68.0832206
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2021,64.7919203
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 2020,64.3783328
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 2020,66.9976975
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2020,69.628764
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2020,67.1555892
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 2019,66.48255
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 2019,64.537462
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2019,61.1747469
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2019,59.4672766
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 2018,57.3246464
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 2018,56.497724
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2018,56.5714607
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2018,55.2563468
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 2017,53.9505774
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 2017,58.4044521
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2017,57.2415528
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2017,53.9136757
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 2016,53.2197629
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 2016,53.191685
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2016,45.4662318
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2016,45.9652234800001
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 2015,52.7850376000001
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 2015,56.5615496800001
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2015,58.7480956900001
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2015,60.4241585100001
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 2014,61.5383295500001
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 2014,53.0086519100001
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2014,54.3727541800001
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2014,52.8535880300001
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 2013,54.6857054300001
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 2013,52.7551229300001
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2013,48.9213682600001
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2013,48.7663929400001
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 2012,45.5032195700001
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 2012,43.1917578500001
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2012,47.1930236200001
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2012,48.0331131400001
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 2011,48.4134591400001
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 2011,50.8939097100001
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2011,52.4191466122001
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2011,52.9079551597001
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 2010,51.0322927536001
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 2010,48.0441348583001
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2010,48.5713940905001
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2010,53.1404858691001
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 2009,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 2009,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2009,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2009,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 2008,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 2008,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2008,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2008,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 2007,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 2007,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2007,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2007,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 2006,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 2006,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2006,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2006,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 2005,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 2005,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2005,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2005,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 2004,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 2004,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2004,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2004,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 2003,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 2003,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2003,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2003,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 2002,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 2002,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2002,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2002,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 2001,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 2001,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2001,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2001,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 2000,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 2000,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 2000,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 2000,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 1999,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 1999,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 1999,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 1999,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 1998,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 1998,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 1998,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 1998,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 1997,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 1997,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 1997,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 1997,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 1996,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 1996,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 1996,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 1996,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 1995,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 1995,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 1995,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 1995,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 1994,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 1994,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 1994,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 1994,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",4. čtvrtletí 1993,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",3. čtvrtletí 1993,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2. čtvrtletí 1993,
Česko,Zaměstnaní (tis. osob),Celkem,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",1. čtvrtletí 1993,
Česko,Zaměstnaní (tis. osob),Celkem,F - Stavebnictví,2. čtvrtletí 2025,399.44892733
Česko,Zaměstnaní (tis. osob),Celkem,F - Stavebnictví,1. čtvrtletí 2025,408.4695884
Česko,Zaměstnaní (tis. osob),Celkem,F - Stavebnictví,4. čtvrtletí 2024,425.39048207
Česko,Zaměstnaní (tis. osob),Celkem,F - Stavebnictví,3. čtvrtletí 2024,413.67022593
Česko,Zaměstnaní (tis. osob),Celkem,F - Stavebnictví,2. čtvrtletí 2024,410.9552406
Česko,Zaměstnaní (tis. osob),Celkem,F - Stavebnictví,1. čtvrtletí 2024,406.9285592
Česko,Zaměstnaní (tis. osob),Celkem,F - Stavebnictví,4. čtvrtletí 2023,403.396268842
Česko,Zaměstnaní (tis. osob),Celkem,F - Stavebnictví,3. čtvrtletí 2023,386.40333184
Česko,Zaměstnaní (tis. osob),Celkem,F - Stavebnictví,2. čtvrtletí 2023,388.595803388
Česko,Zaměstnaní (tis. osob),Celkem,F - Stavebnictví,1. čtvrtletí 2023,392.65267605
Česko,Zaměstnaní (tis. osob),Celkem,F - Stavebnictví,4. čtvrtletí 2022,404.05519271
Česko,Zaměstnaní (tis. osob),Celkem,F - Stavebnictví,3. čtvrtletí 2022,406.65191896
Česko,Zaměstnaní (tis. osob),Celkem,F - Stavebnictví,2. čtvrtletí 2022,402.5623177
Česko,Zaměstnaní (tis. osob),Celkem,F - Stavebnictví,1. čtvrtletí 2022,411.6464683
Česko,Zaměstnaní (tis. osob),Celkem,F - Stavebnictví,4. čtvrtletí 2021,412.3667889
Česko,Zaměstnaní (tis. osob),Celkem,F - Stavebnictví,3. čtvrtletí 2021,420.3673576
Česko,Zaměstnaní (tis. osob),Celkem,F - Stavebnictví,2. čtvrtletí 2021,413.7101327
Česko,Zaměstnaní (tis. osob),Celkem,F - Stavebnictví,1. čtvrtletí 2021,407.0507972
