Území;Ukazatel;Délka trvání manželství (jednoletky délky);Roky;value
Česko;Rozvody;29;2024;
Česko;Rozvody;29;2023;213.0
Česko;Rozvody;29;2022;263.0
Česko;Rozvody;29;2021;316.0
Česko;Rozvody;29;2020;329.0
Česko;Rozvody;29;2019;371.0
Česko;Rozvody;29;2018;367.0
Česko;Rozvody;29;2017;359.0
Česko;Rozvody;29;2016;375.0
Česko;Rozvody;29;2015;356.0
Česko;Rozvody;29;2014;384.0
Česko;Rozvody;29;2013;377.0
Česko;Rozvody;29;2012;326.0
Česko;Rozvody;29;2011;337.0
Česko;Rozvody;29;2010;328.0
Česko;Rozvody;29;2009;309.0
Česko;Rozvody;29;2008;329.0
Česko;Rozvody;29;2007;345.0
Česko;Rozvody;29;2006;304.0
Česko;Rozvody;29;2005;348.0
Česko;Rozvody;29;2004;331.0
Česko;Rozvody;29;2003;345.0
Česko;Rozvody;29;2002;289.0
Česko;Rozvody;29;2001;275.0
Česko;Rozvody;30;2024;
Česko;Rozvody;30;2023;259.0
Česko;Rozvody;30;2022;264.0
Česko;Rozvody;30;2021;290.0
Česko;Rozvody;30;2020;328.0
Česko;Rozvody;30;2019;321.0
Česko;Rozvody;30;2018;339.0
Česko;Rozvody;30;2017;319.0
Česko;Rozvody;30;2016;293.0
Česko;Rozvody;30;2015;334.0
Česko;Rozvody;30;2014;335.0
Česko;Rozvody;30;2013;297.0
Česko;Rozvody;30;2012;273.0
Česko;Rozvody;30;2011;292.0
Česko;Rozvody;30;2010;282.0
Česko;Rozvody;30;2009;270.0
Česko;Rozvody;30;2008;297.0
Česko;Rozvody;30;2007;323.0
Česko;Rozvody;30;2006;316.0
Česko;Rozvody;30;2005;312.0
Česko;Rozvody;30;2004;283.0
Česko;Rozvody;30;2003;245.0
Česko;Rozvody;30;2002;265.0
Česko;Rozvody;30;2001;201.0
Česko;Rozvody;31;2024;
Česko;Rozvody;31;2023;216.0
Česko;Rozvody;31;2022;237.0
Česko;Rozvody;31;2021;262.0
Česko;Rozvody;31;2020;226.0
Česko;Rozvody;31;2019;315.0
Česko;Rozvody;31;2018;287.0
Česko;Rozvody;31;2017;263.0
Česko;Rozvody;31;2016;287.0
Česko;Rozvody;31;2015;260.0
Česko;Rozvody;31;2014;248.0
Česko;Rozvody;31;2013;250.0
Česko;Rozvody;31;2012;234.0
Česko;Rozvody;31;2011;262.0
Česko;Rozvody;31;2010;265.0
Česko;Rozvody;31;2009;237.0
Česko;Rozvody;31;2008;294.0
Česko;Rozvody;31;2007;255.0
Česko;Rozvody;31;2006;260.0
Česko;Rozvody;31;2005;259.0
Česko;Rozvody;31;2004;228.0
Česko;Rozvody;31;2003;209.0
Česko;Rozvody;31;2002;199.0
Česko;Rozvody;31;2001;194.0
Česko;Rozvody;32;2024;
Česko;Rozvody;32;2023;231.0
Česko;Rozvody;32;2022;234.0
Česko;Rozvody;32;2021;209.0
Česko;Rozvody;32;2020;218.0
Česko;Rozvody;32;2019;236.0
Česko;Rozvody;32;2018;235.0
Česko;Rozvody;32;2017;241.0
Česko;Rozvody;32;2016;259.0
Česko;Rozvody;32;2015;216.0
Česko;Rozvody;32;2014;214.0
Česko;Rozvody;32;2013;199.0
Česko;Rozvody;32;2012;219.0
Česko;Rozvody;32;2011;246.0
Česko;Rozvody;32;2010;254.0
Česko;Rozvody;32;2009;225.0
Česko;Rozvody;32;2008;232.0
Česko;Rozvody;32;2007;254.0
Česko;Rozvody;32;2006;194.0
Česko;Rozvody;32;2005;198.0
Česko;Rozvody;32;2004;202.0
Česko;Rozvody;32;2003;181.0
Česko;Rozvody;32;2002;161.0
Česko;Rozvody;32;2001;133.0
Česko;Rozvody;33;2024;
Česko;Rozvody;33;2023;181.0
Česko;Rozvody;33;2022;167.0
Česko;Rozvody;33;2021;187.0
Česko;Rozvody;33;2020;194.0
Česko;Rozvody;33;2019;210.0
Česko;Rozvody;33;2018;189.0
Česko;Rozvody;33;2017;225.0
Česko;Rozvody;33;2016;183.0
Česko;Rozvody;33;2015;198.0
Česko;Rozvody;33;2014;194.0
Česko;Rozvody;33;2013;185.0
Česko;Rozvody;33;2012;149.0
Česko;Rozvody;33;2011;188.0
Česko;Rozvody;33;2010;209.0
Česko;Rozvody;33;2009;161.0
Česko;Rozvody;33;2008;190.0
Česko;Rozvody;33;2007;174.0
Česko;Rozvody;33;2006;170.0
Česko;Rozvody;33;2005;175.0
Česko;Rozvody;33;2004;170.0
Česko;Rozvody;33;2003;143.0
Česko;Rozvody;33;2002;141.0
Česko;Rozvody;33;2001;90.0
Česko;Rozvody;34;2024;
Česko;Rozvody;34;2023;182.0
Česko;Rozvody;34;2022;153.0
Česko;Rozvody;34;2021;160.0
Česko;Rozvody;34;2020;160.0
Česko;Rozvody;34;2019;174.0
Česko;Rozvody;34;2018;144.0
Česko;Rozvody;34;2017;160.0
Česko;Rozvody;34;2016;156.0
Česko;Rozvody;34;2015;160.0
Česko;Rozvody;34;2014;177.0
Česko;Rozvody;34;2013;203.0
Česko;Rozvody;34;2012;156.0
Česko;Rozvody;34;2011;200.0
Česko;Rozvody;34;2010;177.0
Česko;Rozvody;34;2009;171.0
Česko;Rozvody;34;2008;175.0
Česko;Rozvody;34;2007;146.0
Česko;Rozvody;34;2006;135.0
Česko;Rozvody;34;2005;128.0
Česko;Rozvody;34;2004;130.0
Česko;Rozvody;34;2003;132.0
Česko;Rozvody;34;2002;96.0
Česko;Rozvody;34;2001;112.0
Česko;Rozvody;35 a více;2024;
Česko;Rozvody;35 a více;2023;876.0
Česko;Rozvody;35 a více;2022;821.0
Česko;Rozvody;35 a více;2021;856.0
Česko;Rozvody;35 a více;2020;902.0
Česko;Rozvody;35 a více;2019;970.0
Česko;Rozvody;35 a více;2018;896.0
Česko;Rozvody;35 a více;2017;896.0
Česko;Rozvody;35 a více;2016;834.0
Česko;Rozvody;35 a více;2015;936.0
Česko;Rozvody;35 a více;2014;938.0
Česko;Rozvody;35 a více;2013;902.0
Česko;Rozvody;35 a více;2012;758.0
Česko;Rozvody;35 a více;2011;837.0
Česko;Rozvody;35 a více;2010;847.0
Česko;Rozvody;35 a více;2009;680.0
Česko;Rozvody;35 a více;2008;653.0
Česko;Rozvody;35 a více;2007;577.0
Česko;Rozvody;35 a více;2006;544.0
Česko;Rozvody;35 a více;2005;507.0
Česko;Rozvody;35 a více;2004;463.0
Česko;Rozvody;35 a více;2003;451.0
Česko;Rozvody;35 a více;2002;369.0
Česko;Rozvody;35 a více;2001;286.0
