Ukazatel,Území,Roky (ČR),Věk (roky),Pohlaví,value
Naděje dožití (ex),Česko,2024,85,ženy,6.6637505833
Naděje dožití (ex),Česko,2024,86,muži,5.2237859631
Naděje dožití (ex),Česko,2024,86,ženy,6.1853898452
Naděje dožití (ex),Česko,2024,87,muži,4.8705472
Naděje dožití (ex),Česko,2024,87,ženy,5.7363923909
Naděje dožití (ex),Česko,2024,88,muži,4.5386402985
Naděje dožití (ex),Česko,2024,88,ženy,5.316600777
Naděje dožití (ex),Česko,2024,89,muži,4.2278032844
Naděje dožití (ex),Česko,2024,89,ženy,4.9247738239
Naděje dožití (ex),Česko,2024,90,muži,3.9376583557
Naděje dožití (ex),Česko,2024,90,ženy,4.5585000438
Naděje dožití (ex),Česko,2024,91,muži,3.667719407
Naděje dožití (ex),Česko,2024,91,ženy,4.214128377
Naděje dožití (ex),Česko,2024,92,muži,3.4174017823
Naděje dožití (ex),Česko,2024,92,ženy,3.8953244816
Naděje dožití (ex),Česko,2024,93,muži,3.18603415
Naděje dožití (ex),Česko,2024,93,ženy,3.6013533758
Naděje dožití (ex),Česko,2024,94,muži,2.9728724588
Naděje dožití (ex),Česko,2024,94,ženy,3.3313526155
Naděje dožití (ex),Česko,2024,95,muži,2.7771161255
Naděje dožití (ex),Česko,2024,95,ženy,3.0843526926
Naděje dožití (ex),Česko,2024,96,muži,2.5979270179
Naděje dožití (ex),Česko,2024,96,ženy,2.8593023299
Naděje dožití (ex),Česko,2024,97,muži,2.4344526446
Naděje dožití (ex),Česko,2024,97,ženy,2.6551000864
Naděje dožití (ex),Česko,2024,98,muži,2.2858566256
Naděje dožití (ex),Česko,2024,98,ženy,2.4706355104
Naděje dožití (ex),Česko,2024,99,muži,2.1513628401
Naděje dožití (ex),Česko,2024,99,ženy,2.3048467812
Naděje dožití (ex),Česko,2024,100,muži,2.0303263654
Naděje dožití (ex),Česko,2024,100,ženy,2.1568093153
Naděje dožití (ex),Česko,2024,101,muži,1.9223582097
Naděje dožití (ex),Česko,2024,101,ženy,2.0258853553
Naděje dožití (ex),Česko,2024,102,muži,1.8275601773
Naděje dožití (ex),Česko,2024,102,ženy,1.9119973176
Naděje dožití (ex),Česko,2024,103,muži,1.7469895684
Naděje dožití (ex),Česko,2024,103,ženy,1.8161582486
Naděje dožití (ex),Česko,2024,104,muži,1.6836131787
Naděje dožití (ex),Česko,2024,104,ženy,1.7415483043
Naděje dožití (ex),Česko,2024,105,muži,1.6443249002
Naděje dožití (ex),Česko,2024,105,ženy,1.695776786
