Území,Měsíce,Ukazatel,value
Česko,prosinec 2022,Podnikatelé - obchod,7.3
Česko,prosinec 2022,Podnikatelé - služby,21.3
Česko,prosinec 2022,Spotřebitelé,-32.0
Česko,listopad 2022,Souhrnný indikátor,-2.6
Česko,listopad 2022,Podnikatelé,4.5
Česko,listopad 2022,Podnikatelé - průmysl,-8.3
Česko,listopad 2022,Podnikatelé - stavebnictví,-4.5
Česko,listopad 2022,Podnikatelé - obchod,14.7
Česko,listopad 2022,Podnikatelé - služby,21.3
Česko,listopad 2022,Spotřebitelé,-30.8
Česko,říjen 2022,Souhrnný indikátor,-2.9
Česko,říjen 2022,Podnikatelé,5.0
Česko,říjen 2022,Podnikatelé - průmysl,-7.3
Česko,říjen 2022,Podnikatelé - stavebnictví,-9.0
Česko,říjen 2022,Podnikatelé - obchod,15.0
Česko,říjen 2022,Podnikatelé - služby,22.0
Česko,říjen 2022,Spotřebitelé,-34.5
Česko,září 2022,Souhrnný indikátor,-2.6
Česko,září 2022,Podnikatelé,5.2
Česko,září 2022,Podnikatelé - průmysl,-5.0
Česko,září 2022,Podnikatelé - stavebnictví,-8.0
Česko,září 2022,Podnikatelé - obchod,7.3
Česko,září 2022,Podnikatelé - služby,20.7
Česko,září 2022,Spotřebitelé,-33.8
Česko,srpen 2022,Souhrnný indikátor,1.7
Česko,srpen 2022,Podnikatelé,9.6
Česko,srpen 2022,Podnikatelé - průmysl,-1.7
Česko,srpen 2022,Podnikatelé - stavebnictví,-9.0
Česko,srpen 2022,Podnikatelé - obchod,10.3
Česko,srpen 2022,Podnikatelé - služby,27.7
Česko,srpen 2022,Spotřebitelé,-29.8
Česko,červenec 2022,Souhrnný indikátor,3.5
Česko,červenec 2022,Podnikatelé,12.6
Česko,červenec 2022,Podnikatelé - průmysl,0.3
Česko,červenec 2022,Podnikatelé - stavebnictví,-2.0
Česko,červenec 2022,Podnikatelé - obchod,13.0
Česko,červenec 2022,Podnikatelé - služby,31.3
Česko,červenec 2022,Spotřebitelé,-33.0
Česko,červen 2022,Souhrnný indikátor,6.3
Česko,červen 2022,Podnikatelé,15.9
Česko,červen 2022,Podnikatelé - průmysl,7.7
Česko,červen 2022,Podnikatelé - stavebnictví,-3.0
Česko,červen 2022,Podnikatelé - obchod,15.0
Česko,červen 2022,Podnikatelé - služby,30.1
Česko,červen 2022,Spotřebitelé,-32.0
Česko,květen 2022,Souhrnný indikátor,10.0
Česko,květen 2022,Podnikatelé,20.3
Česko,květen 2022,Podnikatelé - průmysl,8.3
Česko,květen 2022,Podnikatelé - stavebnictví,-2.0
Česko,květen 2022,Podnikatelé - obchod,19.6
Česko,květen 2022,Podnikatelé - služby,40.0
Česko,květen 2022,Spotřebitelé,-31.0
Česko,duben 2022,Souhrnný indikátor,8.1
Česko,duben 2022,Podnikatelé,16.7
Česko,duben 2022,Podnikatelé - průmysl,1.0
Česko,duben 2022,Podnikatelé - stavebnictví,2.0
Česko,duben 2022,Podnikatelé - obchod,16.7
Česko,duben 2022,Podnikatelé - služby,40.0
Česko,duben 2022,Spotřebitelé,-26.0
Česko,březen 2022,Souhrnný indikátor,4.4
Česko,březen 2022,Podnikatelé,11.8
Česko,březen 2022,Podnikatelé - průmysl,-4.7
Česko,březen 2022,Podnikatelé - stavebnictví,2.3
Česko,březen 2022,Podnikatelé - obchod,18.0
Česko,březen 2022,Podnikatelé - služby,34.3
Česko,březen 2022,Spotřebitelé,-25.0
Česko,únor 2022,Souhrnný indikátor,7.2
Česko,únor 2022,Podnikatelé,13.1
Česko,únor 2022,Podnikatelé - průmysl,-0.3
Česko,únor 2022,Podnikatelé - stavebnictví,6.5
