Roky,Právní forma,Území,Ukazatel,value
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,Příjmy celkem,50466263.75321
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,Daňové příjmy ,23156366.18445
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,Nedaňové příjmy ,4530836.69024
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,Kapitalové příjmy ,444099.30554
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,Přijaté transféry,22334961.57298
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,Výdaje celkem,47630261.36593
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,Běžné výdaje ,37666381.16645
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,Kapitalové výdaje ,9963880.19948
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,Saldo příjmů a výdajů ,2836002.38728
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,Příjmy celkem,41359370.77655
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,Daňové příjmy ,19846651.35334
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,Nedaňové příjmy ,4026762.08302
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,Kapitalové příjmy ,338339.70751
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,Přijaté transféry,17147617.63268
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,Výdaje celkem,40702665.48081
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,Běžné výdaje ,32353636.69441
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,Kapitalové výdaje ,8349028.7864
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Zlínský kraj,Saldo příjmů a výdajů ,656705.29574
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,Příjmy celkem,91002598.00655
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,Daňové příjmy ,43823115.84377
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,Nedaňové příjmy ,10340917.17734
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,Kapitalové příjmy ,1191085.45625
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,Přijaté transféry,35647479.52919
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,Výdaje celkem,86058623.31728
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,Běžné výdaje ,71108870.29985
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,Kapitalové výdaje ,14949753.01743
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Moravskoslezský kraj,Saldo příjmů a výdajů ,4943974.68927
