Území;Náklady práce;Ukazatel;Roky;value
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - ostatní sociální náklady a výdaje;2002;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - ostatní sociální náklady a výdaje;2003;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - ostatní sociální náklady a výdaje;2004;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - ostatní sociální náklady a výdaje;2005;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - ostatní sociální náklady a výdaje;2006;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - ostatní sociální náklady a výdaje;2007;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - ostatní sociální náklady a výdaje;2008;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - ostatní sociální náklady a výdaje;2009;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - ostatní sociální náklady a výdaje;2010;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - ostatní sociální náklady a výdaje;2011;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - ostatní sociální náklady a výdaje;2012;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - ostatní sociální náklady a výdaje;2013;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - ostatní sociální náklady a výdaje;2014;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - ostatní sociální náklady a výdaje;2015;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - ostatní sociální náklady a výdaje;2016;5097.0206645864
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - ostatní sociální náklady a výdaje;2017;5349.9186587374
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - ostatní sociální náklady a výdaje;2018;5904.4238374527
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - ostatní sociální náklady a výdaje;2019;8049.044933574
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - ostatní sociální náklady a výdaje;2020;10093.9895307938
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - ostatní sociální náklady a výdaje;2021;10155.3340784482
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - ostatní sociální náklady a výdaje;2022;10395.5977580397
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - ostatní sociální náklady a výdaje;2023;10189.5874253466
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - personální náklady / výdaje;2000;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - personální náklady / výdaje;2001;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - personální náklady / výdaje;2002;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - personální náklady / výdaje;2003;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - personální náklady / výdaje;2004;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - personální náklady / výdaje;2005;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - personální náklady / výdaje;2006;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - personální náklady / výdaje;2007;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - personální náklady / výdaje;2008;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - personální náklady / výdaje;2009;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - personální náklady / výdaje;2010;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - personální náklady / výdaje;2011;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - personální náklady / výdaje;2012;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - personální náklady / výdaje;2013;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - personální náklady / výdaje;2014;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - personální náklady / výdaje;2015;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - personální náklady / výdaje;2016;5085.1233769991
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - personální náklady / výdaje;2017;5438.1598391969
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - personální náklady / výdaje;2018;5609.5891097657
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - personální náklady / výdaje;2019;5749.3905582655
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - personální náklady / výdaje;2020;5554.9187182955
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - personální náklady / výdaje;2021;6168.0908783757
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - personální náklady / výdaje;2022;7424.2446846736
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - personální náklady / výdaje;2023;6879.5214981336
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - daně a dotace;2000;
