Kraje,Dvouleté období (kraje),Pohlaví,Věk (roky),Ukazatel,value
Hlavní město Praha,2023-2024,muži,15,Počet obyvatel (Px),14735.0
Hlavní město Praha,2023-2024,muži,15,Míra úmrtnosti (mx),0.0001775746
Hlavní město Praha,2023-2024,muži,15,Pravděpodobnost úmrtí (qx),0.0001775588
Hlavní město Praha,2023-2024,muži,15,Tabulkový počet dožívajících (lx),99707.6940236212
Hlavní město Praha,2023-2024,muži,15,Tabulkový počet zemřelých (dx),17.7039773091
Hlavní město Praha,2023-2024,muži,15,Tabulkový počet žijících (Lx),99698.8420349666
Hlavní město Praha,2023-2024,muži,15,Pomocný ukazatel (Tx),6386283.92292648
Hlavní město Praha,2023-2024,muži,15,Naděje dožití (ex),64.0500613866
Hlavní město Praha,2023-2024,muži,16,Počet zemřelých (Dx),3.0
Hlavní město Praha,2023-2024,muži,16,Počet obyvatel (Px),14494.0
Hlavní město Praha,2023-2024,muži,16,Míra úmrtnosti (mx),0.0002352459
Hlavní město Praha,2023-2024,muži,16,Pravděpodobnost úmrtí (qx),0.0002352183
Hlavní město Praha,2023-2024,muži,16,Tabulkový počet dožívajících (lx),99689.990046312
Hlavní město Praha,2023-2024,muži,16,Tabulkový počet zemřelých (dx),23.4489075248
Hlavní město Praha,2023-2024,muži,16,Tabulkový počet žijících (Lx),99678.2655925497
Hlavní město Praha,2023-2024,muži,16,Pomocný ukazatel (Tx),6286585.08089151
Hlavní město Praha,2023-2024,muži,16,Naděje dožití (ex),63.0613472624
Hlavní město Praha,2023-2024,muži,17,Počet zemřelých (Dx),4.0
Hlavní město Praha,2023-2024,muži,17,Počet obyvatel (Px),15194.0
Hlavní město Praha,2023-2024,muži,17,Míra úmrtnosti (mx),0.0003075697
Hlavní město Praha,2023-2024,muži,17,Pravděpodobnost úmrtí (qx),0.0003075225
Hlavní město Praha,2023-2024,muži,17,Tabulkový počet dožívajících (lx),99666.5411387873
Hlavní město Praha,2023-2024,muži,17,Tabulkový počet zemřelých (dx),30.6496990508
Hlavní město Praha,2023-2024,muži,17,Tabulkový počet žijících (Lx),99651.2162892618
Hlavní město Praha,2023-2024,muži,17,Pomocný ukazatel (Tx),6186906.81529896
Hlavní město Praha,2023-2024,muži,17,Naděje dožití (ex),62.0760662967
Hlavní město Praha,2023-2024,muži,18,Počet zemřelých (Dx),6.0
Hlavní město Praha,2023-2024,muži,18,Počet obyvatel (Px),15709.0
Hlavní město Praha,2023-2024,muži,18,Míra úmrtnosti (mx),0.0003897404
Hlavní město Praha,2023-2024,muži,18,Pravděpodobnost úmrtí (qx),0.0003896645
Hlavní město Praha,2023-2024,muži,18,Tabulkový počet dožívajících (lx),99635.8914397364
Hlavní město Praha,2023-2024,muži,18,Tabulkový počet zemřelých (dx),38.8245678136
Hlavní město Praha,2023-2024,muži,18,Tabulkový počet žijících (Lx),99616.4791558296
Hlavní město Praha,2023-2024,muži,18,Pomocný ukazatel (Tx),6087255.5990097
Hlavní město Praha,2023-2024,muži,18,Naděje dožití (ex),61.0950081446
Hlavní město Praha,2023-2024,muži,19,Počet zemřelých (Dx),6.0
Hlavní město Praha,2023-2024,muži,19,Počet obyvatel (Px),14649.0
Hlavní město Praha,2023-2024,muži,19,Míra úmrtnosti (mx),0.0004716687
Hlavní město Praha,2023-2024,muži,19,Pravděpodobnost úmrtí (qx),0.0004715574
Hlavní město Praha,2023-2024,muži,19,Tabulkový počet dožívajících (lx),99597.0668719229
Hlavní město Praha,2023-2024,muži,19,Tabulkový počet zemřelých (dx),46.9657381692
Hlavní město Praha,2023-2024,muži,19,Tabulkový počet žijících (Lx),99573.5840028383
Hlavní město Praha,2023-2024,muži,19,Pomocný ukazatel (Tx),5987639.11985387
Hlavní město Praha,2023-2024,muži,19,Naděje dožití (ex),60.1186290712
Hlavní město Praha,2023-2024,muži,20,Počet zemřelých (Dx),12.0
Hlavní město Praha,2023-2024,muži,20,Počet obyvatel (Px),13717.0
Hlavní město Praha,2023-2024,muži,20,Míra úmrtnosti (mx),0.0005376421
Hlavní město Praha,2023-2024,muži,20,Pravděpodobnost úmrtí (qx),0.0005374976
Hlavní město Praha,2023-2024,muži,20,Tabulkový počet dožívajících (lx),99550.1011337536
Hlavní město Praha,2023-2024,muži,20,Tabulkový počet zemřelých (dx),53.5079444958
Hlavní město Praha,2023-2024,muži,20,Tabulkový počet žijících (Lx),99523.3471615058
Hlavní město Praha,2023-2024,muži,20,Pomocný ukazatel (Tx),5888065.53585103
Hlavní město Praha,2023-2024,muži,20,Naděje dožití (ex),59.1467559429
Hlavní město Praha,2023-2024,muži,21,Počet zemřelých (Dx),12.0
Hlavní město Praha,2023-2024,muži,21,Počet obyvatel (Px),13139.0
Hlavní město Praha,2023-2024,muži,21,Míra úmrtnosti (mx),0.0005746258
Hlavní město Praha,2023-2024,muži,21,Pravděpodobnost úmrtí (qx),0.0005744608
Hlavní město Praha,2023-2024,muži,21,Tabulkový počet dožívajících (lx),99496.5931892579
Hlavní město Praha,2023-2024,muži,21,Tabulkový počet zemřelých (dx),57.1568879871
Hlavní město Praha,2023-2024,muži,21,Tabulkový počet žijících (Lx),99468.0147452643
Hlavní město Praha,2023-2024,muži,21,Pomocný ukazatel (Tx),5788542.18868953
Hlavní město Praha,2023-2024,muži,21,Naděje dožití (ex),58.1782953883
Hlavní město Praha,2023-2024,muži,22,Počet zemřelých (Dx),6.0
Hlavní město Praha,2023-2024,muži,22,Počet obyvatel (Px),13051.0
Hlavní město Praha,2023-2024,muži,22,Míra úmrtnosti (mx),0.0005853786
Hlavní město Praha,2023-2024,muži,22,Pravděpodobnost úmrtí (qx),0.0005852073
Hlavní město Praha,2023-2024,muži,22,Tabulkový počet dožívajících (lx),99439.4363012708
Hlavní město Praha,2023-2024,muži,22,Tabulkový počet zemřelých (dx),58.1926834206
Hlavní město Praha,2023-2024,muži,22,Tabulkový počet žijících (Lx),99410.3399595605
Hlavní město Praha,2023-2024,muži,22,Pomocný ukazatel (Tx),5689074.17394426
Hlavní město Praha,2023-2024,muži,22,Naděje dožití (ex),57.2114483504
Hlavní město Praha,2023-2024,muži,23,Počet zemřelých (Dx),8.0
Hlavní město Praha,2023-2024,muži,23,Počet obyvatel (Px),13037.0
Hlavní město Praha,2023-2024,muži,23,Míra úmrtnosti (mx),0.0005793977
Hlavní město Praha,2023-2024,muži,23,Pravděpodobnost úmrtí (qx),0.0005792299
Hlavní město Praha,2023-2024,muži,23,Tabulkový počet dožívajících (lx),99381.2436178502
Hlavní město Praha,2023-2024,muži,23,Tabulkový počet zemřelých (dx),57.5645836667
Hlavní město Praha,2023-2024,muži,23,Tabulkový počet žijících (Lx),99352.4613260169
Hlavní město Praha,2023-2024,muži,23,Pomocný ukazatel (Tx),5589663.8339847
Hlavní město Praha,2023-2024,muži,23,Naděje dožití (ex),56.2446557368
Hlavní město Praha,2023-2024,muži,24,Počet zemřelých (Dx),4.0
Hlavní město Praha,2023-2024,muži,24,Počet obyvatel (Px),13227.0
Hlavní město Praha,2023-2024,muži,24,Míra úmrtnosti (mx),0.0005664207
Hlavní město Praha,2023-2024,muži,24,Pravděpodobnost úmrtí (qx),0.0005662603
Hlavní město Praha,2023-2024,muži,24,Tabulkový počet dožívajících (lx),99323.6790341836
Hlavní město Praha,2023-2024,muži,24,Tabulkový počet zemřelých (dx),56.243057499
Hlavní město Praha,2023-2024,muži,24,Tabulkový počet žijících (Lx),99295.5575054341
Hlavní město Praha,2023-2024,muži,24,Pomocný ukazatel (Tx),5490311.37265869
Hlavní město Praha,2023-2024,muži,24,Naděje dožití (ex),55.2769634195
Hlavní město Praha,2023-2024,muži,25,Počet zemřelých (Dx),9.0
Hlavní město Praha,2023-2024,muži,25,Počet obyvatel (Px),13785.0
Hlavní město Praha,2023-2024,muži,25,Míra úmrtnosti (mx),0.0005537578
Hlavní město Praha,2023-2024,muži,25,Pravděpodobnost úmrtí (qx),0.0005536045
Hlavní město Praha,2023-2024,muži,25,Tabulkový počet dožívajících (lx),99267.4359766846
Hlavní město Praha,2023-2024,muži,25,Tabulkový počet zemřelých (dx),54.9548996021
Hlavní město Praha,2023-2024,muži,25,Tabulkový počet žijících (Lx),99239.9585268835
Hlavní město Praha,2023-2024,muži,25,Pomocný ukazatel (Tx),5391015.81515325
Hlavní město Praha,2023-2024,muži,25,Naděje dožití (ex),54.3079990141
Hlavní město Praha,2023-2024,muži,26,Počet zemřelých (Dx),8.0
Hlavní město Praha,2023-2024,muži,26,Počet obyvatel (Px),14446.0
Hlavní město Praha,2023-2024,muži,26,Míra úmrtnosti (mx),0.0005478462
Hlavní město Praha,2023-2024,muži,26,Pravděpodobnost úmrtí (qx),0.0005476962
Hlavní město Praha,2023-2024,muži,26,Tabulkový počet dožívajících (lx),99212.4810770825
Hlavní město Praha,2023-2024,muži,26,Tabulkový počet zemřelých (dx),54.338295412
Hlavní město Praha,2023-2024,muži,26,Tabulkový počet žijících (Lx),99185.3119293765
Hlavní město Praha,2023-2024,muži,26,Pomocný ukazatel (Tx),5291775.85662637
Hlavní město Praha,2023-2024,muži,26,Naděje dožití (ex),53.3378038648
Hlavní město Praha,2023-2024,muži,27,Počet zemřelých (Dx),6.0
Hlavní město Praha,2023-2024,muži,27,Počet obyvatel (Px),15234.0
Hlavní město Praha,2023-2024,muži,27,Míra úmrtnosti (mx),0.0005517217
Hlavní město Praha,2023-2024,muži,27,Pravděpodobnost úmrtí (qx),0.0005515696
Hlavní město Praha,2023-2024,muži,27,Tabulkový počet dožívajících (lx),99158.1427816705
Hlavní město Praha,2023-2024,muži,27,Tabulkový počet zemřelých (dx),54.6926140759
Hlavní město Praha,2023-2024,muži,27,Tabulkový počet žijících (Lx),99130.7964746326
Hlavní město Praha,2023-2024,muži,27,Pomocný ukazatel (Tx),5192590.54469699
Hlavní město Praha,2023-2024,muži,27,Naděje dožití (ex),52.3667587858
Hlavní město Praha,2023-2024,muži,28,Počet zemřelých (Dx),7.0
Hlavní město Praha,2023-2024,muži,28,Počet obyvatel (Px),16477.0
Hlavní město Praha,2023-2024,muži,28,Míra úmrtnosti (mx),0.0005656945
Hlavní město Praha,2023-2024,muži,28,Pravděpodobnost úmrtí (qx),0.0005655345
Hlavní město Praha,2023-2024,muži,28,Tabulkový počet dožívajících (lx),99103.4501675946
Hlavní město Praha,2023-2024,muži,28,Tabulkový počet zemřelých (dx),56.0464235396
Hlavní město Praha,2023-2024,muži,28,Tabulkový počet žijících (Lx),99075.4269558248
Hlavní město Praha,2023-2024,muži,28,Pomocný ukazatel (Tx),5093459.74822236
Hlavní město Praha,2023-2024,muži,28,Naděje dožití (ex),51.3953826997
