Kategorie;Čtvrtletí;Oblasti destinačního managementu nečleněné;Ukazatel;Rezidence;value
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Krušnohoří;Průměrný počet přenocování ;Rezidenti;3.5797221401
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Krušnohoří;Průměrný počet přenocování ;Nerezidenti;3.0292468087
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Západočeské lázně;Počet hostů;Celkem;304000.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Západočeské lázně;Počet hostů;Rezidenti;118488.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Západočeské lázně;Počet hostů;Nerezidenti;185512.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Západočeské lázně;Počet přenocování;Celkem;1143747.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Západočeské lázně;Počet přenocování;Rezidenti;421306.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Západočeské lázně;Počet přenocování;Nerezidenti;722441.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Západočeské lázně;Průměrný počet přenocování ;Celkem;3.7623256579
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Západočeské lázně;Průměrný počet přenocování ;Rezidenti;3.5556849639
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Západočeské lázně;Průměrný počet přenocování ;Nerezidenti;3.894308724
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;České Středohoří;Počet hostů;Celkem;25836.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;České Středohoří;Počet hostů;Rezidenti;17365.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;České Středohoří;Počet hostů;Nerezidenti;8471.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;České Středohoří;Počet přenocování;Celkem;54215.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;České Středohoří;Počet přenocování;Rezidenti;35797.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;České Středohoří;Počet přenocování;Nerezidenti;18418.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;České Středohoří;Průměrný počet přenocování ;Celkem;2.0984285493
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;České Středohoří;Průměrný počet přenocování ;Rezidenti;2.0614454362
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;České Středohoří;Průměrný počet přenocování ;Nerezidenti;2.1742415299
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;České Švýcarsko;Počet hostů;Celkem;33347.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;České Švýcarsko;Počet hostů;Rezidenti;20390.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;České Švýcarsko;Počet hostů;Nerezidenti;12957.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;České Švýcarsko;Počet přenocování;Celkem;72441.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;České Švýcarsko;Počet přenocování;Rezidenti;42304.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;České Švýcarsko;Počet přenocování;Nerezidenti;30137.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;České Švýcarsko;Průměrný počet přenocování ;Celkem;2.1723393409
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;České Švýcarsko;Průměrný počet přenocování ;Rezidenti;2.0747425208
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;České Švýcarsko;Průměrný počet přenocování ;Nerezidenti;2.3259242109
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Dolní Poohří;Počet hostů;Celkem;10899.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Dolní Poohří;Počet hostů;Rezidenti;7683.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Dolní Poohří;Počet hostů;Nerezidenti;3216.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Dolní Poohří;Počet přenocování;Celkem;23462.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Dolní Poohří;Počet přenocování;Rezidenti;15993.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Dolní Poohří;Počet přenocování;Nerezidenti;7469.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Dolní Poohří;Průměrný počet přenocování ;Celkem;2.1526745573
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Dolní Poohří;Průměrný počet přenocování ;Rezidenti;2.0816087466
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Dolní Poohří;Průměrný počet přenocování ;Nerezidenti;2.3224502488
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český ráj;Počet hostů;Celkem;37936.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český ráj;Počet hostů;Rezidenti;31674.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český ráj;Počet hostů;Nerezidenti;6262.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český ráj;Počet přenocování;Celkem;67324.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český ráj;Počet přenocování;Rezidenti;55127.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český ráj;Počet přenocování;Nerezidenti;12197.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český ráj;Průměrný počet přenocování ;Celkem;1.7746731337
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český ráj;Průměrný počet přenocování ;Rezidenti;1.7404495801
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český ráj;Průměrný počet přenocování ;Nerezidenti;1.9477802619
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Jizerské hory;Počet hostů;Celkem;97526.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Jizerské hory;Počet hostů;Rezidenti;76211.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Jizerské hory;Počet hostů;Nerezidenti;21315.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Jizerské hory;Počet přenocování;Celkem;222259.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Jizerské hory;Počet přenocování;Rezidenti;171123.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Jizerské hory;Počet přenocování;Nerezidenti;51136.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Jizerské hory;Průměrný počet přenocování ;Celkem;2.2789717614
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Jizerské hory;Průměrný počet přenocování ;Rezidenti;2.2453845245
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Jizerské hory;Průměrný počet přenocování ;Nerezidenti;2.3990616936
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Lužické hory;Počet hostů;Celkem;17717.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Lužické hory;Počet hostů;Rezidenti;13940.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Lužické hory;Počet hostů;Nerezidenti;3777.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Lužické hory;Počet přenocování;Celkem;42527.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Lužické hory;Počet přenocování;Rezidenti;33921.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Lužické hory;Počet přenocování;Nerezidenti;8606.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Lužické hory;Průměrný počet přenocování ;Celkem;2.4003499464
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Lužické hory;Průměrný počet přenocování ;Rezidenti;2.4333572453
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Lužické hory;Průměrný počet přenocování ;Nerezidenti;2.2785279322
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Máchův kraj;Počet hostů;Celkem;7209.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Máchův kraj;Počet hostů;Rezidenti;6224.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Máchův kraj;Počet hostů;Nerezidenti;985.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Máchův kraj;Počet přenocování;Celkem;17233.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Máchův kraj;Počet přenocování;Rezidenti;14627.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Máchův kraj;Počet přenocování;Nerezidenti;2606.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Máchův kraj;Průměrný počet přenocování ;Celkem;2.3904841171
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Máchův kraj;Průměrný počet přenocování ;Rezidenti;2.350096401
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Máchův kraj;Průměrný počet přenocování ;Nerezidenti;2.6456852792
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Broumovsko;Počet hostů;Celkem;8160.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Broumovsko;Počet hostů;Rezidenti;5404.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Broumovsko;Počet hostů;Nerezidenti;2756.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Broumovsko;Počet přenocování;Celkem;18079.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Broumovsko;Počet přenocování;Rezidenti;11977.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Broumovsko;Počet přenocování;Nerezidenti;6102.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Broumovsko;Průměrný počet přenocování ;Celkem;2.2155637255
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Broumovsko;Průměrný počet přenocování ;Rezidenti;2.2163212435
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Broumovsko;Průměrný počet přenocování ;Nerezidenti;2.2140783745
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Hradecko;Počet hostů;Celkem;27921.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Hradecko;Počet hostů;Rezidenti;21230.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Hradecko;Počet hostů;Nerezidenti;6691.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Hradecko;Počet přenocování;Celkem;49892.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Hradecko;Počet přenocování;Rezidenti;36093.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Hradecko;Počet přenocování;Nerezidenti;13799.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Hradecko;Průměrný počet přenocování ;Celkem;1.78689875
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Hradecko;Průměrný počet přenocování ;Rezidenti;1.7000942063
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Hradecko;Průměrný počet přenocování ;Nerezidenti;2.0623225228
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kladské pomezí;Počet hostů;Celkem;13153.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kladské pomezí;Počet hostů;Rezidenti;10541.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kladské pomezí;Počet hostů;Nerezidenti;2612.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kladské pomezí;Počet přenocování;Celkem;41871.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kladské pomezí;Počet přenocování;Rezidenti;36210.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kladské pomezí;Počet přenocování;Nerezidenti;5661.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kladské pomezí;Průměrný počet přenocování ;Celkem;3.1833802174
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kladské pomezí;Průměrný počet přenocování ;Rezidenti;3.4351579547
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kladské pomezí;Průměrný počet přenocování ;Nerezidenti;2.1673047473
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Krkonoše;Počet hostů;Celkem;218880.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Krkonoše;Počet hostů;Rezidenti;165387.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Krkonoše;Počet hostů;Nerezidenti;53493.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Krkonoše;Počet přenocování;Celkem;633211.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Krkonoše;Počet přenocování;Rezidenti;466981.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Krkonoše;Počet přenocování;Nerezidenti;166230.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Krkonoše;Průměrný počet přenocování ;Celkem;2.8929596126
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Krkonoše;Průměrný počet přenocování ;Rezidenti;2.8235653346
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Krkonoše;Průměrný počet přenocování ;Nerezidenti;3.1075093938
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Orlické hory a Podorlicko;Počet hostů;Celkem;43888.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Orlické hory a Podorlicko;Počet hostů;Rezidenti;38218.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Orlické hory a Podorlicko;Počet hostů;Nerezidenti;5670.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Orlické hory a Podorlicko;Počet přenocování;Celkem;93124.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Orlické hory a Podorlicko;Počet přenocování;Rezidenti;80340.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Orlické hory a Podorlicko;Počet přenocování;Nerezidenti;12784.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Orlické hory a Podorlicko;Průměrný počet přenocování ;Celkem;2.1218556325
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Orlické hory a Podorlicko;Průměrný počet přenocování ;Rezidenti;2.102150819
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Orlické hory a Podorlicko;Průměrný počet přenocování ;Nerezidenti;2.2546737213
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Podkrkonoší - Podzvičinsko;Počet hostů;Celkem;16016.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Podkrkonoší - Podzvičinsko;Počet hostů;Rezidenti;15095.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Podkrkonoší - Podzvičinsko;Počet hostů;Nerezidenti;921.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Podkrkonoší - Podzvičinsko;Počet přenocování;Celkem;48501.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Podkrkonoší - Podzvičinsko;Počet přenocování;Rezidenti;45495.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Podkrkonoší - Podzvičinsko;Počet přenocování;Nerezidenti;3006.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Podkrkonoší - Podzvičinsko;Průměrný počet přenocování ;Celkem;3.0282842158
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Podkrkonoší - Podzvičinsko;Průměrný počet přenocování ;Rezidenti;3.0139118914
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Podkrkonoší - Podzvičinsko;Průměrný počet přenocování ;Nerezidenti;3.2638436482
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Českomoravské pomezí;Počet hostů;Celkem;17352.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Českomoravské pomezí;Počet hostů;Rezidenti;14421.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Českomoravské pomezí;Počet hostů;Nerezidenti;2931.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Českomoravské pomezí;Počet přenocování;Celkem;36108.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Českomoravské pomezí;Počet přenocování;Rezidenti;28062.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Českomoravské pomezí;Počet přenocování;Nerezidenti;8046.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Českomoravské pomezí;Průměrný počet přenocování ;Celkem;2.0809128631
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Českomoravské pomezí;Průměrný počet přenocování ;Rezidenti;1.9459122114
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Českomoravské pomezí;Průměrný počet přenocování ;Nerezidenti;2.7451381781
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Chrudimsko-Hlinecko;Počet hostů;Celkem;22052.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Chrudimsko-Hlinecko;Počet hostů;Rezidenti;20268.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Chrudimsko-Hlinecko;Počet hostů;Nerezidenti;1784.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Chrudimsko-Hlinecko;Počet přenocování;Celkem;40508.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Chrudimsko-Hlinecko;Počet přenocování;Rezidenti;36506.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Chrudimsko-Hlinecko;Počet přenocování;Nerezidenti;4002.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Chrudimsko-Hlinecko;Průměrný počet přenocování ;Celkem;1.8369308906
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Chrudimsko-Hlinecko;Průměrný počet přenocování ;Rezidenti;1.8011643971
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Chrudimsko-Hlinecko;Průměrný počet přenocování ;Nerezidenti;2.2432735426
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Králický Sněžník;Počet hostů;Celkem;13482.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Králický Sněžník;Počet hostů;Rezidenti;11663.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Králický Sněžník;Počet hostů;Nerezidenti;1819.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Králický Sněžník;Počet přenocování;Celkem;29114.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Králický Sněžník;Počet přenocování;Rezidenti;25309.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Králický Sněžník;Počet přenocování;Nerezidenti;3805.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Králický Sněžník;Průměrný počet přenocování ;Celkem;2.1594718884
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Králický Sněžník;Průměrný počet přenocování ;Rezidenti;2.170024865
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Králický Sněžník;Průměrný počet přenocování ;Nerezidenti;2.0918086861
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pardubicko;Počet hostů;Celkem;26078.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pardubicko;Počet hostů;Rezidenti;20838.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pardubicko;Počet hostů;Nerezidenti;5240.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pardubicko;Počet přenocování;Celkem;73033.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pardubicko;Počet přenocování;Rezidenti;60951.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pardubicko;Počet přenocování;Nerezidenti;12082.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pardubicko;Průměrný počet přenocování ;Celkem;2.8005598589
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pardubicko;Průměrný počet přenocování ;Rezidenti;2.9249928016
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pardubicko;Průměrný počet přenocování ;Nerezidenti;2.3057251908
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Koruna Vysočiny;Počet hostů;Celkem;43270.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Koruna Vysočiny;Počet hostů;Rezidenti;39972.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Koruna Vysočiny;Počet hostů;Nerezidenti;3298.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Koruna Vysočiny;Počet přenocování;Celkem;82968.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Koruna Vysočiny;Počet přenocování;Rezidenti;76398.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Koruna Vysočiny;Počet přenocování;Nerezidenti;6570.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Koruna Vysočiny;Průměrný počet přenocování ;Celkem;1.9174485787
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Koruna Vysočiny;Průměrný počet přenocování ;Rezidenti;1.9112879015
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Koruna Vysočiny;Průměrný počet přenocování ;Nerezidenti;1.9921164342
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Třebíčsko;Počet hostů;Celkem;24561.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Třebíčsko;Počet hostů;Rezidenti;20923.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Třebíčsko;Počet hostů;Nerezidenti;3638.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Třebíčsko;Počet přenocování;Celkem;47709.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Třebíčsko;Počet přenocování;Rezidenti;39607.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Třebíčsko;Počet přenocování;Nerezidenti;8102.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Třebíčsko;Průměrný počet přenocování ;Celkem;1.9424697691
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Třebíčsko;Průměrný počet přenocování ;Rezidenti;1.8929885772
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Třebíčsko;Průměrný počet přenocování ;Nerezidenti;2.2270478285
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Brno a okolí;Počet hostů;Celkem;250570.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Brno a okolí;Počet hostů;Rezidenti;136413.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Brno a okolí;Počet hostů;Nerezidenti;114157.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Brno a okolí;Počet přenocování;Celkem;407623.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Brno a okolí;Počet přenocování;Rezidenti;217068.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Brno a okolí;Počet přenocování;Nerezidenti;190555.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Brno a okolí;Průměrný počet přenocování ;Celkem;1.6267829349
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Brno a okolí;Průměrný počet přenocování ;Rezidenti;1.5912559653
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Brno a okolí;Průměrný počet přenocování ;Nerezidenti;1.6692362273
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Moravský kras a okolí;Počet hostů;Celkem;26340.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Moravský kras a okolí;Počet hostů;Rezidenti;22882.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Moravský kras a okolí;Počet hostů;Nerezidenti;3458.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Moravský kras a okolí;Počet přenocování;Celkem;46365.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Moravský kras a okolí;Počet přenocování;Rezidenti;40183.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Moravský kras a okolí;Počet přenocování;Nerezidenti;6182.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Moravský kras a okolí;Průměrný počet přenocování ;Celkem;1.7602505695
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Moravský kras a okolí;Průměrný počet přenocování ;Rezidenti;1.7560964951
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Moravský kras a okolí;Průměrný počet přenocování ;Nerezidenti;1.7877385772
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Slovácko;Počet hostů;Celkem;53238.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Slovácko;Počet hostů;Rezidenti;42386.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Slovácko;Počet hostů;Nerezidenti;10852.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Slovácko;Počet přenocování;Celkem;119660.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Slovácko;Počet přenocování;Rezidenti;99937.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Slovácko;Počet přenocování;Nerezidenti;19723.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Slovácko;Průměrný počet přenocování ;Celkem;2.2476426613
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Slovácko;Průměrný počet přenocování ;Rezidenti;2.3577832303
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Slovácko;Průměrný počet přenocování ;Nerezidenti;1.8174530041
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Znojemsko a Podyjí;Počet hostů;Celkem;38159.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Znojemsko a Podyjí;Počet hostů;Rezidenti;27280.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Znojemsko a Podyjí;Počet hostů;Nerezidenti;10879.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Znojemsko a Podyjí;Počet přenocování;Celkem;69407.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Znojemsko a Podyjí;Počet přenocování;Rezidenti;51952.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Znojemsko a Podyjí;Počet přenocování;Nerezidenti;17455.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Znojemsko a Podyjí;Průměrný počet přenocování ;Celkem;1.8188893839
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Znojemsko a Podyjí;Průměrný počet přenocování ;Rezidenti;1.904398827
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Znojemsko a Podyjí;Průměrný počet přenocování ;Nerezidenti;1.6044673224
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Jeseníky-západ;Počet hostů;Celkem;59756.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Jeseníky-západ;Počet hostů;Rezidenti;54433.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Jeseníky-západ;Počet hostů;Nerezidenti;5323.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Jeseníky-západ;Počet přenocování;Celkem;197168.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Jeseníky-západ;Počet přenocování;Rezidenti;185037.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Jeseníky-západ;Počet přenocování;Nerezidenti;12131.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Jeseníky-západ;Průměrný počet přenocování ;Celkem;3.2995515095
