Ukazatel;Kraje;Pohlaví;Věk (roky);Dvouleté období (kraje);value
Naděje dožití (ex);Hlavní město Praha;muži;16;2013-2014;61.69448108
Naděje dožití (ex);Hlavní město Praha;muži;16;2014-2015;61.8205873
Naděje dožití (ex);Hlavní město Praha;muži;16;2015-2016;62.00694285
Naděje dožití (ex);Hlavní město Praha;muži;16;2016-2017;62.30971679
Naděje dožití (ex);Hlavní město Praha;muži;16;2017-2018;62.5016592448
Naděje dožití (ex);Hlavní město Praha;muži;16;2018-2019;62.6589038053
Naděje dožití (ex);Hlavní město Praha;muži;16;2019-2020;62.3791415924
Naděje dožití (ex);Hlavní město Praha;muži;16;2020-2021;61.2840698785
Naděje dožití (ex);Hlavní město Praha;muži;16;2021-2022;61.3519707437
Naděje dožití (ex);Hlavní město Praha;muži;16;2022-2023;62.47461277
Naděje dožití (ex);Hlavní město Praha;muži;17;2001-2002;57.19269788
Naděje dožití (ex);Hlavní město Praha;muži;17;2002-2003;57.17003331
Naděje dožití (ex);Hlavní město Praha;muži;17;2003-2004;57.54334509
Naděje dožití (ex);Hlavní město Praha;muži;17;2004-2005;58.12997923
Naděje dožití (ex);Hlavní město Praha;muži;17;2005-2006;58.62088727
Naděje dožití (ex);Hlavní město Praha;muži;17;2006-2007;58.97997242
Naděje dožití (ex);Hlavní město Praha;muži;17;2007-2008;59.25210542
Naděje dožití (ex);Hlavní město Praha;muži;17;2008-2009;59.5440343
Naděje dožití (ex);Hlavní město Praha;muži;17;2009-2010;59.61707213
Naděje dožití (ex);Hlavní město Praha;muži;17;2010-2011;59.85455389
Naděje dožití (ex);Hlavní město Praha;muži;17;2011-2012;60.19140151
Naděje dožití (ex);Hlavní město Praha;muži;17;2012-2013;60.46313843
Naděje dožití (ex);Hlavní město Praha;muži;17;2013-2014;60.71517409
Naděje dožití (ex);Hlavní město Praha;muži;17;2014-2015;60.83403998
Naděje dožití (ex);Hlavní město Praha;muži;17;2015-2016;61.0194094
Naděje dožití (ex);Hlavní město Praha;muži;17;2016-2017;61.31985112
Naděje dožití (ex);Hlavní město Praha;muži;17;2017-2018;61.5097294714
Naděje dožití (ex);Hlavní město Praha;muži;17;2018-2019;61.6708396294
Naděje dožití (ex);Hlavní město Praha;muži;17;2019-2020;61.3907368661
Naděje dožití (ex);Hlavní město Praha;muži;17;2020-2021;60.296503751
Naděje dožití (ex);Hlavní město Praha;muži;17;2021-2022;60.3696063013
Naděje dožití (ex);Hlavní město Praha;muži;17;2022-2023;61.48975539
Naděje dožití (ex);Hlavní město Praha;muži;18;2001-2002;56.21986102
Naděje dožití (ex);Hlavní město Praha;muži;18;2002-2003;56.19698744
Naděje dožití (ex);Hlavní město Praha;muži;18;2003-2004;56.57120889
Naděje dožití (ex);Hlavní město Praha;muži;18;2004-2005;57.16351568
Naděje dožití (ex);Hlavní město Praha;muži;18;2005-2006;57.64826004
Naděje dožití (ex);Hlavní město Praha;muži;18;2006-2007;58.00448928
Naděje dožití (ex);Hlavní město Praha;muži;18;2007-2008;58.2732463
Naděje dožití (ex);Hlavní město Praha;muži;18;2008-2009;58.56309236
Naděje dožití (ex);Hlavní město Praha;muži;18;2009-2010;58.63891481
Naděje dožití (ex);Hlavní město Praha;muži;18;2010-2011;58.87488556
Naděje dožití (ex);Hlavní město Praha;muži;18;2011-2012;59.20653469
Naděje dožití (ex);Hlavní město Praha;muži;18;2012-2013;59.48293578
Naděje dožití (ex);Hlavní město Praha;muži;18;2013-2014;59.73995216
Naděje dožití (ex);Hlavní město Praha;muži;18;2014-2015;59.8509178
Naděje dožití (ex);Hlavní město Praha;muži;18;2015-2016;60.03531552
Naděje dožití (ex);Hlavní město Praha;muži;18;2016-2017;60.33311297
Naděje dožití (ex);Hlavní město Praha;muži;18;2017-2018;60.5201952384
Naděje dožití (ex);Hlavní město Praha;muži;18;2018-2019;60.6865951328
Naděje dožití (ex);Hlavní město Praha;muži;18;2019-2020;60.4087554983
Naděje dožití (ex);Hlavní město Praha;muži;18;2020-2021;59.3131176284
Naděje dožití (ex);Hlavní město Praha;muži;18;2021-2022;59.3904731174
Naděje dožití (ex);Hlavní město Praha;muži;18;2022-2023;60.50887701
Naděje dožití (ex);Hlavní město Praha;muži;19;2001-2002;55.25462014
Naděje dožití (ex);Hlavní město Praha;muži;19;2002-2003;55.22912882
Naděje dožití (ex);Hlavní město Praha;muži;19;2003-2004;55.60275909
Naděje dožití (ex);Hlavní město Praha;muži;19;2004-2005;56.20406422
Naděje dožití (ex);Hlavní město Praha;muži;19;2005-2006;56.6799409
Naděje dožití (ex);Hlavní město Praha;muži;19;2006-2007;57.03325988
Naděje dožití (ex);Hlavní město Praha;muži;19;2007-2008;57.29702686
Naděje dožití (ex);Hlavní město Praha;muži;19;2008-2009;57.58429622
Naděje dožití (ex);Hlavní město Praha;muži;19;2009-2010;57.6643649
Naděje dožití (ex);Hlavní město Praha;muži;19;2010-2011;57.90004833
Naděje dožití (ex);Hlavní město Praha;muži;19;2011-2012;58.22369502
Naděje dožití (ex);Hlavní město Praha;muži;19;2012-2013;58.50445826
Naděje dožití (ex);Hlavní město Praha;muži;19;2013-2014;58.76805799
Naděje dožití (ex);Hlavní město Praha;muži;19;2014-2015;58.87164817
Naděje dožití (ex);Hlavní město Praha;muži;19;2015-2016;59.05544627
Naděje dožití (ex);Hlavní město Praha;muži;19;2016-2017;59.35007484
Naděje dožití (ex);Hlavní město Praha;muži;19;2017-2018;59.5337212856
Naděje dožití (ex);Hlavní město Praha;muži;19;2018-2019;59.7080693371
Naděje dožití (ex);Hlavní město Praha;muži;19;2019-2020;59.4346007357
Naděje dožití (ex);Hlavní město Praha;muži;19;2020-2021;58.3340235792
Naděje dožití (ex);Hlavní město Praha;muži;19;2021-2022;58.4148462656
Naděje dožití (ex);Hlavní město Praha;muži;19;2022-2023;59.53328247
Naděje dožití (ex);Hlavní město Praha;muži;20;2001-2002;54.29706883
Naděje dožití (ex);Hlavní město Praha;muži;20;2002-2003;54.26619558
Naděje dožití (ex);Hlavní město Praha;muži;20;2003-2004;54.63707321
Naděje dožití (ex);Hlavní město Praha;muži;20;2004-2005;55.24852156
Naděje dožití (ex);Hlavní město Praha;muži;20;2005-2006;55.71522527
Naděje dožití (ex);Hlavní město Praha;muži;20;2006-2007;56.06560181
Naděje dožití (ex);Hlavní město Praha;muži;20;2007-2008;56.32336792
Naděje dožití (ex);Hlavní město Praha;muži;20;2008-2009;56.60767008
Naděje dožití (ex);Hlavní město Praha;muži;20;2009-2010;56.69303315
Naděje dožití (ex);Hlavní město Praha;muži;20;2010-2011;56.92986242
Naděje dožití (ex);Hlavní město Praha;muži;20;2011-2012;57.24290475
Naděje dožití (ex);Hlavní město Praha;muži;20;2012-2013;57.52728683
Naděje dožití (ex);Hlavní město Praha;muži;20;2013-2014;57.79850289
Naděje dožití (ex);Hlavní město Praha;muži;20;2014-2015;57.89624368
Naděje dožití (ex);Hlavní město Praha;muži;20;2015-2016;58.08002392
Naděje dožití (ex);Hlavní město Praha;muži;20;2016-2017;58.37090344
Naděje dožití (ex);Hlavní město Praha;muži;20;2017-2018;58.5507663362
Naděje dožití (ex);Hlavní město Praha;muži;20;2018-2019;58.7362873387
Naděje dožití (ex);Hlavní město Praha;muži;20;2019-2020;58.4673916442
Naděje dožití (ex);Hlavní město Praha;muži;20;2020-2021;57.3583951145
Naděje dožití (ex);Hlavní město Praha;muži;20;2021-2022;57.4424548922
Naděje dožití (ex);Hlavní město Praha;muži;20;2022-2023;58.56362385
Naděje dožití (ex);Hlavní město Praha;muži;21;2001-2002;53.34561684
Naděje dožití (ex);Hlavní město Praha;muži;21;2002-2003;53.30736185
Naděje dožití (ex);Hlavní město Praha;muži;21;2003-2004;53.67311003
Naděje dožití (ex);Hlavní město Praha;muži;21;2004-2005;54.29260084
Naděje dožití (ex);Hlavní město Praha;muži;21;2005-2006;54.75300723
Naděje dožití (ex);Hlavní město Praha;muži;21;2006-2007;55.10035547
Naděje dožití (ex);Hlavní město Praha;muži;21;2007-2008;55.35207031
Naděje dožití (ex);Hlavní město Praha;muži;21;2008-2009;55.63313883
Naděje dožití (ex);Hlavní město Praha;muži;21;2009-2010;55.7240621
Naděje dožití (ex);Hlavní město Praha;muži;21;2010-2011;55.96330843
Naděje dožití (ex);Hlavní město Praha;muži;21;2011-2012;56.26406409
Naděje dožití (ex);Hlavní město Praha;muži;21;2012-2013;56.55108077
Naděje dožití (ex);Hlavní město Praha;muži;21;2013-2014;56.83037938
Naděje dožití (ex);Hlavní město Praha;muži;21;2014-2015;56.92410436
Naděje dožití (ex);Hlavní město Praha;muži;21;2015-2016;57.10817801
Naděje dožití (ex);Hlavní město Praha;muži;21;2016-2017;57.39509542
Naděje dožití (ex);Hlavní město Praha;muži;21;2017-2018;57.5712458888
Naděje dožití (ex);Hlavní město Praha;muži;21;2018-2019;57.7693923226
Naděje dožití (ex);Hlavní město Praha;muži;21;2019-2020;57.5031818098
Naděje dožití (ex);Hlavní město Praha;muži;21;2020-2021;56.3844271074
Naděje dožití (ex);Hlavní město Praha;muži;21;2021-2022;56.4721441692
Naděje dožití (ex);Hlavní město Praha;muži;21;2022-2023;57.59876075
Naděje dožití (ex);Hlavní město Praha;muži;22;2001-2002;52.39713214
Naděje dožití (ex);Hlavní město Praha;muži;22;2002-2003;52.35131582
Naděje dožití (ex);Hlavní město Praha;muži;22;2003-2004;52.70990496
Naděje dožití (ex);Hlavní město Praha;muži;22;2004-2005;53.33276042
Naděje dožití (ex);Hlavní město Praha;muži;22;2005-2006;53.79200079
Naděje dožití (ex);Hlavní město Praha;muži;22;2006-2007;54.13618327
Naděje dožití (ex);Hlavní město Praha;muži;22;2007-2008;54.38283389
Naděje dožití (ex);Hlavní město Praha;muži;22;2008-2009;54.66052565
Naděje dožití (ex);Hlavní město Praha;muži;22;2009-2010;54.75629077
Naděje dožití (ex);Hlavní město Praha;muži;22;2010-2011;54.99871636
Naděje dožití (ex);Hlavní město Praha;muži;22;2011-2012;55.28696254
Naděje dožití (ex);Hlavní město Praha;muži;22;2012-2013;55.57560989
Naděje dožití (ex);Hlavní město Praha;muži;22;2013-2014;55.86299167
Naděje dožití (ex);Hlavní město Praha;muži;22;2014-2015;55.95411191
Naděje dožití (ex);Hlavní město Praha;muži;22;2015-2016;56.13808955
Naděje dožití (ex);Hlavní město Praha;muži;22;2016-2017;56.4215055
Naděje dožití (ex);Hlavní město Praha;muži;22;2017-2018;56.5944236217
Naděje dožití (ex);Hlavní město Praha;muži;22;2018-2019;56.8029000148
Naděje dožití (ex);Hlavní město Praha;muži;22;2019-2020;56.5368056555
Naděje dožití (ex);Hlavní město Praha;muži;22;2020-2021;55.4099792681
Naděje dožití (ex);Hlavní město Praha;muži;22;2021-2022;55.5021727906
Naděje dožití (ex);Hlavní město Praha;muži;22;2022-2023;56.63573366
Naděje dožití (ex);Hlavní město Praha;muži;23;2001-2002;51.44846036
Naděje dožití (ex);Hlavní město Praha;muži;23;2002-2003;51.39661519
Naděje dožití (ex);Hlavní město Praha;muži;23;2003-2004;51.74680764
Naděje dožití (ex);Hlavní město Praha;muži;23;2004-2005;52.3683795
Naděje dožití (ex);Hlavní město Praha;muži;23;2005-2006;52.83118442
Naděje dožití (ex);Hlavní město Praha;muži;23;2006-2007;53.17220209
Naděje dožití (ex);Hlavní město Praha;muži;23;2007-2008;53.41533038
Naděje dožití (ex);Hlavní město Praha;muži;23;2008-2009;53.68958747
Naděje dožití (ex);Hlavní město Praha;muži;23;2009-2010;53.78872705
Naděje dožití (ex);Hlavní město Praha;muži;23;2010-2011;54.0345947
Naděje dožití (ex);Hlavní město Praha;muži;23;2011-2012;54.3113659
Naděje dožití (ex);Hlavní město Praha;muži;23;2012-2013;54.60074856
Naděje dožití (ex);Hlavní město Praha;muži;23;2013-2014;54.89586012
Naděje dožití (ex);Hlavní město Praha;muži;23;2014-2015;54.98523775
Naděje dožití (ex);Hlavní město Praha;muži;23;2015-2016;55.16829683
Naděje dožití (ex);Hlavní město Praha;muži;23;2016-2017;55.44895851
Naděje dožití (ex);Hlavní město Praha;muži;23;2017-2018;55.6194008187
Naděje dožití (ex);Hlavní město Praha;muži;23;2018-2019;55.8339928095
Naděje dožití (ex);Hlavní město Praha;muži;23;2019-2020;55.5657873363
Naděje dožití (ex);Hlavní město Praha;muži;23;2020-2021;54.4338302624
Naděje dožití (ex);Hlavní město Praha;muži;23;2021-2022;54.5312429061
Naděje dožití (ex);Hlavní město Praha;muži;23;2022-2023;55.67177819
Naděje dožití (ex);Hlavní město Praha;muži;24;2001-2002;50.49720196
Naděje dožití (ex);Hlavní město Praha;muži;24;2002-2003;50.44189716
Naděje dožití (ex);Hlavní město Praha;muži;24;2003-2004;50.78355305
Naděje dožití (ex);Hlavní město Praha;muži;24;2004-2005;51.40112541
Naděje dožití (ex);Hlavní město Praha;muži;24;2005-2006;51.86994961
Naděje dožití (ex);Hlavní město Praha;muži;24;2006-2007;52.20815365
Naděje dožití (ex);Hlavní město Praha;muži;24;2007-2008;52.44923645
Naděje dožití (ex);Hlavní město Praha;muži;24;2008-2009;52.72002749
Naděje dožití (ex);Hlavní město Praha;muži;24;2009-2010;52.82071418
Naděje dožití (ex);Hlavní město Praha;muži;24;2010-2011;53.06996875
Naděje dožití (ex);Hlavní město Praha;muži;24;2011-2012;53.33705054
Naděje dožití (ex);Hlavní město Praha;muži;24;2012-2013;53.62648571
Naděje dožití (ex);Hlavní město Praha;muži;24;2013-2014;53.92874574
Naděje dožití (ex);Hlavní město Praha;muži;24;2014-2015;54.0168004
Naděje dožití (ex);Hlavní město Praha;muži;24;2015-2016;54.19815631
Naděje dožití (ex);Hlavní město Praha;muži;24;2016-2017;54.47655654
Naděje dožití (ex);Hlavní město Praha;muži;24;2017-2018;54.6453876023
Naděje dožití (ex);Hlavní město Praha;muži;24;2018-2019;54.8624466387
Naděje dožití (ex);Hlavní město Praha;muži;24;2019-2020;54.5904170076
Naděje dožití (ex);Hlavní město Praha;muži;24;2020-2021;53.45582735
Naděje dožití (ex);Hlavní město Praha;muži;24;2021-2022;53.5587524402
Naděje dožití (ex);Hlavní město Praha;muži;24;2022-2023;54.70517335
Naděje dožití (ex);Hlavní město Praha;muži;25;2001-2002;49.54207551
Naděje dožití (ex);Hlavní město Praha;muži;25;2002-2003;49.48617115
Naděje dožití (ex);Hlavní město Praha;muži;25;2003-2004;49.82019098
Naděje dožití (ex);Hlavní město Praha;muži;25;2004-2005;50.43319087
Naděje dožití (ex);Hlavní město Praha;muži;25;2005-2006;50.90802815
Naděje dožití (ex);Hlavní město Praha;muži;25;2006-2007;51.24413717
Naděje dožití (ex);Hlavní město Praha;muži;25;2007-2008;51.48422951
Naděje dožití (ex);Hlavní město Praha;muži;25;2008-2009;51.75154024
Naděje dožití (ex);Hlavní město Praha;muži;25;2009-2010;51.85194807
Naděje dožití (ex);Hlavní město Praha;muži;25;2010-2011;52.10437935
Naděje dožití (ex);Hlavní město Praha;muži;25;2011-2012;52.36381764
Naděje dožití (ex);Hlavní město Praha;muži;25;2012-2013;52.65287045
Naděje dožití (ex);Hlavní město Praha;muži;25;2013-2014;52.96154231
Naděje dožití (ex);Hlavní město Praha;muži;25;2014-2015;53.04844776
Naděje dožití (ex);Hlavní město Praha;muži;25;2015-2016;53.22762063
Naděje dožití (ex);Hlavní město Praha;muži;25;2016-2017;53.50373961
Naděje dožití (ex);Hlavní město Praha;muži;25;2017-2018;53.6717752243
Naděje dožití (ex);Hlavní město Praha;muži;25;2018-2019;53.8892149856
Naděje dožití (ex);Hlavní město Praha;muži;25;2019-2020;53.6121185154
Naděje dožití (ex);Hlavní město Praha;muži;25;2020-2021;52.4764518572
Naděje dožití (ex);Hlavní město Praha;muži;25;2021-2022;52.5846776826
Naděje dožití (ex);Hlavní město Praha;muži;25;2022-2023;53.73536135
Naděje dožití (ex);Hlavní město Praha;muži;26;2001-2002;48.58294893
Naděje dožití (ex);Hlavní město Praha;muži;26;2002-2003;48.52909218
Naděje dožití (ex);Hlavní město Praha;muži;26;2003-2004;48.85696822
Naděje dožití (ex);Hlavní město Praha;muži;26;2004-2005;49.46582619
Naděje dožití (ex);Hlavní město Praha;muži;26;2005-2006;49.94533791
Naděje dožití (ex);Hlavní město Praha;muži;26;2006-2007;50.28019099
Naděje dožití (ex);Hlavní město Praha;muži;26;2007-2008;50.51996343
Naděje dožití (ex);Hlavní město Praha;muži;26;2008-2009;50.78387965
Naděje dožití (ex);Hlavní město Praha;muži;26;2009-2010;50.88243462
Naděje dožití (ex);Hlavní město Praha;muži;26;2010-2011;51.13774269
Naděje dožití (ex);Hlavní město Praha;muži;26;2011-2012;51.39149889
Naděje dožití (ex);Hlavní město Praha;muži;26;2012-2013;51.67991868
Naděje dožití (ex);Hlavní město Praha;muži;26;2013-2014;51.99410476
Naděje dožití (ex);Hlavní město Praha;muži;26;2014-2015;52.08001884
Naděje dožití (ex);Hlavní město Praha;muži;26;2015-2016;52.25680921
Naděje dožití (ex);Hlavní město Praha;muži;26;2016-2017;52.53022106
Naděje dožití (ex);Hlavní město Praha;muži;26;2017-2018;52.6980949341
Naděje dožití (ex);Hlavní město Praha;muži;26;2018-2019;52.9149914409
Naděje dožití (ex);Hlavní město Praha;muži;26;2019-2020;52.6323166798
Naděje dožití (ex);Hlavní město Praha;muži;26;2020-2021;51.4963935177
Naděje dožití (ex);Hlavní město Praha;muži;26;2021-2022;51.6093767596
Naděje dožití (ex);Hlavní město Praha;muži;26;2022-2023;52.76272896
Naděje dožití (ex);Hlavní město Praha;muži;27;2001-2002;47.62053934
Naděje dožití (ex);Hlavní město Praha;muži;27;2002-2003;47.57091924
Naděje dožití (ex);Hlavní město Praha;muži;27;2003-2004;47.89431847
Naděje dožití (ex);Hlavní město Praha;muži;27;2004-2005;48.49939837
Naděje dožití (ex);Hlavní město Praha;muži;27;2005-2006;48.98195671
Naděje dožití (ex);Hlavní město Praha;muži;27;2006-2007;49.31625961
Naděje dožití (ex);Hlavní město Praha;muži;27;2007-2008;49.55607868
Naděje dožití (ex);Hlavní město Praha;muži;27;2008-2009;49.81687901
Naděje dožití (ex);Hlavní město Praha;muži;27;2009-2010;49.91245471
Naděje dožití (ex);Hlavní město Praha;muži;27;2010-2011;50.17029691
Naděje dožití (ex);Hlavní město Praha;muži;27;2011-2012;50.41996771
Naděje dožití (ex);Hlavní město Praha;muži;27;2012-2013;50.70760387
Naděje dožití (ex);Hlavní město Praha;muži;27;2013-2014;51.02624414
Naděje dožití (ex);Hlavní město Praha;muži;27;2014-2015;51.11153108
Naděje dožití (ex);Hlavní město Praha;muži;27;2015-2016;51.28596224
Naděje dožití (ex);Hlavní město Praha;muži;27;2016-2017;51.55596706
Naděje dožití (ex);Hlavní město Praha;muži;27;2017-2018;51.724041743
Naděje dožití (ex);Hlavní město Praha;muži;27;2018-2019;51.9402033625
Naděje dožití (ex);Hlavní město Praha;muži;27;2019-2020;51.6524750637
Naděje dožití (ex);Hlavní město Praha;muži;27;2020-2021;50.5165270435
Naděje dožití (ex);Hlavní město Praha;muži;27;2021-2022;50.6335090009
Naděje dožití (ex);Hlavní město Praha;muži;27;2022-2023;51.78829223
Naděje dožití (ex);Hlavní město Praha;muži;28;2001-2002;46.65597782
Naděje dožití (ex);Hlavní město Praha;muži;28;2002-2003;46.61220632
Naděje dožití (ex);Hlavní město Praha;muži;28;2003-2004;46.93272232
Naděje dožití (ex);Hlavní město Praha;muži;28;2004-2005;47.5338308
Naděje dožití (ex);Hlavní město Praha;muži;28;2005-2006;48.01804641
Naděje dožití (ex);Hlavní město Praha;muži;28;2006-2007;48.35220231
Naděje dožití (ex);Hlavní město Praha;muži;28;2007-2008;48.5922603
Naděje dožití (ex);Hlavní město Praha;muži;28;2008-2009;48.85043381
Naděje dožití (ex);Hlavní město Praha;muži;28;2009-2010;48.94239638
Naděje dožití (ex);Hlavní město Praha;muži;28;2010-2011;49.2024154
Naděje dožití (ex);Hlavní město Praha;muži;28;2011-2012;49.44915401
Naděje dožití (ex);Hlavní město Praha;muži;28;2012-2013;49.73590346
Naděje dožití (ex);Hlavní město Praha;muži;28;2013-2014;50.05785137
Naděje dožití (ex);Hlavní město Praha;muži;28;2014-2015;50.14310335
Naděje dožití (ex);Hlavní město Praha;muži;28;2015-2016;50.31525813
Naděje dožití (ex);Hlavní město Praha;muži;28;2016-2017;50.58109203
Naděje dožití (ex);Hlavní město Praha;muži;28;2017-2018;50.7495371871
Naděje dožití (ex);Hlavní město Praha;muži;28;2018-2019;50.9651985952
Naděje dožití (ex);Hlavní město Praha;muži;28;2019-2020;50.6738588321
Naděje dožití (ex);Hlavní město Praha;muži;28;2020-2021;49.5377089753
Naděje dožití (ex);Hlavní město Praha;muži;28;2021-2022;49.6578532322
Naděje dožití (ex);Hlavní město Praha;muži;28;2022-2023;50.81323265
Naděje dožití (ex);Hlavní město Praha;muži;29;2001-2002;45.69057469
Naděje dožití (ex);Hlavní město Praha;muži;29;2002-2003;45.65355577
Naděje dožití (ex);Hlavní město Praha;muži;29;2003-2004;45.9725642
Naděje dožití (ex);Hlavní město Praha;muži;29;2004-2005;46.56904211
Naděje dožití (ex);Hlavní město Praha;muži;29;2005-2006;47.05378728
Naděje dožití (ex);Hlavní město Praha;muži;29;2006-2007;47.38780367
Naděje dožití (ex);Hlavní město Praha;muži;29;2007-2008;47.62829241
Naděje dožití (ex);Hlavní město Praha;muži;29;2008-2009;47.88447966
Naděje dožití (ex);Hlavní město Praha;muži;29;2009-2010;47.97261431
Naděje dožití (ex);Hlavní město Praha;muži;29;2010-2011;48.23445553
Naděje dožití (ex);Hlavní město Praha;muži;29;2011-2012;48.47905749
Naděje dožití (ex);Hlavní město Praha;muži;29;2012-2013;48.76484926
Naděje dožití (ex);Hlavní město Praha;muži;29;2013-2014;49.0890071
Naděje dožití (ex);Hlavní město Praha;muži;29;2014-2015;49.17488337
Naděje dožití (ex);Hlavní město Praha;muži;29;2015-2016;49.34463584
Naděje dožití (ex);Hlavní město Praha;muži;29;2016-2017;49.60576835
Naděje dožití (ex);Hlavní město Praha;muži;29;2017-2018;49.7747721757
Naděje dožití (ex);Hlavní město Praha;muži;29;2018-2019;49.9903991088
Naděje dožití (ex);Hlavní město Praha;muži;29;2019-2020;49.6972119791
Naděje dožití (ex);Hlavní město Praha;muži;29;2020-2021;48.560559953
Naděje dožití (ex);Hlavní město Praha;muži;29;2021-2022;48.6831924289
Naděje dožití (ex);Hlavní město Praha;muži;29;2022-2023;49.83866779
Naděje dožití (ex);Hlavní město Praha;muži;30;2001-2002;44.72585417
Naděje dožití (ex);Hlavní město Praha;muži;30;2002-2003;44.69561969
Naděje dožití (ex);Hlavní město Praha;muži;30;2003-2004;45.01412255
Naděje dožití (ex);Hlavní město Praha;muži;30;2004-2005;45.60496306
Naděje dožití (ex);Hlavní město Praha;muži;30;2005-2006;46.0893779
Naděje dožití (ex);Hlavní město Praha;muži;30;2006-2007;46.42280212
Naděje dožití (ex);Hlavní město Praha;muži;30;2007-2008;46.66406579
Naděje dožití (ex);Hlavní město Praha;muži;30;2008-2009;46.91899443
Naděje dožití (ex);Hlavní město Praha;muži;30;2009-2010;47.00343362
Naděje dožití (ex);Hlavní město Praha;muži;30;2010-2011;47.26675853
Naděje dožití (ex);Hlavní město Praha;muži;30;2011-2012;47.50975095
Naděje dožití (ex);Hlavní město Praha;muži;30;2012-2013;47.79453167
Naděje dožití (ex);Hlavní město Praha;muži;30;2013-2014;48.11996588
Naděje dožití (ex);Hlavní město Praha;muži;30;2014-2015;48.20704479
Naděje dožití (ex);Hlavní město Praha;muži;30;2015-2016;48.37381833
Naděje dožití (ex);Hlavní město Praha;muži;30;2016-2017;48.63022221
Naděje dožití (ex);Hlavní město Praha;muži;30;2017-2018;48.8001813632
Naděje dožití (ex);Hlavní město Praha;muži;30;2018-2019;49.0163126059
Naděje dožití (ex);Hlavní město Praha;muži;30;2019-2020;48.7226612921
Naděje dožití (ex);Hlavní město Praha;muži;30;2020-2021;47.5854347792
Naděje dožití (ex);Hlavní město Praha;muži;30;2021-2022;47.7103601267
Naděje dožití (ex);Hlavní město Praha;muži;30;2022-2023;48.86575876
Naděje dožití (ex);Hlavní město Praha;muži;31;2001-2002;43.76320615
Naděje dožití (ex);Hlavní město Praha;muži;31;2002-2003;43.73897266
Naděje dožití (ex);Hlavní město Praha;muži;31;2003-2004;44.05758314
Naděje dožití (ex);Hlavní město Praha;muži;31;2004-2005;44.64149064
Naděje dožití (ex);Hlavní město Praha;muži;31;2005-2006;45.12504822
Naděje dožití (ex);Hlavní město Praha;muži;31;2006-2007;45.45714917
Naděje dožití (ex);Hlavní město Praha;muži;31;2007-2008;45.69960115
Naděje dožití (ex);Hlavní město Praha;muži;31;2008-2009;45.95400202
Naděje dožití (ex);Hlavní město Praha;muži;31;2009-2010;46.03513226
Naděje dožití (ex);Hlavní město Praha;muži;31;2010-2011;46.29959226
Naděje dožití (ex);Hlavní město Praha;muži;31;2011-2012;46.54133642
Naděje dožití (ex);Hlavní město Praha;muži;31;2012-2013;46.82507074
Naděje dožití (ex);Hlavní město Praha;muži;31;2013-2014;47.15103451
Naděje dožití (ex);Hlavní město Praha;muži;31;2014-2015;47.23976314
Naděje dožití (ex);Hlavní město Praha;muži;31;2015-2016;47.40268729
Naděje dožití (ex);Hlavní město Praha;muži;31;2016-2017;47.65474782
Naděje dožití (ex);Hlavní město Praha;muži;31;2017-2018;47.8262306436
Naděje dožití (ex);Hlavní město Praha;muži;31;2018-2019;48.0433784621
Naděje dožití (ex);Hlavní město Praha;muži;31;2019-2020;47.7499873037
Naděje dožití (ex);Hlavní město Praha;muži;31;2020-2021;46.6125131263
Naděje dožití (ex);Hlavní město Praha;muži;31;2021-2022;46.7400593034
Naděje dožití (ex);Hlavní město Praha;muži;31;2022-2023;47.89548027
Naděje dožití (ex);Hlavní město Praha;muži;32;2001-2002;42.8036369
Naděje dožití (ex);Hlavní město Praha;muži;32;2002-2003;42.78401866
Naděje dožití (ex);Hlavní město Praha;muži;32;2003-2004;43.10304071
Naděje dožití (ex);Hlavní město Praha;muži;32;2004-2005;43.678456
Naděje dožití (ex);Hlavní město Praha;muži;32;2005-2006;44.16107069
Naděje dožití (ex);Hlavní město Praha;muži;32;2006-2007;44.49115527
Naděje dožití (ex);Hlavní město Praha;muži;32;2007-2008;44.73506158
Naděje dožití (ex);Hlavní město Praha;muži;32;2008-2009;44.98957577
Naděje dožití (ex);Hlavní město Praha;muži;32;2009-2010;45.06792529
Naděje dožití (ex);Hlavní město Praha;muži;32;2010-2011;45.33310964
Naděje dožití (ex);Hlavní město Praha;muži;32;2011-2012;45.57391452
Naděje dožití (ex);Hlavní město Praha;muži;32;2012-2013;45.85659677
Naděje dožití (ex);Hlavní město Praha;muži;32;2013-2014;46.18250219
Naděje dožití (ex);Hlavní město Praha;muži;32;2014-2015;46.2732003
Naděje dožití (ex);Hlavní město Praha;muži;32;2015-2016;46.43151305
Naděje dožití (ex);Hlavní město Praha;muži;32;2016-2017;46.67972479
Naděje dožití (ex);Hlavní město Praha;muži;32;2017-2018;46.8532878326
Naděje dožití (ex);Hlavní město Praha;muži;32;2018-2019;47.0718466541
Naděje dožití (ex);Hlavní město Praha;muži;32;2019-2020;46.7788744207
Naděje dožití (ex);Hlavní město Praha;muži;32;2020-2021;45.6418588134
Naděje dožití (ex);Hlavní město Praha;muži;32;2021-2022;45.7726481862
Naděje dožití (ex);Hlavní město Praha;muži;32;2022-2023;46.92833292
Naděje dožití (ex);Hlavní město Praha;muži;33;2001-2002;41.84772767
Naděje dožití (ex);Hlavní město Praha;muži;33;2002-2003;41.83098828
Naděje dožití (ex);Hlavní město Praha;muži;33;2003-2004;42.15049618
