ČR a kraje,Ukazatel,Pohlaví,Čtvrtletí,Postavení v zaměstnání,value
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2021,Celkem,5165.5821254
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2021,"Zaměstnanci, členové produkčních družstev",4333.0208651
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2021,Zaměstnavatelé,151.8756206
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2021,Osoby pracující na vlastní účet,657.3726929
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2021,Pomáhající rodinní příslušníci,23.3129468
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2021,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2020,Celkem,5216.4030697
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2020,"Zaměstnanci, členové produkčních družstev",4336.3469935
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2020,Zaměstnavatelé,146.6405526
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2020,Osoby pracující na vlastní účet,705.1711938
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2020,Pomáhající rodinní příslušníci,28.2443298
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2020,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2020,Celkem,5233.335249
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2020,"Zaměstnanci, členové produkčních družstev",4347.3965958
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2020,Zaměstnavatelé,150.1142131
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2020,Osoby pracující na vlastní účet,707.3895327
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2020,Pomáhající rodinní příslušníci,28.4349074
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2020,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2020,Celkem,5212.592771
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2020,"Zaměstnanci, členové produkčních družstev",4330.0933549
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2020,Zaměstnavatelé,147.0031333
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2020,Osoby pracující na vlastní účet,707.4509803
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2020,Pomáhající rodinní příslušníci,28.0453025
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2020,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2020,Celkem,5277.4184187
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2020,"Zaměstnanci, členové produkčních družstev",4389.892931
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2020,Zaměstnavatelé,154.9105292
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2020,Osoby pracující na vlastní účet,703.6094011
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2020,Pomáhající rodinní příslušníci,29.0055574
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2020,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2019,Celkem,5304.7030877
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2019,"Zaměstnanci, členové produkčních družstev",4425.4636519
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2019,Zaměstnavatelé,154.424424
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2019,Osoby pracující na vlastní účet,698.8369557
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2019,Pomáhající rodinní příslušníci,25.9780561
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2019,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2019,Celkem,5306.2468932
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2019,"Zaměstnanci, členové produkčních družstev",4408.3270949
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2019,Zaměstnavatelé,158.5241848
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2019,Osoby pracující na vlastní účet,711.5438673
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2019,Pomáhající rodinní příslušníci,27.8517462
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2019,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2019,Celkem,5295.9288076
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2019,"Zaměstnanci, členové produkčních družstev",4403.1627248
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2019,Zaměstnavatelé,160.7850464
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2019,Osoby pracující na vlastní účet,707.3649811
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2019,Pomáhající rodinní příslušníci,24.6160553
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2019,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2019,Celkem,5305.5064492
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2019,"Zaměstnanci, členové produkčních družstev",4411.3498597
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2019,Zaměstnavatelé,168.6392778
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2019,Osoby pracující na vlastní účet,699.0041475
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2019,Pomáhající rodinní příslušníci,26.2756425
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2019,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2018,Celkem,5326.3267153
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2018,"Zaměstnanci, členové produkčních družstev",4431.1194481
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2018,Zaměstnavatelé,167.0157907
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2018,Osoby pracující na vlastní účet,702.0189714
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2018,Pomáhající rodinní příslušníci,25.6219829
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2018,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2018,Celkem,5301.3613974
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2018,"Zaměstnanci, členové produkčních družstev",4398.4387212
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2018,Zaměstnavatelé,166.604448
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2018,Osoby pracující na vlastní účet,709.8279875
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2018,Pomáhající rodinní příslušníci,25.9663994
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2018,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2018,Celkem,5289.2423454
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2018,"Zaměstnanci, členové produkčních družstev",4389.1394977
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2018,Zaměstnavatelé,164.0959437
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2018,Osoby pracující na vlastní účet,709.7495506
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2018,Pomáhající rodinní příslušníci,25.7943238
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2018,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2018,Celkem,5258.2245443
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2018,"Zaměstnanci, členové produkčních družstev",4366.8579098
