Rok sčítání;Ukazatel;Území podle okresů;Pohlaví;Věkové skupiny (desetiletky);value
2021;Obyvatelstvo;Olomoucký kraj;žena;0 - 9 let;31192
2021;Obyvatelstvo;Olomoucký kraj;žena;10 - 19 let;31180
2021;Obyvatelstvo;Olomoucký kraj;žena;20 - 29 let;29893
2021;Obyvatelstvo;Olomoucký kraj;žena;30 - 39 let;37286
2021;Obyvatelstvo;Olomoucký kraj;žena;40 - 49 let;48780
2021;Obyvatelstvo;Zlínský kraj;celkem;celkem;564331
2021;Obyvatelstvo;Zlínský kraj;celkem;0 - 9 let;56932
2021;Obyvatelstvo;Zlínský kraj;celkem;10 - 19 let;57034
2021;Obyvatelstvo;Zlínský kraj;celkem;20 - 29 let;53784
2021;Obyvatelstvo;Zlínský kraj;celkem;30 - 39 let;69528
2021;Obyvatelstvo;Zlínský kraj;celkem;40 - 49 let;91054
2021;Obyvatelstvo;Zlínský kraj;muž;celkem;277146
2021;Obyvatelstvo;Zlínský kraj;muž;0 - 9 let;29215
2021;Obyvatelstvo;Zlínský kraj;muž;10 - 19 let;29340
2021;Obyvatelstvo;Zlínský kraj;muž;20 - 29 let;28046
2021;Obyvatelstvo;Zlínský kraj;muž;30 - 39 let;36556
2021;Obyvatelstvo;Zlínský kraj;muž;40 - 49 let;47044
