Stát,Roky,Ukazatel,Odvětví ekonomické činnosti,value
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,B - Těžba a dobývání,17.9409445283
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,C - Zpracovatelský průmysl,12.178181496
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",18.4324245723
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",8.2642739611
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,F - Stavebnictví,4.1390652662
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,5.9457330147
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,H - Doprava a skladování,14.9487015175
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,"I - Ubytování, stravování a pohostinství",4.3658718017
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,J - Informační a komunikační činnosti,6.4524435239
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,K - Peněžnictví a pojišťovnictví,5.4551846822
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,L - Činnosti v oblasti nemovitostí,5.5190886891
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,"M - Profesní, vědecké a technické činnosti",5.7608552801
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,N - Administrativní a podpůrné činnosti,5.3857699699
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,O - Veřejná správa a obrana; povinné sociální zabezpečení,49.6446252609
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,P - Vzdělávání,32.9273778141
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,Q - Zdravotní a sociální péče,44.1453053145
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,"R - Kulturní, zábavní a rekreační činnosti",17.8345308261
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,S - Ostatní činnosti,6.7591865068
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,Celkem,0.330376846
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,"A - Zemědělství, lesnictví, rybářství",0.0302090987
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,B-E - Průmysl celkem,0.3769502024
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,B - Těžba a dobývání,0.2699696266
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,C - Zpracovatelský průmysl,0.4013235802
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",0.0172307702
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",0.1646085397
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,F - Stavebnictví,0.1599257839
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,0.5161522297
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,H - Doprava a skladování,0.3530126894
