Území;Ukazatel;Typ indexu;Očištění;CZ-NACE;Úhrn 12 měsíců;value
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2015;104.9648175344
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2015;104.0383956931
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2015;104.3699100904
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2015;104.3671437925
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2015;104.3731040243
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2015;104.5352552095
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2015;104.6622549998
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2015;104.7553777562
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2014;104.9839553968
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2014;105.0928758543
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2014;105.5271132377
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2014;105.5434931856
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2014;105.3509929986
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2014;105.9546801476
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2014;105.423658016
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2014;104.2124872718
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2014;103.7557049316
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2014;103.1183840352
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2014;101.7723211172
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2014;100.7411087145
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2013;99.9164680173
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2013;98.3548110599
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;říjen 2013;97.5861531741
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;září 2013;97.608098098
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;srpen 2013;96.5733502418
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červenec 2013;96.3382295486
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;červen 2013;96.5460196617
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;květen 2013;96.8145727155
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;duben 2013;96.8386501804
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;březen 2013;97.0488126435
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;únor 2013;97.6305607391
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2013;98.5443040108
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;prosinec 2012;99.1602614923
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;listopad 2012;100.2876059992
