ČR, kraje;Čtvrtletí;Ukazatel;Kategorie;value
Česko;4. čtvrtletí 2015;Počet kongresů (konferencí);Hotel, motel, botel ****;2572
Česko;4. čtvrtletí 2015;Počet kongresů (konferencí);Hotel, motel, botel ***;1035
Česko;4. čtvrtletí 2015;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;446586
Česko;4. čtvrtletí 2015;Počet účastníků kongresů (konferencí);Hotel *****;41684
Česko;4. čtvrtletí 2015;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;304317
Česko;4. čtvrtletí 2015;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;89332
Česko;3. čtvrtletí 2015;Počet kongresů (konferencí);Hromadná ubytovací zařízení;2027
Česko;3. čtvrtletí 2015;Počet kongresů (konferencí);Hotel *****;145
Česko;3. čtvrtletí 2015;Počet kongresů (konferencí);Hotel, motel, botel ****;1236
Česko;3. čtvrtletí 2015;Počet kongresů (konferencí);Hotel, motel, botel ***;567
Česko;3. čtvrtletí 2015;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;225964
Česko;3. čtvrtletí 2015;Počet účastníků kongresů (konferencí);Hotel *****;24029
Česko;3. čtvrtletí 2015;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;146435
Česko;3. čtvrtletí 2015;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;47275
Česko;2. čtvrtletí 2015;Počet kongresů (konferencí);Hromadná ubytovací zařízení;3679
Česko;2. čtvrtletí 2015;Počet kongresů (konferencí);Hotel *****;238
Česko;2. čtvrtletí 2015;Počet kongresů (konferencí);Hotel, motel, botel ****;2231
Česko;2. čtvrtletí 2015;Počet kongresů (konferencí);Hotel, motel, botel ***;1115
Česko;2. čtvrtletí 2015;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;376884
Česko;2. čtvrtletí 2015;Počet účastníků kongresů (konferencí);Hotel *****;33673
Česko;2. čtvrtletí 2015;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;234256
Česko;2. čtvrtletí 2015;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;97873
Česko;1. čtvrtletí 2015;Počet kongresů (konferencí);Hromadná ubytovací zařízení;3148
Česko;1. čtvrtletí 2015;Počet kongresů (konferencí);Hotel *****;184
Česko;1. čtvrtletí 2015;Počet kongresů (konferencí);Hotel, motel, botel ****;1865
Česko;1. čtvrtletí 2015;Počet kongresů (konferencí);Hotel, motel, botel ***;1015
Česko;1. čtvrtletí 2015;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;358463
Česko;1. čtvrtletí 2015;Počet účastníků kongresů (konferencí);Hotel *****;30435
Česko;1. čtvrtletí 2015;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;234582
Česko;1. čtvrtletí 2015;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;83103
Česko;4. čtvrtletí 2014;Počet kongresů (konferencí);Hromadná ubytovací zařízení;3044
Česko;4. čtvrtletí 2014;Počet kongresů (konferencí);Hotel *****;269
Česko;4. čtvrtletí 2014;Počet kongresů (konferencí);Hotel, motel, botel ****;1571
Česko;4. čtvrtletí 2014;Počet kongresů (konferencí);Hotel, motel, botel ***;1088
Česko;4. čtvrtletí 2014;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;406952
Česko;4. čtvrtletí 2014;Počet účastníků kongresů (konferencí);Hotel *****;54179
Česko;4. čtvrtletí 2014;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;233170
Česko;4. čtvrtletí 2014;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;107776
Česko;3. čtvrtletí 2014;Počet kongresů (konferencí);Hromadná ubytovací zařízení;1952
Česko;3. čtvrtletí 2014;Počet kongresů (konferencí);Hotel *****;180
Česko;3. čtvrtletí 2014;Počet kongresů (konferencí);Hotel, motel, botel ****;994
Česko;3. čtvrtletí 2014;Počet kongresů (konferencí);Hotel, motel, botel ***;657
Česko;3. čtvrtletí 2014;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;257796
Česko;3. čtvrtletí 2014;Počet účastníků kongresů (konferencí);Hotel *****;24128
Česko;3. čtvrtletí 2014;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;153579
Česko;3. čtvrtletí 2014;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;68024
Česko;2. čtvrtletí 2014;Počet kongresů (konferencí);Hromadná ubytovací zařízení;2997
Česko;2. čtvrtletí 2014;Počet kongresů (konferencí);Hotel *****;273
Česko;2. čtvrtletí 2014;Počet kongresů (konferencí);Hotel, motel, botel ****;1587
Česko;2. čtvrtletí 2014;Počet kongresů (konferencí);Hotel, motel, botel ***;963
Česko;2. čtvrtletí 2014;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;395078
Česko;2. čtvrtletí 2014;Počet účastníků kongresů (konferencí);Hotel *****;42961
Česko;2. čtvrtletí 2014;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;238554
Česko;2. čtvrtletí 2014;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;95707
Česko;1. čtvrtletí 2014;Počet kongresů (konferencí);Hromadná ubytovací zařízení;2453
Česko;1. čtvrtletí 2014;Počet kongresů (konferencí);Hotel *****;204
Česko;1. čtvrtletí 2014;Počet kongresů (konferencí);Hotel, motel, botel ****;1215
Česko;1. čtvrtletí 2014;Počet kongresů (konferencí);Hotel, motel, botel ***;902
Česko;1. čtvrtletí 2014;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;328925
Česko;1. čtvrtletí 2014;Počet účastníků kongresů (konferencí);Hotel *****;30526
Česko;1. čtvrtletí 2014;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;180834
Česko;1. čtvrtletí 2014;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;103351
Česko;4. čtvrtletí 2013;Počet kongresů (konferencí);Hromadná ubytovací zařízení;3026
Česko;4. čtvrtletí 2013;Počet kongresů (konferencí);Hotel *****;313
Česko;4. čtvrtletí 2013;Počet kongresů (konferencí);Hotel, motel, botel ****;1666
Česko;4. čtvrtletí 2013;Počet kongresů (konferencí);Hotel, motel, botel ***;993
Česko;4. čtvrtletí 2013;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;399063
Česko;4. čtvrtletí 2013;Počet účastníků kongresů (konferencí);Hotel *****;51671
Česko;4. čtvrtletí 2013;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;233073
Česko;4. čtvrtletí 2013;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;108481
Česko;3. čtvrtletí 2013;Počet kongresů (konferencí);Hromadná ubytovací zařízení;1706
Česko;3. čtvrtletí 2013;Počet kongresů (konferencí);Hotel *****;226
Česko;3. čtvrtletí 2013;Počet kongresů (konferencí);Hotel, motel, botel ****;825
Česko;3. čtvrtletí 2013;Počet kongresů (konferencí);Hotel, motel, botel ***;554
Česko;3. čtvrtletí 2013;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;216145
Česko;3. čtvrtletí 2013;Počet účastníků kongresů (konferencí);Hotel *****;51191
Česko;3. čtvrtletí 2013;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;101281
Česko;3. čtvrtletí 2013;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;52359
Česko;2. čtvrtletí 2013;Počet kongresů (konferencí);Hromadná ubytovací zařízení;2869
Česko;2. čtvrtletí 2013;Počet kongresů (konferencí);Hotel *****;262
Česko;2. čtvrtletí 2013;Počet kongresů (konferencí);Hotel, motel, botel ****;1402
Česko;2. čtvrtletí 2013;Počet kongresů (konferencí);Hotel, motel, botel ***;1071
Česko;2. čtvrtletí 2013;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;351283
Česko;2. čtvrtletí 2013;Počet účastníků kongresů (konferencí);Hotel *****;43652
Česko;2. čtvrtletí 2013;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;190585
Česko;2. čtvrtletí 2013;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;102138
Česko;1. čtvrtletí 2013;Počet kongresů (konferencí);Hromadná ubytovací zařízení;2439
Česko;1. čtvrtletí 2013;Počet kongresů (konferencí);Hotel *****;211
Česko;1. čtvrtletí 2013;Počet kongresů (konferencí);Hotel, motel, botel ****;1273
Česko;1. čtvrtletí 2013;Počet kongresů (konferencí);Hotel, motel, botel ***;825
Česko;1. čtvrtletí 2013;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;315563
Česko;1. čtvrtletí 2013;Počet účastníků kongresů (konferencí);Hotel *****;29439
Česko;1. čtvrtletí 2013;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;189969
Česko;1. čtvrtletí 2013;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;81515
Česko;4. čtvrtletí 2012;Počet kongresů (konferencí);Hromadná ubytovací zařízení;3207
Česko;4. čtvrtletí 2012;Počet kongresů (konferencí);Hotel *****;262
Česko;4. čtvrtletí 2012;Počet kongresů (konferencí);Hotel, motel, botel ****;1707
Česko;4. čtvrtletí 2012;Počet kongresů (konferencí);Hotel, motel, botel ***;1107
Česko;4. čtvrtletí 2012;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;449664
Česko;4. čtvrtletí 2012;Počet účastníků kongresů (konferencí);Hotel *****;48606
Česko;4. čtvrtletí 2012;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;251464
Česko;4. čtvrtletí 2012;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;134931
Česko;3. čtvrtletí 2012;Počet kongresů (konferencí);Hromadná ubytovací zařízení;1977
Česko;3. čtvrtletí 2012;Počet kongresů (konferencí);Hotel *****;141
Česko;3. čtvrtletí 2012;Počet kongresů (konferencí);Hotel, motel, botel ****;995
Česko;3. čtvrtletí 2012;Počet kongresů (konferencí);Hotel, motel, botel ***;753
Česko;3. čtvrtletí 2012;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;250454
Česko;3. čtvrtletí 2012;Počet účastníků kongresů (konferencí);Hotel *****;21347
Česko;3. čtvrtletí 2012;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;140618
Česko;3. čtvrtletí 2012;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;78455
Česko;2. čtvrtletí 2012;Počet kongresů (konferencí);Hromadná ubytovací zařízení;3416
Česko;2. čtvrtletí 2012;Počet kongresů (konferencí);Hotel *****;302
Česko;2. čtvrtletí 2012;Počet kongresů (konferencí);Hotel, motel, botel ****;1834
Česko;2. čtvrtletí 2012;Počet kongresů (konferencí);Hotel, motel, botel ***;1191
Česko;2. čtvrtletí 2012;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;428626
Česko;2. čtvrtletí 2012;Počet účastníků kongresů (konferencí);Hotel *****;48022
Česko;2. čtvrtletí 2012;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;245972
Česko;2. čtvrtletí 2012;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;126064
Česko;1. čtvrtletí 2012;Počet kongresů (konferencí);Hromadná ubytovací zařízení;2947
Česko;1. čtvrtletí 2012;Počet kongresů (konferencí);Hotel *****;248
Česko;1. čtvrtletí 2012;Počet kongresů (konferencí);Hotel, motel, botel ****;1531
Česko;1. čtvrtletí 2012;Počet kongresů (konferencí);Hotel, motel, botel ***;1084
Česko;1. čtvrtletí 2012;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;406853
Česko;1. čtvrtletí 2012;Počet účastníků kongresů (konferencí);Hotel *****;40983
Česko;1. čtvrtletí 2012;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;239786
Česko;1. čtvrtletí 2012;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;118082
Česko;4. čtvrtletí 2011;Počet kongresů (konferencí);Hromadná ubytovací zařízení;3159
Česko;4. čtvrtletí 2011;Počet kongresů (konferencí);Hotel *****;285
Česko;4. čtvrtletí 2011;Počet kongresů (konferencí);Hotel, motel, botel ****;1755
Česko;4. čtvrtletí 2011;Počet kongresů (konferencí);Hotel, motel, botel ***;1025
Česko;4. čtvrtletí 2011;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;399526
Česko;4. čtvrtletí 2011;Počet účastníků kongresů (konferencí);Hotel *****;45509
Česko;4. čtvrtletí 2011;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;238539
Česko;4. čtvrtletí 2011;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;108036
Česko;3. čtvrtletí 2011;Počet kongresů (konferencí);Hromadná ubytovací zařízení;1879
Česko;3. čtvrtletí 2011;Počet kongresů (konferencí);Hotel *****;150
Česko;3. čtvrtletí 2011;Počet kongresů (konferencí);Hotel, motel, botel ****;1063
Česko;3. čtvrtletí 2011;Počet kongresů (konferencí);Hotel, motel, botel ***;614
Česko;3. čtvrtletí 2011;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;239157
Česko;3. čtvrtletí 2011;Počet účastníků kongresů (konferencí);Hotel *****;24851
Česko;3. čtvrtletí 2011;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;143862
Česko;3. čtvrtletí 2011;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;66093
Česko;2. čtvrtletí 2011;Počet kongresů (konferencí);Hromadná ubytovací zařízení;2996
Česko;2. čtvrtletí 2011;Počet kongresů (konferencí);Hotel *****;267
Česko;2. čtvrtletí 2011;Počet kongresů (konferencí);Hotel, motel, botel ****;1517
Česko;2. čtvrtletí 2011;Počet kongresů (konferencí);Hotel, motel, botel ***;1120
Česko;2. čtvrtletí 2011;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;356738
Česko;2. čtvrtletí 2011;Počet účastníků kongresů (konferencí);Hotel *****;40615
Česko;2. čtvrtletí 2011;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;192990
Česko;2. čtvrtletí 2011;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;115074
Česko;1. čtvrtletí 2011;Počet kongresů (konferencí);Hromadná ubytovací zařízení;2567
Česko;1. čtvrtletí 2011;Počet kongresů (konferencí);Hotel *****;165
Česko;1. čtvrtletí 2011;Počet kongresů (konferencí);Hotel, motel, botel ****;1264
Česko;1. čtvrtletí 2011;Počet kongresů (konferencí);Hotel, motel, botel ***;1034
Česko;1. čtvrtletí 2011;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;355038
Česko;1. čtvrtletí 2011;Počet účastníků kongresů (konferencí);Hotel *****;35982
Česko;1. čtvrtletí 2011;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;200247
Česko;1. čtvrtletí 2011;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;106566
Česko;4. čtvrtletí 2010;Počet kongresů (konferencí);Hromadná ubytovací zařízení;2822
Česko;4. čtvrtletí 2010;Počet kongresů (konferencí);Hotel *****;217
Česko;4. čtvrtletí 2010;Počet kongresů (konferencí);Hotel, motel, botel ****;1688
Česko;4. čtvrtletí 2010;Počet kongresů (konferencí);Hotel, motel, botel ***;751
Česko;4. čtvrtletí 2010;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;367586
Česko;4. čtvrtletí 2010;Počet účastníků kongresů (konferencí);Hotel *****;34608
Česko;4. čtvrtletí 2010;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;234476
Česko;4. čtvrtletí 2010;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;86005
Česko;3. čtvrtletí 2010;Počet kongresů (konferencí);Hromadná ubytovací zařízení;1831
Česko;3. čtvrtletí 2010;Počet kongresů (konferencí);Hotel *****;116
Česko;3. čtvrtletí 2010;Počet kongresů (konferencí);Hotel, motel, botel ****;1022
Česko;3. čtvrtletí 2010;Počet kongresů (konferencí);Hotel, motel, botel ***;627
Česko;3. čtvrtletí 2010;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;220808
Česko;3. čtvrtletí 2010;Počet účastníků kongresů (konferencí);Hotel *****;17098
Česko;3. čtvrtletí 2010;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;129666
Česko;3. čtvrtletí 2010;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;67874
Česko;2. čtvrtletí 2010;Počet kongresů (konferencí);Hromadná ubytovací zařízení;3067
Česko;2. čtvrtletí 2010;Počet kongresů (konferencí);Hotel *****;240
Česko;2. čtvrtletí 2010;Počet kongresů (konferencí);Hotel, motel, botel ****;1731
Česko;2. čtvrtletí 2010;Počet kongresů (konferencí);Hotel, motel, botel ***;986
Česko;2. čtvrtletí 2010;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;385179
Česko;2. čtvrtletí 2010;Počet účastníků kongresů (konferencí);Hotel *****;35921
Česko;2. čtvrtletí 2010;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;220373
Česko;2. čtvrtletí 2010;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;119476
Česko;1. čtvrtletí 2010;Počet kongresů (konferencí);Hromadná ubytovací zařízení;2426
Česko;1. čtvrtletí 2010;Počet kongresů (konferencí);Hotel *****;205
Česko;1. čtvrtletí 2010;Počet kongresů (konferencí);Hotel, motel, botel ****;1295
Česko;1. čtvrtletí 2010;Počet kongresů (konferencí);Hotel, motel, botel ***;841
Česko;1. čtvrtletí 2010;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;321714
Česko;1. čtvrtletí 2010;Počet účastníků kongresů (konferencí);Hotel *****;30796
Česko;1. čtvrtletí 2010;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;185012
Česko;1. čtvrtletí 2010;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;96771
Česko;4. čtvrtletí 2009;Počet kongresů (konferencí);Hromadná ubytovací zařízení;2762
Česko;4. čtvrtletí 2009;Počet kongresů (konferencí);Hotel *****;219
Česko;4. čtvrtletí 2009;Počet kongresů (konferencí);Hotel, motel, botel ****;1534
Česko;4. čtvrtletí 2009;Počet kongresů (konferencí);Hotel, motel, botel ***;923
Česko;4. čtvrtletí 2009;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;349670
Česko;4. čtvrtletí 2009;Počet účastníků kongresů (konferencí);Hotel *****;28639
Česko;4. čtvrtletí 2009;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;197769
Česko;4. čtvrtletí 2009;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;114078
Česko;3. čtvrtletí 2009;Počet kongresů (konferencí);Hromadná ubytovací zařízení;1583
Česko;3. čtvrtletí 2009;Počet kongresů (konferencí);Hotel *****;90
Česko;3. čtvrtletí 2009;Počet kongresů (konferencí);Hotel, motel, botel ****;865
Česko;3. čtvrtletí 2009;Počet kongresů (konferencí);Hotel, motel, botel ***;573
Česko;3. čtvrtletí 2009;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;191171
Česko;3. čtvrtletí 2009;Počet účastníků kongresů (konferencí);Hotel *****;17529
Česko;3. čtvrtletí 2009;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;108944
Česko;3. čtvrtletí 2009;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;60139
Česko;2. čtvrtletí 2009;Počet kongresů (konferencí);Hromadná ubytovací zařízení;2772
Česko;2. čtvrtletí 2009;Počet kongresů (konferencí);Hotel *****;197
Česko;2. čtvrtletí 2009;Počet kongresů (konferencí);Hotel, motel, botel ****;1354
Česko;2. čtvrtletí 2009;Počet kongresů (konferencí);Hotel, motel, botel ***;1119
Česko;2. čtvrtletí 2009;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;350353
Česko;2. čtvrtletí 2009;Počet účastníků kongresů (konferencí);Hotel *****;32610
Česko;2. čtvrtletí 2009;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;187625
Česko;2. čtvrtletí 2009;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;118838
Česko;1. čtvrtletí 2009;Počet kongresů (konferencí);Hromadná ubytovací zařízení;2294
Česko;1. čtvrtletí 2009;Počet kongresů (konferencí);Hotel *****;133
Česko;1. čtvrtletí 2009;Počet kongresů (konferencí);Hotel, motel, botel ****;1055
Česko;1. čtvrtletí 2009;Počet kongresů (konferencí);Hotel, motel, botel ***;1018
Česko;1. čtvrtletí 2009;Počet účastníků kongresů (konferencí);Hromadná ubytovací zařízení;301715
Česko;1. čtvrtletí 2009;Počet účastníků kongresů (konferencí);Hotel *****;23105
Česko;1. čtvrtletí 2009;Počet účastníků kongresů (konferencí);Hotel, motel, botel ****;160536
Česko;1. čtvrtletí 2009;Počet účastníků kongresů (konferencí);Hotel, motel, botel ***;108688
