Kategorie,Ukazatel,Území,Čtvrtletí,value
Hotely a penziony,Čisté využití lůžek (%),Královéhradecký kraj,4. čtvrtletí 2023,21.7814021535
Hotely a penziony,Čisté využití lůžek (%),Královéhradecký kraj,3. čtvrtletí 2023,37.4836923594
Hotely a penziony,Čisté využití lůžek (%),Královéhradecký kraj,2. čtvrtletí 2023,25.665362692
Hotely a penziony,Čisté využití lůžek (%),Královéhradecký kraj,1. čtvrtletí 2023,35.4322802092
Hotely a penziony,Čisté využití lůžek (%),Královéhradecký kraj,4. čtvrtletí 2022,22.2124032255
Hotely a penziony,Čisté využití lůžek (%),Královéhradecký kraj,3. čtvrtletí 2022,35.9780012209
Hotely a penziony,Čisté využití lůžek (%),Královéhradecký kraj,2. čtvrtletí 2022,24.1238501311
Hotely a penziony,Čisté využití lůžek (%),Královéhradecký kraj,1. čtvrtletí 2022,34.7145529794
Hotely a penziony,Čisté využití lůžek (%),Královéhradecký kraj,4. čtvrtletí 2021,19.3251796913
Hotely a penziony,Čisté využití lůžek (%),Královéhradecký kraj,3. čtvrtletí 2021,39.0013919689
Hotely a penziony,Čisté využití lůžek (%),Královéhradecký kraj,2. čtvrtletí 2021,15.923524768
Hotely a penziony,Čisté využití lůžek (%),Královéhradecký kraj,1. čtvrtletí 2021,5.5903883514
Hotely a penziony,Čisté využití lůžek (%),Královéhradecký kraj,4. čtvrtletí 2020,9.9546459524
Hotely a penziony,Čisté využití lůžek (%),Královéhradecký kraj,3. čtvrtletí 2020,37.5115478556
Hotely a penziony,Čisté využití lůžek (%),Královéhradecký kraj,2. čtvrtletí 2020,19.5461674106
Hotely a penziony,Čisté využití lůžek (%),Královéhradecký kraj,1. čtvrtletí 2020,41.9255101504
Hotely a penziony,Čisté využití lůžek (%),Královéhradecký kraj,4. čtvrtletí 2019,25.4315343775
Hotely a penziony,Čisté využití lůžek (%),Královéhradecký kraj,3. čtvrtletí 2019,41.3058000488
Hotely a penziony,Čisté využití lůžek (%),Královéhradecký kraj,2. čtvrtletí 2019,31.5825192703
Hotely a penziony,Čisté využití lůžek (%),Královéhradecký kraj,1. čtvrtletí 2019,43.6046379652
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,2. čtvrtletí 2025,32.215303364
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,1. čtvrtletí 2025,25.6558386776
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,4. čtvrtletí 2024,22.6640974731
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,3. čtvrtletí 2024,36.378590459
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,2. čtvrtletí 2024,29.0895582872
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,1. čtvrtletí 2024,24.251874175
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,4. čtvrtletí 2023,22.032106494
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,3. čtvrtletí 2023,38.3173766923
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,2. čtvrtletí 2023,30.7078077073
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,1. čtvrtletí 2023,25.8847366051
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,4. čtvrtletí 2022,23.4281004755
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,3. čtvrtletí 2022,39.3390866985
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,2. čtvrtletí 2022,28.1824652339
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,1. čtvrtletí 2022,22.5306225669
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,4. čtvrtletí 2021,18.5763294697
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,3. čtvrtletí 2021,38.0259467465
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,2. čtvrtletí 2021,19.4071475981
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,1. čtvrtletí 2021,12.1003341572
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,4. čtvrtletí 2020,12.2298997163
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,3. čtvrtletí 2020,33.4399346783
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,2. čtvrtletí 2020,19.2898322578
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,1. čtvrtletí 2020,26.7390998429
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,4. čtvrtletí 2019,24.0135874345
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,3. čtvrtletí 2019,37.0585875433
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,2. čtvrtletí 2019,28.6584447279
Hotely a penziony,Čisté využití lůžek (%),Pardubický kraj,1. čtvrtletí 2019,26.6853347645
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,2. čtvrtletí 2025,28.2679654056
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,1. čtvrtletí 2025,18.7922006937
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,4. čtvrtletí 2024,20.2140074031
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,3. čtvrtletí 2024,33.9927615784
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,2. čtvrtletí 2024,25.91836181
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,1. čtvrtletí 2024,19.1543716659
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,4. čtvrtletí 2023,19.4515253762
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,3. čtvrtletí 2023,36.5156501353
Hotely a penziony,Čisté využití lůžek (%),Kraj Vysočina,2. čtvrtletí 2023,26.3792357326
